id,name,desc
1,Volles Potenzial,Der Krit. und der Krit. Schaden aller Verbündete werden um 25% erhöht.
2,Böse Zeremonie,Zu Beginn des Kampfs erhalten alle Verbündeten 90% LP und 200 Energie.
3,Zutiefst schmerzlich,"Zu Beginn des Kampfs erleiden alle Gegner 3 Runden lang zufälligen Schaden. Die verursachten Blut-, Gift- und Brennschäden werden um 25% erhöht."
4,Energie Schwankung,"Zu Beginn des Kampfs werden alle Gegner 2 Runden lang zufällig kontrolliert. Verbündete verursachen 50% zusätzlichen Schaden, wenn Ziele eingefroren, versteinert oder betäubt werden."
5,Blendendes Licht,"Immer wenn ein Verbündeter eine Fertigkeit verwendet, wird ein zufälliger Gegner 2 Runden lang betäubt."
6,Angst Verbreiten,"Nach jedem feindlichen Zug erleidet sie Schaden (10% der maximalen HP des Mädchens mit den höchsten maximalen HP der Verbündeten), muss treffen und hat eine 50%ige Chance, 2 Runden lang den Feind zu lähmen."
7,Bewölkter Sturm,"LP-Regeneration aller Verbündete wird um 25% erhöht, LP-Regeneration aller Gegner wird um 75% verringert; Jedesmal wenn ein Mädchen geheilt wird, wird dem Gegner mit den höchsten LP ein Schaden (von 5% seiner LP, nicht höher als 80000) zugefügt, muss treffen."
8,Schura Arkanum,"Wenn eine Verbündete Schaden erleidet, gibt es eine 75%ige Chance zu einem Gegenangriff (100% ihres Angriffs), muss treffen."
9,Verbundenheit,"Alle Verbündeten erhalten eine Schadensreduzierung von 25%; Wenn eine Verbündete Schaden erleidet, gibt es eine 50%ige Chance den Schaden auf alle Verbündeten zu verteilen."
10,Doppelklinge,Der durch Standard Angriff verursachte Schaden wird um 100% erhöht. Nach jedem Standarf Angriff gibt es eine 50%ige Chance den Standard Angriff nochmal freizusetzen.
