id,title,text
1,Launische Katze,"Menschen sagen oft Katzen sind sehr arrogante Tiere. Aber das ist für diesen Jäger sicher immer noch zu weit hergeholt. Von Maska im Wald gefunden, die sich nicht nur einem schwierigem Kampf stellen musste, sondern auch alle ihre Diener-Kekse verbrauchte, bis sie ihn endlich mit zum Campus mitnehmen konnte. Sie nannte ihn ""Rumpy"". Maska hatte geglaubt, dass er sich wie die anderen Diener auf dem Campus eingliedern könnte und den Schülern beim Lernen helfen könnte. Aber nach kurzer Zeit, als Bruno und sie vom Tierschutzclub kamen, gab sie schließlich auf. ""Ich halte es nicht mehr aus!"" rief die sonst so geduldige Maska aus. Am Ende fügte sich Rumpy auf seine ganz eigene Weise auf dem Campus ein. Sein hübsches Äußeres lies andere ihm gegenüber tolerant sein. Diejenigen die dies nicht waren bekamen seine Krallen zu spüren. Abgesehen von dem regelmäßigen Ärger den er macht, scheint er nichts dagegen zu haben der Schule zu helfen…wenn er in guter Laune ist."
2,Campus-Master?,"Wenn man auf dem Campus eine Umfrage machen würde ""Wen auf dem Campus beneidet ihr am meisten?"" Würden 9 von 10 antworten ""Rumpy"". Rumpy scheint an jedem beliebigen Ort auf dem Campus zu erscheinen. Auf Bäumen, Wänden, in Klassenzimmern und auf dem Sportplatz. Die meiste Zeit scheint er jedoch zu schlafen. Natürlich ist es verständlich, dass die Schulmädchen ein Gefühl von Ungerechtigkeit überkommt, während sie im Klassenzimmer Bücher wälzen und auf dem Sportplatz üben, während Rumpy daneben liegt und schläft. Dazu komm noch, dass wenn er einmal wach ist über den Campus streift und allen denen er begegnet leicht zunickt, als würde er sein Territorium begutachten. Denkt er etwa er wäre der Master auf dem Campus?"
3,Geduld der Jäger,"Eines Tages gelingt es Maska endlich Rumpy davon zu überzeugen einen Gesundheitstest zu machen. Es handelt sich nur um eine Routineuntersuchung aber die Ergebnisse überraschten Maska sehr. Auch wenn mit seinem Körper alles in Ordnung war, waren seine magischen Kräfte doch sehr schwach. Das kann auch der Grund dafür sein, dass er so viel schläft. Maska konnte den Grund dafür nicht finden und auch alle Verfahren um seine Magie wieder herzustellen schlugen fehl. Welche Auswirkung würde der vollständige Verlust der Magie haben? Vielleicht würde Rumpy nie wieder Flammen kontrollieren können, oder es würde noch schlimmere Folgen haben. Aber von seinem ruhigen Gesicht zu urteilen, scheint er nichts davon zu wissen, oder ist es ihm etwa egal? Wenn man genau hinsieht erkannt man genau den Spirit der Jäger in seinen Augen. Er ist wie ein Jäger der im Wald lauert und auf seine Gelegenheit wartet."
4,"""Verräter""-Titel","Rumpy wuchs in den dunklen Tunneln auf, wo er nach allem was man essen könnte in der Erde wühlte. Zur gleichen Zeit musste er in alle Richtungen horchen, ob nicht Gefahr nahte. Sie lebten schon lange auf diese Weise, aber Rumpy wusste tief im Inneren, dass ihr früheres Leben kein bisschen so war. Früher jagten sie in den Wäldern, spielten im Bach und beteten zum Gott der Jagd und des Feuers. Aber nun wo einer nach dem anderen seiner Leute vom Chaos besiegt wird, weiß er, dass sie ausgelöscht werden, wenn sie keinen anderen Ausweg finden. Deshalb beschloss er zu gehen und einen sicheren Ort für seinen Stamm zu finden. Sein Stamm und vor allem das Mädchen mit den zwei Klingen halten ihn jedoch für einen ""Verräter"" der sich vor dem Kampf drücken will. Aber als er seinen Stamm verließ, war er bereits darauf vorbereitet, als ""Verräter"" gebrandtmarkt zu werden. Er hat bereits viele erfolglose Versuche gestartet, aber dieses Mal wird wohl sein letzter Versuch sein."
5,Neustart,"Tief im Keller der Yume Akademie sind die Erinnerung verschiedener Leute versteckt. Diese Gegenstände wurden aus verschiedenen Gründen hier zurückgelassen. Bei einer Aufnahme des Inventars entdecke eine Schülerin der Technikabteilung den schrecklich mitgenommenen Robert. Während so ein Fund im Keller der Traum Akademie nicht ungewöhnlich ist, nahm die Schülerin ihn mit zu sich ins Wohnheim und startete ihn neu wodurch sie große Aufregung auslöste. Unter einem dreistündigen Verhör von Michaela gab das Mädchen zu, dass sie den Hilferuf von Robert gesehen hatte und alle Anweisungen zum Neustart erhielt. Wenn das wirklich so ist, zeigt das, dass es sich kein bisschen um eine Fehlfunktion von Robert handelt und es auch kein Zufall ist."
6,Evolution,"Nach seinem Neustart wurde Robert zum beliebtesten Forschungsobjekt des Technikteams. Direkt bei Beginn ihrer Forschungen stellten sie fest, dass die Technik in Robert kein bisschen mit der Technik an der Yume Akademie übereinstimmt. Aber während sie weiter forschten passierten immer mehr merkwürdige Dinge. Er reparierte von allein die kaputten Daten und entwickelte sich rasend schnell weiter. Jeden Tag konnte er ein neues Programm. All dies zeigt, dass er eine Maschine war, die wachsen konnte. Die Mitglieder des Technikteams schauten sich nur verwundert an und wussten nicht, was sie dazu sagen sollten. Dies war für sie keine Technik mehr sondern Magie. Leider waren die Meisten von ihnen aus dem Haus der Monster und verstanden nicht sonderlich viel von Magie."
7,Albertas Ambition,"Während des 100 Jährigen Krieges wanderte Robert in der Nähe des Yume Waldes und wurde von den Yume-Truppen gefunden. Danach fing Alberta an Robert zu erforschen. Durch das entdecken dieser mystischen Technik wurde in ihrem Herzen der unstillbare Durst nach Wissen und Erkenntnissen geweckt. Dies ermöglichte ihr viele komplexe und mächtige Erfindungen zu machen, die sie schließlich verwarf, um die Schule zu verlassen und die Quelle der mystischen Technik zu suchen."
8,Der entfernte Himmel,"""Kalt"". Das war der erste sinnvolle Satz, den Robert hervorbrachte. ""So kalt und so schwarz"". Aber das Zimmer in dem er sich aufhielt war kein bisschen kalt oder schwarz. Aus diesem Grund wussten die Mitglieder des Technikteams kein bisschen, ob Temperatur und Helligkeit einen Einfluss auf Robert haben. \nRobert sieht oft auf in den Himmel. Die Wolken am Himmel sind so weiß wie sein Äußeres. Im Zeitalter der Götter, gab es Menschen, die an einen großen weißen Gott glaubten, der über den Wolken schwebte. Die Menschen nannten ihn ""Belunga-Wal im Wolkenmeer"", ""Herr der Wolken"" oder auch ""Große Wolke vor der Sonne"". Vielleicht blickt Robert in den Himmel, weil Mechanik auch einen Gott hat."
9,Uneingeladener Gast,"Alle Schüler der Yume Akademie können Magie spüren. Manche können es jedoch besser als andere. Eines Tages erfasste plötzlich eine starke magische Strömung die Schule. Stark und wild wie ein Sturm tobte sie über den Campus und hinterließ einen lila Nebel in der Luft. Die Schüler spürten noch lange ein Piepen im Ohr und hatten Kopfschmerzen. Dann erschien der ""blaue Drache"" in der Mitte des Sturmes. Es war kein Zweifel daran, dass diese beflügelte Kreatur einen Zusammenhang zu dem Magiesturm hatte. Aus diesem Grund kam er in umfangreiche Pflege."
10,Ungelöstes Rätsel,"Tatsächlich ist der ""blaue Drache"" die merkwürdigste Kreatur an der Yume Akademie. Nachdem die Schüler festgestellt hatten, dass er außergewöhlich freundlich und nicht gefährlich ist, begannen sie ihre Forschungen. Futter scheint für den ""blauen Drachen"" nicht notwendig zu sein. Zwar nimmt er gern Maskas Diener-Kekse an, doch ist zu befürchten, dass er dies nur aus Interesse an diesen tut. Weiterhin hat der ""blaue Drache"" die Fähigkeit Magie umzulenken. Das kann ein Grund für den magsichen Sturm auf dem Campus gewesen sein. Wie ist er aber plötzlich auf dem Campus erschienen? Die wichtigste Frage bleibt bis auf weiteres unbeantwortet."
