id,desc,boss
1,,Holzpuppe Lv.1
2,"Entsperrt ""Grundkurs IV""\nEntsperrt ""Holzpuppe Lv.2""",Holzpuppe Lv.2
3,"Entsperrt ""Grundkurs V""\nEntsperrt ""Holzpuppe Lv.3""",Holzpuppe Lv.3
4,"Entsperrt ""Elite-Kurs I"" und ""Elite-Kurs II""\nEntsperrt ""Holzpuppe Lv.4""",Holzpuppe Lv.4
5,"Entsperrt ""Elite-Kurs III"" und ""Elite-Kurs IV""\nEntsperrt ""Holzpuppe Lv.5""",Holzpuppe Lv.5
6,"Entsperrt ""Elite-Kurs V"" und ""Meisterkurs I""\nEntsperrt ""Holzpuppe Lv.6""",Holzpuppe Lv.6
7,"Entsperrt ""Meisterkurs II""\nEntsperrt ""Holzpuppe Lv.7""",Holzpuppe Lv.7
8,"Entsperrt ""Meisterkurs III""\nEntsperrt ""Holzpuppe Lv.8""",Holzpuppe Lv.8
9,"Entsperrt ""Meisterkurs IV""\nEntsperrt ""Holzpuppe Lv.9""",Holzpuppe Lv.9
10,"Entsperrt ""Meisterkurs V""\nEntsperrt ""Holzpuppe Lv.10""",Holzpuppe Lv.10
