id,mission_name
1,Suche nach Skarivine
2,Maskas Problem
3,Kittys Problem
4,Unterstütze Anna
5,Fleurs Bitte
6,Such nach Reo
7,Halte Lin Al auf
8,Boros Geschenke
9,Halte Zauberin auf
10,Litanas Bitte
11,Oktias Bitte
12,Vermisste Haxie
13,Vermisste Lily
14,Lavias Bitte
15,Ashelys Wunsch
16,Lavias Wunsch
17,Knospes Problem
18,Unterstütze Amazone
19,Lightins Bitte
20,Vermisste Susan
21,Suche nach Hexa
22,Medusas Drohung
23,Geishas Wunsch
24,Panns Bitte
25,Vermisste Androi
26,Suche nach Phönixes Zauberstab
27,Librarians Wunsch
28,Eitle Nani
29,Suche nach Javelins Schwert
30,Succubus' Wunsch
31,Mistys Problem
32,Draculas Herausforderung
33,Himotos Bitte
34,Suche nach Aurora
35,Guan Yins Bitte
36,Silvias Wunsch
37,Pandarias Auftrag
38,Gianas Wunsch
39,Alices Herausforderung
40,Suche nach Minos
41,Wunsch von Nani
42,Sage von Sensina
43,Sage von Amelia
44,Sage von Gabriel
45,Sage von Selene
