id,text
1,Schlecht
2,Nicht zufriedenstellend
3,Normal
4,Gut
5,Sehr gut
6,Spiel Forum
7,Facebook
8,App Store durchsuchen
9,Empfohlen von einem Freund oder Kollegen
10,Durch eine Webseite oder andere
11,Soziale Plattform wie Line
12,Ich bin nicht interessiert oder mag die Subkultur nicht
13,"Ich mag die Subkultur. Ich lese, spiele oder schaue hauptsächlich beliebte oder klassische Anime, Manga und Spiele"
14,"Ich mag die Subkultur. Es gibt ein bestimmtes Genre, das ich mag und das schaue und lese ich gerne."
15,Ich bin ein richtiger Otaku. Ich schaue alles an Animes und liebe die Subkultur.
16,Handyspiele
17,Am PC
18,PC Webseiten für Spiele
19,"Konsolenspiel (Ps, Xbox, Switch etc.)"
20,Ich spiele nicht oft andere Spiele
21,Idle Spiele
22,Rollenspiele (fate/go)
23,Aktionsspiele (Honkai Impact 3rd)
24,Echtzeitstrategie (Clash Royale)
25,"Ego Shooter (Pubg, Fortnite)"
26,MMORPG
27,Musik oder Rhythmusspiel
28,Weniger als 75
29,76-150
30,151-750
31,751-1500
32,Mehr als 1500
33,Erfahrung: Das Spiel zu spielen ist eine unterhaltsame und interessante Erfahrung.
34,"Sammeln: Sammle die Charaktere, Gegenstände und Kostüme, um die Sammlung zu vervollständigen"
35,Geschichte: Interessiert an der Geschichte des Spiels
36,Strategie: Löse herausfordernde Probleme und Rätsel im Spiel
37,"Wettbewerb: Steige in der Rangliste auf, um mehr Ruhm zu erlangen"
38,"Charaktere entwickeln: Charaktere steigern, Teamgeist"
39,Freizeit: Zum Entspannen und Zeit töten
40,Soziales: Freunde finden und / oder mit Freunden im Spiel spielen
41,Ich weiß nicht / ich spiele was ich will. Ich habe keine besonderes Motiv
42,Musik hören
43,Comics lesen
44,Romane lesen
45,Radio und Podcast hören
46,Fernsehen / Filme schauen
47,"Schaue mir Animes, Mangas und Videospiele an"
48,Cartoons schauen
49,Durchsuche Spielforen
50,Sonstiges (das Feld kann ausgefüllt werden)
51,Männlich
52,Weiblich
53,Unter 16
54,16-18
55,19-22
56,23-25
57,Über 25
58,Ich bin ein/e Student/in
59,in einem Arbeitsverhältnis
60,Andere
61,Charaktere sammeln
62,Kristalle aufleveln
63,Diener trainieren
64,Tests
65,Sonstiges (das Feld kann ausgefüllt werden)
66,Andere
67,Geheim
