id,name
1,Schuluniform
2,Arztkleidung
3,Tea Time
4,Britisch
5,Holy Moly
6,Côte d’Azur
7,Kissenschlacht
8,Shoppingtour
9,Rote Uniform
10,Kuschelkätzchen
11,Engelsklänge
12,Städtetour
13,Spritztour
14,Pyjama-Party
15,Traumland
16,Blaue Uniform
17,Schwertmeister
18,Kampfanzug
19,Halloween
20,Himmels-Kimono
21,Blüten-Kimono
22,Flieder-Kimono
23,Grünes Cheongsam
24,Zahnradmechanik
25,Amarantrot
26,Kastanienbraun
27,Himmelblau
28,Abenteurer
29,Höllenteufel
30,Himmel ohne Grenzen
31,Silbernes Cheongsam
32,Schwarzes Cheongsam
33,Weihnachtself
34,Papierdrachen
35,Nachtlichter
36,Adelshaus
37,Nachtalb
38,Märchenland
39,Fondant-Torte
40,Creme Party
41,Abendmode
42,Trompeter
43,Raumanzug
44,Schwarzer JK Anzug
45,Weißer JK Anzug
46,Grauer JK Anzug
