id,desc,tips
1,"Jedes Mal wenn du {2} Mal Outfit-Teile gezogen hast (Ziehen im limitierten Outfit-Shop eingeschlossen), werden Mut, Charme und Wissen jeweils um {3} erhöht. (Dieser Bonus kann maximal {1} Mal ausgelöst werden. Bereits {4} Mal gezogen.)",
2,Verringert beim Leveln oder Austauschen von Kristallen die benötigte Anzahl an Kristallmeißeln um {1}%%,
3,"Gibt beim Kauf auf dem Markt eine {1}%%ige Wahrscheinlichkeit, {2}%% der Kosten zurück zu erhalten",Sonderbonus vom Outfit ausgelöst! Die für den Kauf verwendeten Items wurden teilweise zurückgegeben!
4,"Gibt beim 10x-Einschreiben eine {1}%%ige Wahrscheinlichkeit, 1 verwendeten Stempel zurück zu erhalten",Sonderbonus vom Outfit ausgelöst! 1 Stempel wurde zurückgegeben!
5,"Gibt beim 10x-Ziehen an der Super Kapselmaschine (auch Wunschkapseln) eine {1}%%ige Wahrscheinlichkeit, 1 verwendete Super Kapselmünze zurück zu erhalten",Sonderbonus vom Outfit ausgelöst! 1 Super Kapselmünze wurde zurückgegeben!
6,"Gibt beim Herstellen eines Geschenkes unter Date eine {1}%%ige Wahrscheinlichkeit, 1 zusätzliches Geschenk herzustellen.",Sonderbonus vom Outfit ausgelöst! Zusätzliche Geschenke wurden hergestellt!
7,"Gibt beim Sammeln der Komfort-Belohnungen im Wohnheim eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% davon zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Belohnungen erhalten!
8,"Gibt beim Sammeln der täglichen Login-Belohnungen eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% davon zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Belohnungen erhalten!
9,"Gibt beim Ziehen am normalen Glücksautomaten eine {1}%%ige Wahrscheinlichkeit, die erhaltenen Coupons um {2}%% zu vermehren.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Coupons erhalten!
10,"Gibt beim Sammeln der Kampfausbeute eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% der Münzausbeute zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Münzen erhalten!
11,"Gibt beim Sammeln der Kampfausbeute eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% der EXP-Saftausbeute zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche EXP-Säfte erhalten!
12,"Gibt beim Sammeln eines Herzen (unter Freunde) eine {1}%%ige Wahrscheinlichkeit, 1 zusätzliches Herz zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Herzen erhalten!
13,"Gibt beim Sammeln der täglich einmaligen Gratisbelohnungen in der Alchemie eine {1}%%ige Wahrscheinlichkeit, diese Gratischance nochmal zu erhalten. (Dieser Bonus kann täglich maximal 1 Mal ausgelöst werden.)",Sonderbonus vom Outfit ausgelöst! Du hast eine zusätzliche Gratischance für die Alchemie erhalten!
14,"Gibt beim Sammeln der Belohnungen für Aufgaben unter Buch der Illusion eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% von den fehlenden Seiten zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche fehlende Seiten erhalten!
15,"Die Dauer, während der sich Ausbeute durch Offline-Kampf automatisch ansammelt, wird um {1} Minuten verlängert.",
16,Erhöht die Anzahl deiner Mädchen-Plätze um {1}.,
17,"Gibt bei jeder Herausforderung in der Ultimativen Arena eine {1}%%ige Wahrscheinlichkeit, 1 Arenaticket zurück zu erhalten.",Sonderbonus vom Outfit ausgelöst! 1 Arenaticket wurde zurückgegeben!
18,Gibt beim täglichen Anmelden in der Gilde {1} zusätzliche Gildenmünzen.,Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Gildenmünzen erhalten!
19,Erhöht die erhaltenen Münzen im Täglichen Quiz - Münzen-Quiz um {1}%%,
20,Erhöht den erhaltenen EXP-Saft im Täglichen Quiz - EXP-Quiz um {1}%%,
21,Erhöht beim Abrechnen des Ansehens im Korridor der Zeit die Anzahl der erhaltenen Sternfragmente um {1}%%,Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Sternfragmente erhalten!
22,"Gibt beim Abrechnen des Ansehens im Korridor der Zeit eine {1}%%ige Wahrscheinlichkeit, {2}%% zusätzliche Versorgungsbelohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Versorgungsbelohnungen erhalten!
23,"Gibt beim Sieg unter Buchheiligtum eine {1}%%ige Wahrscheinlichkeit, {2}%% zusätzliche heilige Bücher zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche heilige Bücher erhalten!
24,"Gibt beim Kauf unter Patrouille eine {1}%%ige Wahrscheinlichkeit, {2}%% der Kosten zurückzuerhalten.",Sonderbonus vom Outfit ausgelöst! Die für den Kauf verwendeten Items wurden teilweise zurückgegeben!
25,"Gibt beim Sammeln der Stufenbelohnungen unter ""Alter Campus"" eine {1}%%ige Wahrscheinlichkeit, {2}%%i zusätzliche Leitfadenmaterialien zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Leitfadenmaterialien erhalten!
26,"Gibt beim Abrechnen der Belohnungen unter ""Sicherheitstrupp"" {1}%% zusätzliche Kristallmeißel.",
27,"Gibt beim Sieg gegen Boss unter Freunde - Koorperation eine {1}%%ige Wahrscheinlichkeit, {2}%% zusätzliche Tötungsbelohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Tötungsbelohnungen erhalten!
28,"Gibt beim Sammeln des gratis Tagespaketes eine {1}%%ige Wahrscheinlichkeit, doppelte Belohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast doppelte Belohnungen erhalten!
29,"Gibt beim Übertragen der Mädchen eine {1}%%ige Wahrscheinlichekit, {2}%% zusätzliche Klassenlisten zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Klassenlisten erhalten!
30,"Gibt beim Sammeln der Belohnungen unter Tägliches Quiz - Münzen-Quiz eine {1}%%ige Wahrscheinlichkeit, doppelte Belohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast im Münzen-Quiz doppelte Belohnungen erhalten!
31,"Gibt beim Sammeln der Belohnungen unter Tägliches Quiz - EXP-Quiz eine {1}%%ige Wahrscheinlichkeit, doppelte Belohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast im EXP-Quiz doppelte Belohnungen erhalten!
32,"Gibt beim Sammeln der Belohnungen unter Tägliches Quiz - Mädchen-Quiz eine {1}%%ige Wahrscheinlichkeit, doppelte Belohnungen zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast im Mädchen-Quiz doppelte Belohnungen erhalten!
33,"Gibt beim Kaufen der Zulassungstickets unter Prüfung eine {1}%%ige Wahrscheinlichkeit, {2}%% der Kosten (Dias) zurückzugeben.",Sonderbonus vom Outfit ausgelöst! Die für den Kauf verwendeten Items wurden teilweise zurückgegeben!
34,"Gibt beim Sammeln der Bewertungsbelohnungen im Schaufenster eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% der Silberetiketten zu erhalten",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Silberetiketten erhalten!
35,"Gibt beim Verwenden jedes Stempels eine {1}%%ige Wahrscheinlichkeit, zusätzlich {2}%% an Ordnern zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast zusätzliche Ordner erhalten!
36,"Gibt beim Ziehen jeder Super Kapselmünze (auch mit Dias gekaufte Züge) eine {1}%%ige Wahrscheinlichkeit, doppelte Energie für das goldene Ei zu erhalten.",Sonderbonus vom Outfit ausgelöst! Du hast die doppelte Energie für das goldene Ei erhalten!
