id,buff_id,plus_minus,name,sec
1,atk|atkP|siphonAtk|vanity,1,Angriff erhöht,Erhöht den Angriff des Mädchens
2,hp|hpP|addHpLimit,1,HP erhöht,Erhöht die HP des Mädchens
3,arm|armP|siphonArm,1,Rüstung erhöht,Erhöht die Rüstung des Mädchens
4,spd|spdSteal,1,Speed erhöht,Erhöht den Speed des Mädchens
5,sklP,1,Skill-Schaden erhöht,Erhöht den Skill-Bonusschaden des Mädchens
6,hit,1,Präzision erhöht,Erhöht die Präzision des Mädchens
7,miss|missLimit2,1,Blockade erhöht,Erhöht die Blockade des Mädchens
8,crit,1,Krit. Rate erhöht,Erhöht die Krit. Rate des Mädchens
9,critTime|critTimeBlood,1,Krit. Schaden erhöht,Erhöht den Krit. Schaden des Mädchens
10,brk,1,Rüstungsbruch erhöht,Erhöht den Rüstungsbruch des Mädchens
11,free,1,Kontrollimmunität erhöht,Erhöht die Kontrollimmunität des Mädchens
12,trueAtk,1,Heiliger Schaden erhöht,Erhöht den heiligen Schaden des Mädchens
13,decDmg|decDmgBlood|decDmgNadd|allHarmDec,1,Schadensreduzierungsrate erhöht,Erhöht die Schadensreduzierungsrate des Mädchens
14,healB,1,Erhaltene Heilung erhöht,Erhöht die erhaltene Heilung des Mädchens
15,healI,1,Heilung erhöht,Erhöht die Heilung des Mädchens
16,atk|atkP|siphonAtk|vanity,2,Angriff reduziert,Reduziert den Angriff des Mädchens
17,hp|hpP,2,HP reduziert,Reduziert die HP des Mädchens
18,arm|armP|siphonArm,2,Rüstung reduziert,Reduziert die Rüstung des Mädchens
19,spd|spdSteal,2,Speed reduziert,Reduziert den Speed des Mädchens
20,sklP,2,Skill-Schaden reduziert,Reduziert den Skill-Bonusschaden des Mädchens
21,hit,2,Präzision reduziert,Reduziert die Präzision des Mädchens
22,miss|missLimit2,2,Blockade reduziert,Reduziert die Blockade des Mädchens
23,crit,2,Krit. Rate reduziert,Reduziert die Krit. Rate des Mädchens
24,critTime|critTimeBlood,2,Krit. Schaden reduziert,Reduziert den Krit. Schaden des Mädchens
25,brk,2,Rüstungsbruch reduziert,Reduziert den Rüstungsbruch des Mädchens
26,free,2,Kontrollimmunität reduziert,Reduziert die Kontrollimmunität des Mädchens
27,trueAtk,2,Heiliger Schaden reduziert,Reduziert den heiligen Schaden des Mädchens
28,decDmg|decDmgBlood|decDmgNadd,2,Schadensreduzierungsrate reduziert,Reduziert die Schadensreduzierungsrate des Mädchens
29,healB,2,Erhaltene Heilung reduziert,Reduziert die erhaltene Heilung des Mädchens
30,healI,2,Heilung reduziert,Reduziert die Heilung des Mädchens
31,weak,,Schwächungszeichen,Die Gegner mit diesem Schwächungszeichen erleiden zusätzlichen Schaden. Kann nicht gestapelt werden.
32,stun,,Betäuben,"Kontrolleffekt. Betäubte Mädchen können weder ihre aktive Fertigkeit noch einen Standardangriff, Folgeangriff oder Konterangriff durchführen."
33,ice,,Einfrieren,"Kontrolleffekt. Eingefrorene Mädchen können weder ihre aktive Fertigkeit noch einen Standardangriff, Folgeangriff oder Konterangriff durchführen."
34,stone,,Versteinern,"Kontrolleffekt. Versteinerte Mädchen können weder ihre aktive Fertigkeit noch einen Standardangriff, Folgeangriff oder Konterangriff durchführen."
35,forbid,,Lähmen,Kontrolleffekt. Die gelähmten Mädchen können ihre aktive Fertigkeit nicht einsetzen.
36,hot|healP,,HP-Regeneration,Erhöht zu Beginn jeder Runde die HP des Mädchens um einen bestimmten Wert.
37,dotPoison,,Giftschaden,Kontinuierlicher Schaden. Beim Zufügen eines Giftschadens wird dem Ziel zunächst ein einmaliger Schaden und dann kontinuierlich zu Beginn jeder Runde ein weiterer Schaden zugefügt.
38,dotBlood,,Blutschaden,Kontinuierlicher Schaden. Beim Zufügen eines Blutschadens wird dem Ziel zunächst ein einmaliger Schaden und dann kontinuierlich zu Beginn jeder Runde ein weiterer Schaden zugefügt.
39,dotFire,,Brennschaden,Kontinuierlicher Schaden. Beim Zufügen eines Brennschadens wird dem Ziel zunächst ein einmaliger Schaden und dann kontinuierlich zu Beginn jeder Runde ein weiterer Schaden zugefügt.
40,rImpress,,Runde-Zeichen,Beim Auslösen des Runde-Zeichens wird dem Mädchen mit diesem Zeichen ein bestimmter Schaden zugefügt. Kann gestapelt werden.
41,cImpress,,Krit. Zeichen,"Erleidet das Mädchen mit dem ""Krit. Zeichen"" einen Krit. Schaden, wird das Krit. Zeichen ausgelöst und dieses Mädchen erleidet einen bestimmten Schaden. Kann gestapelt werden."
42,fImpress,,Yinyang Zeichen,"Erhöht den Schaden, den Priesterin dem Gegner mit diesem Zeichen zufügt, um einen bestimmten Wert. Kann gestapelt werden."
43,oImpress,,Hornissen-Zeichen,"Wird der Träger angegriffen, wird der erlittene Schaden zusätzlich um einen bestimmten Wert erhöht. Kann gestapelt werden. Dieser Zusatzschaden gegen einen einzigen Gegner kann maximal auf 300% gestapelt werden."
44,dotTwins,,Bringer des Schicksals,Beim Zufügen des Effektes wird dem Zielmädchen direkt ein Schaden zugefügt. Zu Beginn nächster Runde wird diesem Mädchen ein Schaden im gleichen Wert wie zuvor nochmal zugefügt.
45,aggression,,Aufladung,"Setzt die Besitzerin aktive Fertigkeits durch, werden alle Aufladungen aufgehoben. Jede Aufladung fügt dem Geger mit den niedrigsten HP einen Schaden und zusätzlich einen Blutschaden zu."
47,frighten,,Erschrecken,"Kontrolleffekt. Erschreckte Ziele haben keine Möglichkeit, einen Standardangriff zu starten."
48,decDmgShieldLimit5,,Schwertschild,Jeder Schwertsschild erhöht die Kontrollimmunitätsrate und die Schadensreduzierung jeweils um einen bestimmten Wert. Maximal auf 5 Schichten stapelbar.
