id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,Eröffnungsfeier,"Senpai, bitte achte auf die Zeit. Die Eröffnungsfeier beginnt gleich."
4,1,Neulinge,"Senpai, sei vorsichtig, wohin du gehst! Es ist meine Schuld... Bist du verletzt?"
5,1,Haus der Menschen,Senpai! Was ist .. dieser Test?
6,1,Haus der Monster,"Iron Fist, du solltest auf Senpai hören und ins Haus der Monster gehen. Stimmt, Senpai? Das Haus ist gegenüber von uns, da kannst du an der Prüfung des Monster Hauses teilnehmen?"
7,1,Haus der Engel,"Ich habe stundenlang auf euch beide gewartet, ich dachte ihr hattet Probleme im Haus der Monster..."
8,1,Die Elfen,"Gehe zum Prüfungszentrum, das von KongMing geleitet wird?"
9,1,Haus der Dämonen,"Ah, Dämonen Haus... Klingt schrecklich... | Haha, ist schon gut. Mach dir keine Sorgen, Iron Fist. Lucifer ist eigentlich eine ziemlich coole Person."
10,1,Haus der Geister,Vampire? Sie unterscheiden sich nicht von Dämonen...
11,1,Abendessen,"Senpai, nach einem langen Arbeitstag sollten wir zum Abendessen gehen"
12,1,Tumult,Senpai? Senpai?! Was ist los mit diesen Studenten da drüben?
13,2,Mädchen Wohnheim,Was ist auf dem Campus passiert? Lass es uns herausfinden!
14,2,Zu Spät,Was ist auf dem Campus passiert? Lass es uns herausfinden!
15,2,Gebratenes Nudelbrot,Was ist auf dem Campus passiert? Lass es uns herausfinden!
16,2,Freundschaft und Schweiß,Was ist auf dem Campus passiert? Lass es uns herausfinden!
17,2,Buchclub,Was ist auf dem Campus passiert? Lass es uns herausfinden!
18,2,Tee-Club,Was ist auf dem Campus passiert? Lass es uns herausfinden!
19,2,Studentenwerk,Was ist auf dem Campus passiert? Lass es uns herausfinden!
20,2,SHINING BAND,Was ist auf dem Campus passiert? Lass es uns herausfinden!
21,2,Plötzlich,Was ist auf dem Campus passiert? Lass es uns herausfinden!
22,2,Lucifer,Was ist auf dem Campus passiert? Lass es uns herausfinden!
23,3,Disziplinarkomitee,Was ist auf dem Campus passiert? Lass es uns herausfinden!
24,3,Untersuchung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
25,3,Zurück zur Szene,Was ist auf dem Campus passiert? Lass es uns herausfinden!
26,3,CHAOS FIGUR,Was ist auf dem Campus passiert? Lass es uns herausfinden!
27,3,Blutmond,Was ist auf dem Campus passiert? Lass es uns herausfinden!
28,3,Herr der Nacht,Was ist auf dem Campus passiert? Lass es uns herausfinden!
29,3,Gefährliche Situation,Was ist auf dem Campus passiert? Lass es uns herausfinden!
30,3,Unaufhaltsam,Was ist auf dem Campus passiert? Lass es uns herausfinden!
31,3,Gefallene Flügel,Was ist auf dem Campus passiert? Lass es uns herausfinden!
32,3,Nachlassen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
33,4,Traum,Was ist auf dem Campus passiert? Lass es uns herausfinden!
34,4,Hanabi Mädchen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
35,4,Kleiner Wunsch,Was ist auf dem Campus passiert? Lass es uns herausfinden!
36,4,Großer Straßenkampf,Was ist auf dem Campus passiert? Lass es uns herausfinden!
37,4,Verteidiger,Was ist auf dem Campus passiert? Lass es uns herausfinden!
38,4,Schöne Nacht,Was ist auf dem Campus passiert? Lass es uns herausfinden!
39,4,Absolvent,Was ist auf dem Campus passiert? Lass es uns herausfinden!
40,4,Seltsames Foto,Was ist auf dem Campus passiert? Lass es uns herausfinden!
41,4,Licht und Dunkelheit,Was ist auf dem Campus passiert? Lass es uns herausfinden!
42,4,D.E.F,Was ist auf dem Campus passiert? Lass es uns herausfinden!
43,5,Spezialtraining,Was ist auf dem Campus passiert? Lass es uns herausfinden!
44,5,Aussichtslose Flucht,Was ist auf dem Campus passiert? Lass es uns herausfinden!
45,5,Störenfried,Was ist auf dem Campus passiert? Lass es uns herausfinden!
46,5,Primärtest,Was ist auf dem Campus passiert? Lass es uns herausfinden!
47,5,Herausforderer,Was ist auf dem Campus passiert? Lass es uns herausfinden!
48,5,Erweiterter Test,Was ist auf dem Campus passiert? Lass es uns herausfinden!
49,5,Fang mich wenn du kannst,Was ist auf dem Campus passiert? Lass es uns herausfinden!
50,5,Supermächtiges Mädchen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
51,5,Abschlussprüfung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
52,5,Unerwartete Wahrheit,Was ist auf dem Campus passiert? Lass es uns herausfinden!
53,6,Der Anfang,Was ist auf dem Campus passiert? Lass es uns herausfinden!
54,6,Chinesische Küche,Was ist auf dem Campus passiert? Lass es uns herausfinden!
55,6,Verzauberte Hütte,Was ist auf dem Campus passiert? Lass es uns herausfinden!
56,6,Eine andere Weissagung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
