id,name
10001,Klingenkristall 1
10002,Klingenkristall 1
10003,Klingenkristall 1
10004,Klingenkristall 1
10005,Klingenkristall 1
10006,Klingenkristall 1
10007,Klingenkristall 1
10008,Klingenkristall 1
10009,Klingenkristall 1
10010,Klingenkristall 1
10011,Klingenkristall 1
10012,Klingenkristall 1
10013,Klingenkristall 1
10014,Klingenkristall 1
10015,Klingenkristall 1
10016,Klingenkristall 1
10017,Klingenkristall 1
10018,Klingenkristall 1
10019,Klingenkristall 1
10020,Klingenkristall 1
20001,Holzkristall 1
20002,Holzkristall 1
20003,Holzkristall 1
20004,Holzkristall 1
20005,Holzkristall 1
20006,Holzkristall 1
20007,Holzkristall 1
20008,Holzkristall 1
20009,Holzkristall 1
20010,Holzkristall 1
20011,Holzkristall 1
20012,Holzkristall 1
20013,Holzkristall 1
20014,Holzkristall 1
20015,Holzkristall 1
20016,Holzkristall 1
20017,Holzkristall 1
20018,Holzkristall 1
20019,Holzkristall 1
20020,Holzkristall 1
30001,Dornenkristall 1
30002,Dornenkristall 1
30003,Dornenkristall 1
30004,Dornenkristall 1
30005,Dornenkristall 1
30006,Dornenkristall 1
30007,Dornenkristall 1
30008,Dornenkristall 1
30009,Dornenkristall 1
30010,Dornenkristall 1
30011,Dornenkristall 1
30012,Dornenkristall 1
30013,Dornenkristall 1
30014,Dornenkristall 1
30015,Dornenkristall 1
30016,Dornenkristall 1
30017,Dornenkristall 1
30018,Dornenkristall 1
30019,Dornenkristall 1
30020,Dornenkristall 1
40001,Eisenkristall 1
40002,Eisenkristall 1
40003,Eisenkristall 1
40004,Eisenkristall 1
40005,Eisenkristall 1
40006,Eisenkristall 1
40007,Eisenkristall 1
40008,Eisenkristall 1
40009,Eisenkristall 1
40010,Eisenkristall 1
40011,Eisenkristall 1
40012,Eisenkristall 1
40013,Eisenkristall 1
40014,Eisenkristall 1
40015,Eisenkristall 1
40016,Eisenkristall 1
40017,Eisenkristall 1
40018,Eisenkristall 1
40019,Eisenkristall 1
40020,Eisenkristall 1
50001,Wellenkristall 1
50002,Wellenkristall 1
50003,Wellenkristall 1
50004,Wellenkristall 1
50005,Wellenkristall 1
50006,Wellenkristall 1
50007,Wellenkristall 1
50008,Wellenkristall 1
50009,Wellenkristall 1
50010,Wellenkristall 1
50011,Wellenkristall 1
50012,Wellenkristall 1
50013,Wellenkristall 1
50014,Wellenkristall 1
50015,Wellenkristall 1
50016,Wellenkristall 1
50017,Wellenkristall 1
50018,Wellenkristall 1
50019,Wellenkristall 1
50020,Wellenkristall 1
60001,Schutzkristall 1
60002,Schutzkristall 1
60003,Schutzkristall 1
60004,Schutzkristall 1
60005,Schutzkristall 1
60006,Schutzkristall 1
60007,Schutzkristall 1
60008,Schutzkristall 1
60009,Schutzkristall 1
60010,Schutzkristall 1
60011,Schutzkristall 1
60012,Schutzkristall 1
60013,Schutzkristall 1
60014,Schutzkristall 1
60015,Schutzkristall 1
60016,Schutzkristall 1
60017,Schutzkristall 1
60018,Schutzkristall 1
60019,Schutzkristall 1
60020,Schutzkristall 1
70001,Klingenkristall 2
70002,Klingenkristall 2
70003,Klingenkristall 2
70004,Klingenkristall 2
70005,Klingenkristall 2
70006,Klingenkristall 2
70007,Klingenkristall 2
70008,Klingenkristall 2
70009,Klingenkristall 2
70010,Klingenkristall 2
70011,Klingenkristall 2
70012,Klingenkristall 2
70013,Klingenkristall 2
70014,Klingenkristall 2
70015,Klingenkristall 2
70016,Klingenkristall 2
70017,Klingenkristall 2
70018,Klingenkristall 2
70019,Klingenkristall 2
70020,Klingenkristall 2
80001,Holzkristall 2
80002,Holzkristall 2
80003,Holzkristall 2
80004,Holzkristall 2
80005,Holzkristall 2
80006,Holzkristall 2
80007,Holzkristall 2
80008,Holzkristall 2
80009,Holzkristall 2
80010,Holzkristall 2
80011,Holzkristall 2
80012,Holzkristall 2
80013,Holzkristall 2
80014,Holzkristall 2
80015,Holzkristall 2
80016,Holzkristall 2
80017,Holzkristall 2
80018,Holzkristall 2
80019,Holzkristall 2
80020,Holzkristall 2
90001,Dornenkristall 2
90002,Dornenkristall 2
90003,Dornenkristall 2
90004,Dornenkristall 2
90005,Dornenkristall 2
90006,Dornenkristall 2
90007,Dornenkristall 2
90008,Dornenkristall 2
90009,Dornenkristall 2
90010,Dornenkristall 2
90011,Dornenkristall 2
90012,Dornenkristall 2
90013,Dornenkristall 2
90014,Dornenkristall 2
90015,Dornenkristall 2
90016,Dornenkristall 2
90017,Dornenkristall 2
90018,Dornenkristall 2
90019,Dornenkristall 2
90020,Dornenkristall 2
100001,Eisenkristall 2
100002,Eisenkristall 2
100003,Eisenkristall 2
100004,Eisenkristall 2
100005,Eisenkristall 2
100006,Eisenkristall 2
100007,Eisenkristall 2
100008,Eisenkristall 2
100009,Eisenkristall 2
100010,Eisenkristall 2
100011,Eisenkristall 2
100012,Eisenkristall 2
100013,Eisenkristall 2
100014,Eisenkristall 2
100015,Eisenkristall 2
100016,Eisenkristall 2
100017,Eisenkristall 2
100018,Eisenkristall 2
100019,Eisenkristall 2
100020,Eisenkristall 2
110001,Wellenkristall 2
110002,Wellenkristall 2
110003,Wellenkristall 2
110004,Wellenkristall 2
110005,Wellenkristall 2
110006,Wellenkristall 2
110007,Wellenkristall 2
110008,Wellenkristall 2
110009,Wellenkristall 2
110010,Wellenkristall 2
110011,Wellenkristall 2
110012,Wellenkristall 2
110013,Wellenkristall 2
110014,Wellenkristall 2
110015,Wellenkristall 2
110016,Wellenkristall 2
110017,Wellenkristall 2
110018,Wellenkristall 2
110019,Wellenkristall 2
110020,Wellenkristall 2
120001,Schutzkristall 2
120002,Schutzkristall 2
120003,Schutzkristall 2
120004,Schutzkristall 2
120005,Schutzkristall 2
120006,Schutzkristall 2
120007,Schutzkristall 2
120008,Schutzkristall 2
120009,Schutzkristall 2
120010,Schutzkristall 2
120011,Schutzkristall 2
120012,Schutzkristall 2
120013,Schutzkristall 2
120014,Schutzkristall 2
120015,Schutzkristall 2
120016,Schutzkristall 2
120017,Schutzkristall 2
120018,Schutzkristall 2
120019,Schutzkristall 2
120020,Schutzkristall 2
130001,Klingenkristall 3
130002,Klingenkristall 3
130003,Klingenkristall 3
130004,Klingenkristall 3
130005,Klingenkristall 3
130006,Klingenkristall 3
130007,Klingenkristall 3
130008,Klingenkristall 3
130009,Klingenkristall 3
130010,Klingenkristall 3
130011,Klingenkristall 3
130012,Klingenkristall 3
130013,Klingenkristall 3
130014,Klingenkristall 3
130015,Klingenkristall 3
130016,Klingenkristall 3
130017,Klingenkristall 3
130018,Klingenkristall 3
130019,Klingenkristall 3
130020,Klingenkristall 3
140001,Holzkristall 3
140002,Holzkristall 3
140003,Holzkristall 3
140004,Holzkristall 3
140005,Holzkristall 3
140006,Holzkristall 3
140007,Holzkristall 3
140008,Holzkristall 3
140009,Holzkristall 3
140010,Holzkristall 3
140011,Holzkristall 3
140012,Holzkristall 3
140013,Holzkristall 3
140014,Holzkristall 3
140015,Holzkristall 3
140016,Holzkristall 3
140017,Holzkristall 3
140018,Holzkristall 3
140019,Holzkristall 3
140020,Holzkristall 3
150001,Dornenkristall 3
150002,Dornenkristall 3
150003,Dornenkristall 3
150004,Dornenkristall 3
150005,Dornenkristall 3
150006,Dornenkristall 3
150007,Dornenkristall 3
150008,Dornenkristall 3
150009,Dornenkristall 3
150010,Dornenkristall 3
150011,Dornenkristall 3
150012,Dornenkristall 3
150013,Dornenkristall 3
150014,Dornenkristall 3
150015,Dornenkristall 3
150016,Dornenkristall 3
150017,Dornenkristall 3
150018,Dornenkristall 3
150019,Dornenkristall 3
150020,Dornenkristall 3
160001,Eisenkristall 3
160002,Eisenkristall 3
160003,Eisenkristall 3
160004,Eisenkristall 3
160005,Eisenkristall 3
160006,Eisenkristall 3
160007,Eisenkristall 3
160008,Eisenkristall 3
160009,Eisenkristall 3
160010,Eisenkristall 3
160011,Eisenkristall 3
160012,Eisenkristall 3
160013,Eisenkristall 3
160014,Eisenkristall 3
160015,Eisenkristall 3
160016,Eisenkristall 3
160017,Eisenkristall 3
160018,Eisenkristall 3
160019,Eisenkristall 3
160020,Eisenkristall 3
170001,Wellenkristall 3
170002,Wellenkristall 3
170003,Wellenkristall 3
170004,Wellenkristall 3
170005,Wellenkristall 3
170006,Wellenkristall 3
170007,Wellenkristall 3
170008,Wellenkristall 3
170009,Wellenkristall 3
170010,Wellenkristall 3
170011,Wellenkristall 3
170012,Wellenkristall 3
170013,Wellenkristall 3
170014,Wellenkristall 3
170015,Wellenkristall 3
170016,Wellenkristall 3
170017,Wellenkristall 3
170018,Wellenkristall 3
170019,Wellenkristall 3
170020,Wellenkristall 3
180001,Schutzkristall 3
180002,Schutzkristall 3
180003,Schutzkristall 3
180004,Schutzkristall 3
180005,Schutzkristall 3
180006,Schutzkristall 3
180007,Schutzkristall 3
180008,Schutzkristall 3
180009,Schutzkristall 3
180010,Schutzkristall 3
180011,Schutzkristall 3
180012,Schutzkristall 3
180013,Schutzkristall 3
180014,Schutzkristall 3
180015,Schutzkristall 3
180016,Schutzkristall 3
180017,Schutzkristall 3
180018,Schutzkristall 3
180019,Schutzkristall 3
180020,Schutzkristall 3
190001,Klingenkristall 4
190002,Klingenkristall 4
190003,Klingenkristall 4
190004,Klingenkristall 4
190005,Klingenkristall 4
190006,Klingenkristall 4
190007,Klingenkristall 4
190008,Klingenkristall 4
190009,Klingenkristall 4
190010,Klingenkristall 4
190011,Klingenkristall 4
190012,Klingenkristall 4
190013,Klingenkristall 4
190014,Klingenkristall 4
190015,Klingenkristall 4
190016,Klingenkristall 4
190017,Klingenkristall 4
190018,Klingenkristall 4
190019,Klingenkristall 4
190020,Klingenkristall 4
200001,Holzkristall 4
200002,Holzkristall 4
200003,Holzkristall 4
200004,Holzkristall 4
200005,Holzkristall 4
200006,Holzkristall 4
200007,Holzkristall 4
200008,Holzkristall 4
200009,Holzkristall 4
200010,Holzkristall 4
200011,Holzkristall 4
200012,Holzkristall 4
200013,Holzkristall 4
200014,Holzkristall 4
200015,Holzkristall 4
200016,Holzkristall 4
200017,Holzkristall 4
200018,Holzkristall 4
200019,Holzkristall 4
200020,Holzkristall 4
210001,Dornenkristall 4
210002,Dornenkristall 4
210003,Dornenkristall 4
210004,Dornenkristall 4
210005,Dornenkristall 4
210006,Dornenkristall 4
210007,Dornenkristall 4
210008,Dornenkristall 4
210009,Dornenkristall 4
210010,Dornenkristall 4
210011,Dornenkristall 4
210012,Dornenkristall 4
210013,Dornenkristall 4
210014,Dornenkristall 4
210015,Dornenkristall 4
210016,Dornenkristall 4
210017,Dornenkristall 4
210018,Dornenkristall 4
210019,Dornenkristall 4
210020,Dornenkristall 4
220001,Eisenkristall 4
220002,Eisenkristall 4
220003,Eisenkristall 4
220004,Eisenkristall 4
220005,Eisenkristall 4
220006,Eisenkristall 4
220007,Eisenkristall 4
220008,Eisenkristall 4
220009,Eisenkristall 4
220010,Eisenkristall 4
220011,Eisenkristall 4
220012,Eisenkristall 4
220013,Eisenkristall 4
220014,Eisenkristall 4
220015,Eisenkristall 4
220016,Eisenkristall 4
220017,Eisenkristall 4
220018,Eisenkristall 4
220019,Eisenkristall 4
220020,Eisenkristall 4
230001,Wellenkristall 4
230002,Wellenkristall 4
230003,Wellenkristall 4
230004,Wellenkristall 4
230005,Wellenkristall 4
230006,Wellenkristall 4
230007,Wellenkristall 4
230008,Wellenkristall 4
230009,Wellenkristall 4
230010,Wellenkristall 4
230011,Wellenkristall 4
230012,Wellenkristall 4
230013,Wellenkristall 4
230014,Wellenkristall 4
230015,Wellenkristall 4
230016,Wellenkristall 4
230017,Wellenkristall 4
230018,Wellenkristall 4
230019,Wellenkristall 4
230020,Wellenkristall 4
240001,Schutzkristall 4
240002,Schutzkristall 4
240003,Schutzkristall 4
240004,Schutzkristall 4
240005,Schutzkristall 4
240006,Schutzkristall 4
240007,Schutzkristall 4
240008,Schutzkristall 4
240009,Schutzkristall 4
240010,Schutzkristall 4
240011,Schutzkristall 4
240012,Schutzkristall 4
240013,Schutzkristall 4
240014,Schutzkristall 4
240015,Schutzkristall 4
240016,Schutzkristall 4
240017,Schutzkristall 4
240018,Schutzkristall 4
240019,Schutzkristall 4
240020,Schutzkristall 4
