id,desc
1,"Hallo und herzlich willkommen in den Korridoren der Zeit, Senpai! Lass mich dir die Regeln dieses neuen Features erklären!"
2,"Dieses Rad hier ist der Eingang zu den verschiedenen Korridoren. Klicke auf die verschiedenen Felder, um den Korridor zu wechseln."
3,Mit diesem Knopf kommst du zu den Erfolgen. Hier sind alle deine Erfolge aus den Korridoren aufgelistet~
4,"Hier gelangst du zu den verschiedenen Stufen. Jeder Korridor hat mehrere Stufen, die du jederzeit spielen kannst~"
5,"Tippe hier, um die erste Erinnerung anzuschauen!"
6,"Verwende den ""Zeitstaub"", um das Ansehen zu beschleunigen und die Belohnungen schneller zu sammeln."
7,"Senpai, du hast ""Zeitstaub"" erhalten! Tippe hier, um ihn zu verwenden!"
8,Das Ansehen wurde beendet und du musst die Abrechnung manuell durchführen.
9,"Hier siehst du alle Karten, die während des Ansehens ausgelöst werden können."
10,"Unter ""Verlauf"" hast du einen Überblick über alle während des Ansehens ausgelösten Karten."
11,Das ist die Vorschau deiner Belohnungen während des Ansehens. Alle Belohnungen erhältst du bei der Abrechnung.
12,"Tippe hier, um das Ansehen in diesem Korridor abzurechnen~"
13,"Verwende die ""Sternfragmente"", um die Zweige im Sternkreisel zu leveln und dir mehrere Buffs fürs Ansehen zu sichern!"
14,"Du hast durchs Ansehen ""Sternfragmente"" erhalten. Tippe hier, um die Zweige im Sternkreisel zu leveln~"
15,"Die Zweige sind in 2 Gruppen unterteilt. Tippe hier, um die Zweige von Gruppe 1 zu prüfen."
