id,name,desc,unlock
1,Anschau-Dauer · I,"Schaust du die Erinnerungsfetzen in diesem Korridor an, wird die Anfangszahl deiner Taschenuhren um {1} erhöht.",
2,Anschau-Dauer · II,"Schaust du die Erinnerungsfetzen in diesem Korridor an, wird die Anfangszahl deiner Taschenuhren um {1} erhöht.","Voraussetzung: ""Anschau-Dauer · I"" auf Lv.2; Mut in diesem Korridor hat 500 Punkte erreicht."
3,Anschau-Dauer · III,"Schaust du die Erinnerungsfetzen in diesem Korridor an, wird die Anfangszahl deiner Taschenuhren um {1} erhöht.","Voraussetzung: ""Anschau-Dauer · II"" auf Lv.3; Charme in diesem Korridor hat 1000 Punkte erreicht."
4,Anschau-Dauer · IV,"Schaust du die Erinnerungsfetzen in diesem Korridor an, wird die Anfangszahl deiner Taschenuhren um {1} erhöht.","Voraussetzung: ""Anschau-Dauer · III"" auf Lv.3; Wissen in diesem Korridor hat 1500 Punkte erreicht."
5,Anschau-Dauer · V,"Schaust du die Erinnerungsfetzen in diesem Korridor an, wird die Anfangszahl deiner Taschenuhren um {1} erhöht.","Voraussetzung: Mut, Charme und Wissen haben jeweils 1700 Punkte erreicht."
6,Standardversorgung · I,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Standardversorgung"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.",
7,Standardversorgung · II,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Standardversorgung"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 10% erreicht hat."
8,Standardversorgung · III,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Standardversorgung"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 20% erreicht hat."
9,Standardversorgung · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Standardversorgung"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 30% erreicht hat."
10,Standardversorgung · V,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Standardversorgung"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 40% erreicht hat."
11,Knopf · I,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Knopf"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.",
12,Knopf · II,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Knopf"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 20% erreicht hat."
13,Knopf · III,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Knopf"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 40% erreicht hat."
14,Knopf · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Knopf"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 60% erreicht hat."
15,Knopf · V,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Knopf"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 80% erreicht hat."
16,Seidentuch · I,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.",
17,Seidentuch · II,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 15% erreicht hat."
18,Seidentuch · III,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 30% erreicht hat."
