id,title,text
1,vip_awards,Erhältlich nach dem Erreichen des VIP Levels:
2,vip_giftbox,Kaufbar nach Erreichen des VIP Levels:
3,month_card_awards_show,Tägl. Zusatzboni (nach dem Kauf der Monatskarte)
4,gacha_box,Entsperrt Belohnungen im goldenen Ei
5,gamble,"Entsperrt ""10 X ziehen"" am norm. Glücksautomaten"
7,partners_limit,Max Mädchenkapazität: +
8,extra_midas,Zusätzlich erhältliche Alchemie-Münzen: ＋
10,extra_output,"Münzen, EXP, EXP Saft als Kampfausbeute: ＋"
11,pub_mission_num,Jobaufgaben Limit:
12,battle_speed,Entsperrt vielfaches Tempo beim Kampf
13,quiz_buy_times,Quiz-Kaufmenge: ＋
9,midas_buy_times,Kaufmale in der Alchemie:
14,travel_buy_time_limit,Kauflimit von schmackhaften Broten:
6,gamble_up,"Entsperrt ""10 X ziehen"" am Super Glücksautomaten"
15,gacha_50times,"Entsperrt 50X Modus an der Super Kapselmaschine\n(nur während des Events ""Willkommenskapseln"")"
16,auto_transfer,"Entsperrt ""Auto. Übertragen"" an der Super\nKapselmaschine\n(nur während des Events ""Willkommenskapseln"")"
17,login_double,Doppelte Dias beim täglichen Anmelden
