id,type,buff,num,round,prob,fx_hurt1
1004001,1004,spd,20,0,1,
1004002,1004,spd,30,99,1,
1004003,1004,spd,40,0,1,
1004004,1004,spd,50,0,1,
1004005,1004,spd,60,0,1,
1004006,1004,spd,15,2,1,
1004007,1004,spd,-20,2,1,
1004008,1004,spd,25,2,1,
1004009,1004,spd,10,3,1,
1004010,1004,spd,15,3,1,
1004011,1004,spd,30,3,1,
1004012,1004,spd,-30,3,1,
1004013,1004,spd,5,3,1,
1004014,1004,spd,10,99,1,
1004015,1004,spd,15,99,1,
1004016,1004,spd,-30,4,1,
1004017,1004,spd,-27,4,1,
1004018,1004,spd,-24,4,1,
1004019,1004,spd,-21,4,1,
1004020,1004,spd,-18,4,1,
1004021,1004,spd,-15,4,1,
1004022,1004,spd,-12,4,1,
1004023,1004,spd,-9,4,1,
1004024,1004,spd,-6,4,1,
1004025,1004,spd,-3,4,1,
1004026,1004,spd,15,0,1,
1004027,1004,spd,25,0,1,
1004028,1004,spd,20,3,1,
1004029,1004,spd,-50,2,1,
1004030,1004,spd,10,0,1,
1004031,1004,spd,20,0,1,
1004032,1004,spd,30,0,1,
1004033,1004,spd,25,0,1,
1004034,1004,spd,80,0,1,
1004035,1004,spd,15,2,1,
1004036,1004,spd,20,2,1,
1004037,1004,spd,25,3,1,
1004038,1004,spd,-20,2,0.7,
1004039,1004,spd,-30,2,0.7,
1004040,1004,spd,-40,2,0.7,
1004041,1004,spd,30,0,1,
1004042,1004,spd,35,0,1,
1004043,1004,spd,35,0,1,
1004044,1004,spd,40,0,1,
1004045,1004,spd,40,0,1,
1004046,1004,spd,-40,2,0.7,
1004047,1004,spd,-40,2,0.75,
1004048,1004,spd,-40,2,0.75,
1004049,1004,spd,-40,2,0.77,
1004050,1004,spd,-40,2,0.8,
1004051,1004,spd,2,99,1,
1004052,1004,spd,20,3,1,
1004053,1004,spd,65,0,1,
1004054,1004,spd,70,0,1,
1004060,1004,spd,20,0,1,
1004061,1004,spd,40,0,1,
1004062,1004,spd,60,0,1,
1004063,1004,spd,50,0,1,
1004064,1004,spd,55,0,1,
1004065,1004,spd,55,0,1,
1004066,1004,spd,60,0,1,
1004067,1004,spd,60,0,1,
1004068,1004,spd,20,99,1,
1004069,1004,spd,40,99,1,
1004070,1004,spd,80,99,1,
1004071,1004,spd,-35,3,1,
1004072,1004,spd,-30,4,1,
1004073,1004,spd,-30,4,1,
1004074,1004,spd,-30,4,1,
1004075,1004,spd,-30,4,1,
1004076,1004,spd,-30,4,1,
1004077,1004,spd,-30,4,1,
1004078,1004,spd,-30,4,1,
1004079,1004,spd,-31,4,1,
1004080,1004,spd,-31,4,1,
1004081,1004,spd,-31,4,1,
1004082,1004,spd,-31,4,1,
1004083,1004,spd,-31,4,1,
1004084,1004,spd,-31,4,1,
1004085,1004,spd,-31,4,1,
1004086,1004,spd,-31,4,1,
1004087,1004,spd,-32,4,1,
1004088,1004,spd,-32,4,1,
1004089,1004,spd,-32,4,1,
1004090,1004,spd,-32,4,1,
1004091,1004,spd,-32,4,1,
1004092,1004,spd,-32,4,1,
1004093,1004,spd,-32,4,1,
1004094,1004,spd,-32,4,1,
1004095,1004,spd,-33,4,1,
1004096,1004,spd,-33,4,1,
1004097,1004,spd,-33,4,1,
1004098,1004,spd,-33,4,1,
1004099,1004,spd,-33,4,1,
1004100,1004,spd,-33,4,1,
1004101,1004,spd,-33,4,1,
1004102,1004,spd,-33,4,1,
1004103,1004,spd,-34,4,1,
1004104,1004,spd,-34,4,1,
1004105,1004,spd,-34,4,1,
1004106,1004,spd,-34,4,1,
1004107,1004,spd,-34,4,1,
1004108,1004,spd,-34,4,1,
1004109,1004,spd,-34,4,1,
1004110,1004,spd,-34,4,1,
1004111,1004,spd,-35,4,1,
1004112,1004,spd,-35,4,1,
1004113,1004,spd,-35,4,1,
1004114,1004,spd,-35,4,1,
1004115,1004,spd,-35,4,1,
1004116,1004,spd,-35,4,1,
1004117,1004,spd,-35,4,1,
1004118,1004,spd,-35,4,1,
1004119,1004,spd,-36,4,1,
1004120,1004,spd,-36,4,1,
1004121,1004,spd,-36,4,1,
1004122,1004,spd,-36,4,1,
1004123,1004,spd,-36,4,1,
1004124,1004,spd,-36,4,1,
1004125,1004,spd,-36,4,1,
1004126,1004,spd,-36,4,1,
1004127,1004,spd,-37,4,1,
1004128,1004,spd,-37,4,1,
1004129,1004,spd,-37,4,1,
1004130,1004,spd,-37,4,1,
1004131,1004,spd,-37,4,1,
1004132,1004,spd,-30,3,1,
1004133,1004,spd,200,3,1,
