id,name
1,Spring Festival
2,Sleepy Nights
3,Winter Veil
4,Mugwort Season
5,Childhood Joys
6,Easter Fun
7,Thanksgiving
8,Mafia City
9,The Other Side
10,Elemental Spirits
11,Quartermaster's Favorite
12,School Life
13,The Examiners
14,Magical Girls
15,Cosplay Cafe
16,Wardrobe Filtering... Failed
17,Imported Kimono
18,Dating Costumes
19,Autumn Styles
20,Start Your Engine
21,Scent of Flowers
22,Christmas Carnival
23,Oath of Love 1
24,Oath of Love 2
25,Oath of Love 3
26,Oath of Love 4
27,Oath of Love 5
28,Sweet Illusion
29,Bunny Girls
30,Halloween Makeups
31,Music Festival
32,Cherry Blossom Viewing
33,Beach Parties 1
34,Beach Parties 2
35,Beach Parties 3
36,Prankstars
37,Hot Spring Vacation
38,Sports Festival
39,Steampunk
40,Anniversary Party
41,Wafu Style
42,Idol Project
