id,title,unknown_3,Contents_1,Contents_4
1,“Limit Event”Unlock!,"Senpai, New events just started! Hurry up and finish them!","Senpai, New events just started! Hurry up and finish them!","Senpai, New events just started! Hurry up and finish them!"
2,You have unfinished daily quizzes!,Senpai! Don’t forget your daily mission~!,Senpai! Don’t forget your daily mission~!,Senpai! There is still times left in your Daily Quiz! Don't forget!
3,This world needs you!,Senpai! Come see the new changes on campus!,Senpai! Come see the new changes on campus!,Senpai! Come see the new changes on campus!
4,This world needs you!,Senpai! Your Girls are missing you really badly! Hurry and come back!,Senpai! Your Girls are missing you really badly! Hurry and come back!,Senpai! Your Girls are missing you really badly! Hurry and come back!
5,This world needs you!,Senpai! Your Girls cannot fight without you. Hurry and come back~!,Senpai! Your Girls cannot fight without you. Hurry and come back~!,Senpai! Your Girls cannot fight without you. Hurry and come back~!
6,This world needs you!,Senpai! The campus will be packed full of demons if you don’t come back!,Senpai! The campus will be packed full of demons if you don’t come back!,Senpai! The campus will be packed full of demons if you don’t come back!
7,This world needs you!,Senpai! Do you truly want to abandon your Girls?,Senpai! Do you truly want to abandon your Girls?,Senpai! Do you truly want to abandon your Girls?
8,You have an unfinished internship!,Senpai! You haven't started an Internship Quest. Hurry and get it started!,Senpai! You haven't started an Internship Quest. Hurry and get it started!,Senpai! You haven't started an Internship Quest. Hurry and get it started!
9,League Rank Decline,Senpai! Your Junior Varsity team has been defeated. Come back and take revenge! Your team was defeated in campus league! Get revenge now!,Senpai! Your rank in Campus League has declined. Time to check out!,Senpai! Your Junior Varsity team has been defeated. Come back and take revenge!
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice changed: {1},Guild Announcement changed to: {1}
11,A message to guild leader,Leader! Leader! We need your help of building guild! Come back!,Leader! We need your help of building guild! Come back!,社長大大，公會的發展出了一些問題，快回來解決吧！
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serious happened in guild!
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,Senpai! The Girls were all talking about you these days!
17,Regarding the Girls!,Senpai! You and your girls are working harder and harder! Fight!,Senpai! You and your girls are working harder and harder! Fight!,Senpai! You and your girls are working harder and harder! Fight!
18,Regarding the Girls!,Senpai! You are the chosen one who will help us defeat the demons!,Senpai! You are the chosen one who will help us defeat the demons!,Senpai! You are the chosen one who will help us defeat the demons!
19,Regarding the Girls!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!
20,Available Cafeteria Order!,Senpai! Please select your orders in Cafeteria!,Senpai! Please select your orders in Cafeteria!,Senpai! You forgot your today's dish orders. Please select your orders in Cafeteria!
21,Go challenge the Guild Boss!,Senpai! You still have a boss fight in the Guild! Come join the fight!,Senpai! You still have a boss fight in the Guild! Come join the fight!,Senpai! You still have a boss fight in the Guild! Come join the fight!
