id,title
1000,Prologue
1101,New Friends?
1102,Story Night
1103,Crossing Paths
1104,Story Night…Again
1105,Cranes
1106,(Yet Another) Story Night
1107,Names
1108,Origin of the Trials
1109,Broken Trust
1110,Story time with Izanami
1111,"""Yume Academy"""
1112,Michinashi
1113,Kagura Dance
1114,The Awakening
1115,New Allies
1116,A Happy Ending
2101,Finding a New Teammate
2102,Bud Elf's Biggest Fan
2103,Holly's Three Strengths
2104,Holly's Song
2105,Some Things Never Change
2201,Sivney's Research
2202,The Invisible Girl
2203,Trinity's Battle Suit
2204,To be continued...
