id,name
10001,Crystal of Edge 1
10002,Crystal of Edge 1
10003,Crystal of Edge 1
10004,Crystal of Edge 1
10005,Crystal of Edge 1
10006,Crystal of Edge 1
10007,Crystal of Edge 1
10008,Crystal of Edge 1
10009,Crystal of Edge 1
10010,Crystal of Edge 1
10011,Crystal of Edge 1
10012,Crystal of Edge 1
10013,Crystal of Edge 1
10014,Crystal of Edge 1
10015,Crystal of Edge 1
10016,Crystal of Edge 1
10017,Crystal of Edge 1
10018,Crystal of Edge 1
10019,Crystal of Edge 1
10020,Crystal of Edge 1
20001,Crystal of Earth 1
20002,Crystal of Earth 1
20003,Crystal of Earth 1
20004,Crystal of Earth 1
20005,Crystal of Earth 1
20006,Crystal of Earth 1
20007,Crystal of Earth 1
20008,Crystal of Earth 1
20009,Crystal of Earth 1
20010,Crystal of Earth 1
20011,Crystal of Earth 1
20012,Crystal of Earth 1
20013,Crystal of Earth 1
20014,Crystal of Earth 1
20015,Crystal of Earth 1
20016,Crystal of Earth 1
20017,Crystal of Earth 1
20018,Crystal of Earth 1
20019,Crystal of Earth 1
20020,Crystal of Earth 1
30001,Crystal of Thorn 1
30002,Crystal of Thorn 1
30003,Crystal of Thorn 1
30004,Crystal of Thorn 1
30005,Crystal of Thorn 1
30006,Crystal of Thorn 1
30007,Crystal of Thorn 1
30008,Crystal of Thorn 1
30009,Crystal of Thorn 1
30010,Crystal of Thorn 1
30011,Crystal of Thorn 1
30012,Crystal of Thorn 1
30013,Crystal of Thorn 1
30014,Crystal of Thorn 1
30015,Crystal of Thorn 1
30016,Crystal of Thorn 1
30017,Crystal of Thorn 1
30018,Crystal of Thorn 1
30019,Crystal of Thorn 1
30020,Crystal of Thorn 1
40001,Crystal of Iron 1
40002,Crystal of Iron 1
40003,Crystal of Iron 1
40004,Crystal of Iron 1
40005,Crystal of Iron 1
40006,Crystal of Iron 1
40007,Crystal of Iron 1
40008,Crystal of Iron 1
40009,Crystal of Iron 1
40010,Crystal of Iron 1
40011,Crystal of Iron 1
40012,Crystal of Iron 1
40013,Crystal of Iron 1
40014,Crystal of Iron 1
40015,Crystal of Iron 1
40016,Crystal of Iron 1
40017,Crystal of Iron 1
40018,Crystal of Iron 1
40019,Crystal of Iron 1
40020,Crystal of Iron 1
50001,Crystal of Assault 1
50002,Crystal of Assault 1
50003,Crystal of Assault 1
50004,Crystal of Assault 1
50005,Crystal of Assault 1
50006,Crystal of Assault 1
50007,Crystal of Assault 1
50008,Crystal of Assault 1
50009,Crystal of Assault 1
50010,Crystal of Assault 1
50011,Crystal of Assault 1
50012,Crystal of Assault 1
50013,Crystal of Assault 1
50014,Crystal of Assault 1
50015,Crystal of Assault 1
50016,Crystal of Assault 1
50017,Crystal of Assault 1
50018,Crystal of Assault 1
50019,Crystal of Assault 1
50020,Crystal of Assault 1
60001,Crystal of Protection 1
60002,Crystal of Protection 1
60003,Crystal of Protection 1
60004,Crystal of Protection 1
60005,Crystal of Protection 1
60006,Crystal of Protection 1
60007,Crystal of Protection 1
60008,Crystal of Protection 1
60009,Crystal of Protection 1
60010,Crystal of Protection 1
60011,Crystal of Protection 1
60012,Crystal of Protection 1
60013,Crystal of Protection 1
60014,Crystal of Protection 1
60015,Crystal of Protection 1
60016,Crystal of Protection 1
60017,Crystal of Protection 1
60018,Crystal of Protection 1
60019,Crystal of Protection 1
60020,Crystal of Protection 1
70001,Crystal of Edge 2
70002,Crystal of Edge 2
70003,Crystal of Edge 2
70004,Crystal of Edge 2
70005,Crystal of Edge 2
70006,Crystal of Edge 2
70007,Crystal of Edge 2
70008,Crystal of Edge 2
70009,Crystal of Edge 2
70010,Crystal of Edge 2
70011,Crystal of Edge 2
70012,Crystal of Edge 2
70013,Crystal of Edge 2
70014,Crystal of Edge 2
70015,Crystal of Edge 2
70016,Crystal of Edge 2
70017,Crystal of Edge 2
70018,Crystal of Edge 2
70019,Crystal of Edge 2
70020,Crystal of Edge 2
80001,Crystal of Earth 2
80002,Crystal of Earth 2
80003,Crystal of Earth 2
80004,Crystal of Earth 2
80005,Crystal of Earth 2
80006,Crystal of Earth 2
80007,Crystal of Earth 2
80008,Crystal of Earth 2
80009,Crystal of Earth 2
80010,Crystal of Earth 2
80011,Crystal of Earth 2
80012,Crystal of Earth 2
80013,Crystal of Earth 2
80014,Crystal of Earth 2
80015,Crystal of Earth 2
80016,Crystal of Earth 2
80017,Crystal of Earth 2
80018,Crystal of Earth 2
80019,Crystal of Earth 2
80020,Crystal of Earth 2
90001,Crystal of Thorn 2
90002,Crystal of Thorn 2
90003,Crystal of Thorn 2
90004,Crystal of Thorn 2
90005,Crystal of Thorn 2
90006,Crystal of Thorn 2
90007,Crystal of Thorn 2
90008,Crystal of Thorn 2
90009,Crystal of Thorn 2
90010,Crystal of Thorn 2
90011,Crystal of Thorn 2
90012,Crystal of Thorn 2
90013,Crystal of Thorn 2
90014,Crystal of Thorn 2
90015,Crystal of Thorn 2
90016,Crystal of Thorn 2
90017,Crystal of Thorn 2
90018,Crystal of Thorn 2
90019,Crystal of Thorn 2
90020,Crystal of Thorn 2
100001,Crystal of Iron 2
100002,Crystal of Iron 2
100003,Crystal of Iron 2
100004,Crystal of Iron 2
100005,Crystal of Iron 2
100006,Crystal of Iron 2
100007,Crystal of Iron 2
100008,Crystal of Iron 2
100009,Crystal of Iron 2
100010,Crystal of Iron 2
100011,Crystal of Iron 2
100012,Crystal of Iron 2
100013,Crystal of Iron 2
100014,Crystal of Iron 2
100015,Crystal of Iron 2
100016,Crystal of Iron 2
100017,Crystal of Iron 2
100018,Crystal of Iron 2
100019,Crystal of Iron 2
100020,Crystal of Iron 2
110001,Crystal of Assault 2
110002,Crystal of Assault 2
110003,Crystal of Assault 2
110004,Crystal of Assault 2
110005,Crystal of Assault 2
110006,Crystal of Assault 2
110007,Crystal of Assault 2
110008,Crystal of Assault 2
110009,Crystal of Assault 2
110010,Crystal of Assault 2
110011,Crystal of Assault 2
110012,Crystal of Assault 2
110013,Crystal of Assault 2
110014,Crystal of Assault 2
110015,Crystal of Assault 2
110016,Crystal of Assault 2
110017,Crystal of Assault 2
110018,Crystal of Assault 2
110019,Crystal of Assault 2
110020,Crystal of Assault 2
120001,Crystal of Protection 2
120002,Crystal of Protection 2
120003,Crystal of Protection 2
120004,Crystal of Protection 2
120005,Crystal of Protection 2
120006,Crystal of Protection 2
120007,Crystal of Protection 2
120008,Crystal of Protection 2
120009,Crystal of Protection 2
120010,Crystal of Protection 2
120011,Crystal of Protection 2
120012,Crystal of Protection 2
120013,Crystal of Protection 2
120014,Crystal of Protection 2
120015,Crystal of Protection 2
120016,Crystal of Protection 2
120017,Crystal of Protection 2
120018,Crystal of Protection 2
120019,Crystal of Protection 2
120020,Crystal of Protection 2
130001,Crystal of Edge 3
130002,Crystal of Edge 3
130003,Crystal of Edge 3
130004,Crystal of Edge 3
130005,Crystal of Edge 3
130006,Crystal of Edge 3
130007,Crystal of Edge 3
130008,Crystal of Edge 3
130009,Crystal of Edge 3
130010,Crystal of Edge 3
130011,Crystal of Edge 3
130012,Crystal of Edge 3
130013,Crystal of Edge 3
130014,Crystal of Edge 3
130015,Crystal of Edge 3
130016,Crystal of Edge 3
130017,Crystal of Edge 3
130018,Crystal of Edge 3
130019,Crystal of Edge 3
130020,Crystal of Edge 3
140001,Crystal of Earth 3
140002,Crystal of Earth 3
140003,Crystal of Earth 3
140004,Crystal of Earth 3
140005,Crystal of Earth 3
140006,Crystal of Earth 3
140007,Crystal of Earth 3
140008,Crystal of Earth 3
140009,Crystal of Earth 3
140010,Crystal of Earth 3
140011,Crystal of Earth 3
140012,Crystal of Earth 3
140013,Crystal of Earth 3
140014,Crystal of Earth 3
140015,Crystal of Earth 3
140016,Crystal of Earth 3
140017,Crystal of Earth 3
140018,Crystal of Earth 3
140019,Crystal of Earth 3
140020,Crystal of Earth 3
150001,Crystal of Thorn 3
150002,Crystal of Thorn 3
150003,Crystal of Thorn 3
150004,Crystal of Thorn 3
150005,Crystal of Thorn 3
150006,Crystal of Thorn 3
150007,Crystal of Thorn 3
150008,Crystal of Thorn 3
150009,Crystal of Thorn 3
150010,Crystal of Thorn 3
150011,Crystal of Thorn 3
150012,Crystal of Thorn 3
150013,Crystal of Thorn 3
150014,Crystal of Thorn 3
150015,Crystal of Thorn 3
150016,Crystal of Thorn 3
150017,Crystal of Thorn 3
150018,Crystal of Thorn 3
150019,Crystal of Thorn 3
150020,Crystal of Thorn 3
160001,Crystal of Iron 3
160002,Crystal of Iron 3
160003,Crystal of Iron 3
160004,Crystal of Iron 3
160005,Crystal of Iron 3
160006,Crystal of Iron 3
160007,Crystal of Iron 3
160008,Crystal of Iron 3
160009,Crystal of Iron 3
160010,Crystal of Iron 3
160011,Crystal of Iron 3
160012,Crystal of Iron 3
160013,Crystal of Iron 3
160014,Crystal of Iron 3
160015,Crystal of Iron 3
160016,Crystal of Iron 3
160017,Crystal of Iron 3
160018,Crystal of Iron 3
160019,Crystal of Iron 3
160020,Crystal of Iron 3
170001,Crystal of Assault 3
170002,Crystal of Assault 3
170003,Crystal of Assault 3
170004,Crystal of Assault 3
170005,Crystal of Assault 3
170006,Crystal of Assault 3
170007,Crystal of Assault 3
170008,Crystal of Assault 3
170009,Crystal of Assault 3
170010,Crystal of Assault 3
170011,Crystal of Assault 3
170012,Crystal of Assault 3
170013,Crystal of Assault 3
170014,Crystal of Assault 3
170015,Crystal of Assault 3
170016,Crystal of Assault 3
170017,Crystal of Assault 3
170018,Crystal of Assault 3
170019,Crystal of Assault 3
170020,Crystal of Assault 3
180001,Crystal of Protection 3
180002,Crystal of Protection 3
180003,Crystal of Protection 3
180004,Crystal of Protection 3
180005,Crystal of Protection 3
180006,Crystal of Protection 3
180007,Crystal of Protection 3
180008,Crystal of Protection 3
180009,Crystal of Protection 3
180010,Crystal of Protection 3
180011,Crystal of Protection 3
180012,Crystal of Protection 3
180013,Crystal of Protection 3
180014,Crystal of Protection 3
180015,Crystal of Protection 3
180016,Crystal of Protection 3
180017,Crystal of Protection 3
180018,Crystal of Protection 3
180019,Crystal of Protection 3
180020,Crystal of Protection 3
190001,Crystal of Edge 4
190002,Crystal of Edge 4
190003,Crystal of Edge 4
190004,Crystal of Edge 4
190005,Crystal of Edge 4
190006,Crystal of Edge 4
190007,Crystal of Edge 4
190008,Crystal of Edge 4
190009,Crystal of Edge 4
190010,Crystal of Edge 4
190011,Crystal of Edge 4
190012,Crystal of Edge 4
190013,Crystal of Edge 4
190014,Crystal of Edge 4
190015,Crystal of Edge 4
190016,Crystal of Edge 4
190017,Crystal of Edge 4
190018,Crystal of Edge 4
190019,Crystal of Edge 4
190020,Crystal of Edge 4
200001,Crystal of Earth 4
