id,desc
1,Compléter toutes les Quêtes dans Panneau d'Affichage
2,Utiliser 5000 Poudres Mystiques
3,Utiliser 15000 Poudres Mystiques
4,Utiliser 30000 Poudres Mystiques
5,Utiliser 100 Talismans Mystiques
6,Utiliser 200 Talismans Mystiques
7,Utiliser 400 Talismans Mystiques
8,Recharger 20 fois une Clochette
9,Recharger 50 fois une Clochette
10,Activer ou Éveiller 1 fois une Clochette
11,Utiliser 30 Grues Jadéites Vertes
12,Utiliser 60 Grues Jadéites Vertes
13,Utiliser 100 Grues Jadéites Vertes
14,Utiliser 150 Grues Jadéites Vertes
15,Utiliser 25 Grues Jadéites Jaunes
16,Utiliser 50 Grues Jadéites Jaunes
17,Utiliser 100 Grues Jadéites Jaunes
18,Utiliser 200 Grues Jadéites Jaunes
19,Utiliser 500 Grues Jadéites Jaunes
20,Utiliser 700 Grues Jadéites Jaunes
21,Utiliser 900 Grues Jadéites Jaunes
