id,title,name,dialog,select_text
1,Cet été s'annonce mitigé !,,Un jour chaud et lumineux d'été...,
2,,,"Viviane, la Diseuse de bonne aventure de l'Académie Yume...",
3,,,Était allongée à l'extérieur de sa tente...,
4,,,À comtempler le ciel...,
5,,,Et à se demander...,
6,,,Comment me suis-je retrouvée dans une telle situation ?,
7,,,"Ah oui... Tout a commencé avec... cette histoire de ""Diseuse d'objet perdu""...",
8,,Viviane,... Pour retrouver des objet perdus ?,
9,,Kong Ming,"Oui, c'est cela.",
10,,Viviane,"Attends, tu veux utiliser mes prédictions pour retrouver des... objets perdus ?",
11,,Kong Ming,Oui c'est bien cela.,
12,,Kong Ming,Tes divinations ont pour but de résoudre les problèmes des Filles et leur apporter de la joie après tout !,
13,,Viviane,"Kong Ming, tu ne peux pas déformer mes intentions originales qui sont simplement de transmettre la volonté des étoiles. Leur volonté est en aucun cas de retrouver des objets perdus... Par ailleurs, je suis passionnée en astronomie et non pas en objets perdus.",
14,,Kong Ming,"Et puis, l'été approche à grands pas ! La chaleur rend les gens plus irritables, et les Filles le seront encore plus si elles perdent leurs affaires !",
15,,Kong Ming,"Donc, s'il te plaît ne néglige pas ces âmes irritables par la chaleur et leurs objets perdus !",
16,,Viviane,Mais ! Écoute moi ! Je ne suis qu'une passionnée d'astronomie... et non p——,
17,,,…,
18,,,Ah ! Mais attends...,
19,,,Comment suis-je censée trouver ces objets perdus en pleine journée ?,
20,,Viviane,"Dis moi, où sont les étoiles en plein jour ?",
21,,Viviane,"Comment puis-je trouver ces objets perdus, sans pouvoir voir les étoiles ?",
22,,Amelia,"Viviane, qu'est-ce qu'il se passe ? Tu m'as l'air agitée.",
23,,Viviane,Les gens qui s'incrustent dans la conversation avec ce genre de sourire en coin sont généralement des profiteurs.,
24,,Amelia,"Ah ? J'ai juste ressenti des ennuis aux alentours ! Viviane, puisqu'en journée tu ne vois pas les étoiles alors as-tu déjà pensé à changer de méthode de divination ?",
25,,Viviane,Changer... de méthode ?,
26,,Amelia,"Oui, regarde ! Il existe de vieux ouvrages tels que ""L'Encyclopédie de la Boule de Cristal"" ou encore ""Méthodes de Divination du Maître"" !",
27,,Viviane,De quelle année datent ces livres ?,
28,,Amelia,"Voyons, ce n'est qu'un détail. Pas besoin d'y prêter attention !",
29,,Amelia,"Alors tu veux en acheter un ? Si tu l'achètes maintenant, je t'offre une Boule de Cristal avec !",
30,,,Un sourire jusqu'aux oreilles apparut sur le visage d'Amelia.,
31,,,Un sourire inhabituellement rayonnant...,
32,,,"Sourire qui, m'a longuement fait hésité...",
33,,,Mais j'ai finalement acheté l'ouvrage...,
