id,text
1,Qui a bien pu laisser tomber son nœud papillon rouge ?
2,Un objet mécanique ? C'est probablement à une Fille de la Maison Monstre... Mais à qui exactement ?
3,Cette croix n'est pas comme les autres... À qui appartient-elle ?~
4,(Ding~Ding~) Qui a égaré sa petite cloche ?
5,Un trèfle ? Cela vient sûrement de chez la Maison des Fée. Allons vérifier~
11,Estelle
12,Valeera
13,Succuba
14,Muppy
15,"C'est un petit nœud papillon. En général, les enfants aiment bien ce genre de chose, non ?"
16,Un cadeau pour Estelle ? Ah ! Mais ça appartient à Estelle en fait !
21,Sino
22,Silvia
23,Papillon
24,Hexa
25,Regardons la forme et la taille de cet objet...\nCela m'a l'air de se mettre sur la tête plutôt ?
26,Oh... C'est ma pince à cheveux ! Merc—— (dort)
31,Azumi
32,Térèsa
33,Uriel
34,Isabelle
35,Les croix blanches ne viennent pas forcément d'une Église !
36,Ugh... J'allais le prendre... Mais puisque Senpai l'a trouvé avant...
41,Psychic
42,Kira
43,Capsula
44,Ésaü & Jacob
45,J'ai vu ça sur une des servantes un jour...
46,Bruno ! Ne mange plus !
51,Lys
52,Vera
53,Elfe Bourgeon
54,Joan
55,Cela appartient à quelqu'un d'autre...
56,"Oh merci, Senpai ! Je l'avais égaré et je le cherchais partout !"
