id,desc
1,Studio Photo
2,Cuisine raffinée
3,Kimono
4,Wagashi
5,Pause-café
6,Stand de pêche
7,Stand de Nouilles
8,Masques
9,Feux d'artifice
10,Concours de beauté
11,Entrée du Théâtre
12,Auditorium
13,Boutique de souvenirs
14,Coulisses
15,Scène
16,Grande roue
17,Caroussel
18,Glace
19,Montagnes russes
20,Maison hantée
21,Magasin de mode
22,Café à chats
23,Salon de thé anglais
24,Fleuriste
25,Discussion au calme
26,Pomme d'Amour
27,Feux d'artifice
28,Takoyaki
29,Stand de glace pilée
30,Jeu de cerceaux
31,Petite discussion
32,Ramer
33,Pique-nique
34,Faire du cerf-volant
35,Jeu d'échecs
36,Éventails
37,Discussion au calme
38,Café à chats
39,Librairie
40,Salle d'arcade
41,Rafting
42,Montagnes russes
43,Auto-tamponneuse
44,Aire de repos
45,Défi de pêche
