id,task_desc
1,Tirer 25 fois dans la Boutique (/Limitée) de Tenue
2,Tirer 50 fois dans la Boutique (/Limitée) de Tenue
3,Tirer 100 fois dans la Boutique (/Limitée) de Tenue
4,Tirer 200 fois dans la Boutique (/Limitée) de Tenue
5,Tirer 300 fois dans la Boutique (/Limitée) de Tenue
6,Tirer 400 fois dans la Boutique (/Limitée) de Tenue
7,Tirer 500 fois dans la Boutique (/Limitée) de Tenue
8,Améliorer 5 pièces de Tenue à 2 étoiles
9,Améliorer 5 pièces de Tenue à 3 étoiles
10,Sauvegarder 3 créations de Tenue
11,Collectionner 2 ensembles complets de Tenue
12,Collectionner 4 ensembles complets de Tenue
13,Collectionner 6 ensembles complets de Tenue
14,Obtenir 1 pièce de Tenue Orange
15,Obtenir 5 pièces de Tenue Orange
16,Obtenir 5 pièces de Tenue Rouge
17,Obtenir 15 pièces de Tenue Rouge
18,Obtenir 40 pièces de Tenue Verte
