id,name,desc
101,PV,Augmente les [c][e28002]PV[-][/c] de toutes vos Filles de [c][01a310]3%[-][/c].
201,Attaque,Augmente l'[c][e28002]Attaque[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
301,Armure,Augmente l'[c][e28002]Armure[-][/c] de toutes vos Filles de [c][01a310]60[-][/c].
401,Critique,"Augmente les [c][e28002]Critiques[-][/c] de toutes vos Filles de [c][01a310]3,5%[-][/c]."
501,Vitesse,Augmente la [c][e28002]Vitesse[-][/c] de toutes vos Filles de [c][01a310]6[-][/c].
601,Dégâts des Compétences,Augmente les [c][e28002]Dégâts des Compétences[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
701,Réduction des Dégâts,Augmente la [c][e28002]Résistance aux Dégâts[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
801,Pénétration d'Armure,Augmente la [c][e28002]Pénétration d'Armure[-][/c] de toutes vos Filles de [c][01a310]7%[-][/c].
901,Immunité,Augmente l'[c][e28002]Immunité[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1001,Blocage,Augmente le [c][e28002]Blocage[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1101,Dégâts Divins,Augmente les [c][e28002]Dégâts Divins[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1201,Chance de Contrôle,Augmente la [c][e28002]Chance de Contrôle[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
1301,Précision,Augmente la [c][e28002]Précision[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
102,PV,Augmente les [c][e28002]PV[-][/c] de toutes vos Filles de [c][01a310]3%[-][/c].
202,Attaque,Augmente l'[c][e28002]Attaque[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
302,Armure,Augmente l'[c][e28002]Armure[-][/c] de toutes vos Filles de [c][01a310]60[-][/c].
402,Critique,"Augmente les [c][e28002]Critiques[-][/c] de toutes vos Filles de [c][01a310]3,5%[-][/c]."
502,Vitesse,Augmente la [c][e28002]Vitesse[-][/c] de toutes vos Filles de [c][01a310]6[-][/c].
602,Dégâts des Compétences,Augmente les [c][e28002]Dégâts des Compétences[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
702,Réduction des Dégâts,Augmente la [c][e28002]Résistance aux Dégâts[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
802,Pénétration d'Armure,Augmente la [c][e28002]Pénétration d'Armure[-][/c] de toutes vos Filles de [c][01a310]7%[-][/c].
902,Immunité,Augmente l'[c][e28002]Immunité[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1002,Blocage,Augmente le [c][e28002]Blocage[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1102,Dégâts Divins,Augmente les [c][e28002]Dégâts Divins[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1202,Chance de Contrôle,Augmente la [c][e28002]Chance de Contrôle[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
1302,Précision,Augmente la [c][e28002]Précision[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
103,PV,Augmente les [c][e28002]PV[-][/c] de toutes vos Filles de [c][01a310]3%[-][/c].
203,Attaque,Augmente l'[c][e28002]Attaque[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
303,Armure,Augmente l'[c][e28002]Armure[-][/c] de toutes vos Filles de [c][01a310]60[-][/c].
403,Critique,"Augmente les [c][e28002]Critiques[-][/c] de toutes vos Filles de [c][01a310]3,5%[-][/c]."
503,Vitesse,Augmente la [c][e28002]Vitesse[-][/c] de toutes vos Filles de [c][01a310]6[-][/c].
603,Dégâts des Compétences,Augmente les [c][e28002]Dégâts des Compétences[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
703,Réduction des Dégâts,Augmente la [c][e28002]Résistance aux Dégâts[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
803,Pénétration d'Armure,Augmente la [c][e28002]Pénétration d'Armure[-][/c] de toutes vos Filles de [c][01a310]7%[-][/c].
903,Immunité,Augmente l'[c][e28002]Immunité[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1003,Blocage,Augmente le [c][e28002]Blocage[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1103,Dégâts Divins,Augmente les [c][e28002]Dégâts Divins[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1203,Chance de Contrôle,Augmente la [c][e28002]Chance de Contrôle[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
1303,Précision,Augmente la [c][e28002]Précision[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
104,PV,Augmente les [c][e28002]PV[-][/c] de toutes vos Filles de [c][01a310]3%[-][/c].
204,Attaque,Augmente l'[c][e28002]Attaque[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
304,Armure,Augmente l'[c][e28002]Armure[-][/c] de toutes vos Filles de [c][01a310]60[-][/c].
404,Critique,"Augmente les [c][e28002]Critiques[-][/c] de toutes vos Filles de [c][01a310]3,5%[-][/c]."
504,Vitesse,Augmente la [c][e28002]Vitesse[-][/c] de toutes vos Filles de [c][01a310]6[-][/c].
604,Dégâts des Compétences,Augmente les [c][e28002]Dégâts des Compétences[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
704,Réduction des Dégâts,Augmente la [c][e28002]Résistance aux Dégâts[-][/c] de toutes vos Filles de [c][01a310]2%[-][/c].
804,Pénétration d'Armure,Augmente la [c][e28002]Pénétration d'Armure[-][/c] de toutes vos Filles de [c][01a310]7%[-][/c].
904,Immunité,Augmente l'[c][e28002]Immunité[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1004,Blocage,Augmente le [c][e28002]Blocage[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1104,Dégâts Divins,Augmente les [c][e28002]Dégâts Divins[-][/c] de toutes vos Filles de [c][01a310]6%[-][/c].
1204,Chance de Contrôle,Augmente la [c][e28002]Chance de Contrôle[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
1304,Précision,Augmente la [c][e28002]Précision[-][/c] de toutes vos Filles de [c][01a310]10%[-][/c].
