id,desc,result
1001,Prendre la lampe à huile et l'essuyer,"""Je suis enfin libre hahahahahaha !"" Une créature gazeuse bleue provenant de la lampe apparut et s'envola avec un grand rire, ne laissant qu'une lampe à huile ordinaire dans votre main."
1002,Négocier avec la voix,"La voix dans la lampe à huile resta silencieuse pendant un moment, indiqua qu'elle préférait attendre un moment puis arrêta de parler."
2001,Voir si vous pouvez entrer dans le trou,"De toute évidence, vous êtes trop gros et ne pouvez pas y pénétrer. Cependant, en y mettant la main il semble que vous avez trouvé quelque chose."
2002,Jeter une pierre dans le terrier,"Rien ne se passe, il n'y a également eu aucun son depuis un moment, peut-être que ce terrier est plus profond que vous ne l'imaginiez."
3001,Les planter dans le sol,Les pois poussent peu après avoir été plantés. Vous vous demandez si c'est une illusion. Ils semblent pousser extrêmement vite.
3002,Les manger,"Vous mangez les graines en une seule bouchée, ils ont un goût très ordinaire. Peut-être qu'ils auraient eu meilleur goût s'ils avaient été cuits."
4001,L'ignorer,"Vous choisissez d'ignorer la pomme, de vérifier d'autres parties de la pièce, après un certain temps, en regardant la pomme à nouveau, vous constater qu'elle n'est plus là."
4002,La manger,"Vous commencez à avoir mal au ventre et vous vous évanouissez… Quand vous vous réveillez, vous ne savez pas combien de temps s'est écoulé."
5001,Les ramasser,"Vous avez rassemblé les allumettes quand une fille aux pieds nus arrive, vous demande les allumettes et vous remercie."
5002,En allumer une,"Vous avez allumé une allumette. Pendant un instant, vous semblez être de retour à l'Académie, mais après une fois l'allumette éteinte, vous réalisez que ce n'était en fait qu'une illusion."
6001,Nommer un plat de la cafétéria,"En essayant le nom d'un certain plat, la porte commence à s'ouvrir lentement. En y entrant, vous découvrez beaucoup de trésors cachés dans la grotte."
6002,Nommer un médicament de l'infirmerie,"Vous avez essayé beaucoup de noms de médicaments, mais la porte reste immobile. Vous êtes à court d'idées et décidez donc de partir."
7001,Regarder en arrière,"Vous regardez en arrière mais ne trouvez rien, vous décidez donc de passer à autre chose. Cependant, il semble que peu importe où vous allez, cette scène ne cesse de se répéter."
7002,Ne pas se retourner et avancer,"Un vent froid continue de souffler, mais cela ne vous dérange pas."
8001,"Miroir, miroir, qui est le plus beau ?","""Une personne qui pose une telle question à un miroir doit être très confiante, mais je ne veux pas te faire de peine."" répondit le miroir d'un ton impassible."
8002,"Miroir, miroir, comment s'échapper d'ici ?","Aucune réaction, peut-être que c'est juste un miroir ordinaire."
9001,Aller voir,Le simple fait de voir autant de bonbons vous écœure. Vous quittez rapidement la cabane avec les semelles de vos chaussures toutes collantes à cause des bonbons.
9002,L'ignorer,"La douce odeur imprègne la forêt, il faut marcher longtemps afin de ne plus la sentir."
10001,L'écouter attentivement,Vous êtes fasciné et vous vous rendez compte lorsque vous trébuchez sur une pierre que vous avez suivi cette personne sans le savoir pendant un long moment.
10002,"L'ignorer, il y a des choses plus importantes à faire",En continuant votre route vous remarquez que l'homme est suivi par une foule de gens et vous vous demandez ce qu'il se passe.
