id,event_name,desc
1,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
2,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
3,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
4,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
5,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
6,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
7,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
8,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
9,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
10,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
11,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
12,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
13,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Forêt 08"" a été réinitialisée"
14,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Château 02"" a été réinitialisée"
15,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Village 45"" a été réinitialisée"
16,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Lac 24"" a été réinitialisée"
17,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Manoir 09"" a été réinitialisée"
18,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
19,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Forêt 03"" a été réinitialisée"
20,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Château 05"" a été réinitialisée"
21,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Village 52"" a été réinitialisée"
22,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Lac 25"" a été réinitialisée"
23,Journal Quotidien - Bénédiction|Journal Quotidien - Complétion,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque.|La progression du défi de la carte ""Manoir 05"" a été réinitialisée"
24,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
25,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
26,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
27,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
28,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
29,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
30,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque."
31,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
32,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
33,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
34,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
35,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
36,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
37,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
38,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
39,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
40,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
41,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
42,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
43,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
44,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
45,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
46,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
47,Journal Quotidien - Bénédiction|Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque.|Dans le défi de combat, les alliées obtiennent un bonus de 18% de PV"
48,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant aux Maisons Démon & Ange obtiennent un bonus de 18% d'Attaque."
49,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Forêt 58"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
50,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Château 48"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
51,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Village 13"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
52,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Lac 19"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
53,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Manoir 42"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Monstre obtiennent un bonus de 18% d'Attaque."
54,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Fantôme obtiennent un bonus de 18% d'Attaque."
55,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Forêt 26"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
56,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Château 60"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
57,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Village 04"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
58,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Lac 40"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
59,Journal Quotidien - Réinitialisation|Journal Quotidien - Bénédiction,"La progression du défi de la carte ""Manoir 16"" a été réinitialisée.|Dans le défi de combat, les alliées appartenant à la Maison Fée obtiennent un bonus de 18% d'Attaque."
60,Journal Quotidien - Bénédiction,"Dans le défi de combat, les alliées appartenant à la Maison Humain obtiennent un bonus de 18% d'Attaque."
