id,mission_des
1,Terminer 5 défis principaux de l'évènement
2,Terminer 2 des défis principaux de l'évènement
3,Obtenir 250 Œil de Saphir
4,Terminer 5 défis secondaires
5,Terminer 5 journaux quotidiens
6,Obtenir 400 Œil de Saphir
7,Terminer 10 défis principaux de l'évènement
8,Finir 2 chapitres de l'évènement
9,Obtenir 600 Œil de Saphir
10,Terminer 10 défis secondaires
11,Terminer 10 journaux quotidiens
12,Obtenir 800 Œil de Saphir
13,Terminer 20 défis principaux de l'évènement
14,Terminer 4 chapitres de l'évènement
15,Obtenir 1000 Œil de Saphir
16,Participer à n'importe quel défi sur 2 cartes au total
17,Finir 7 chapitres de l'évènement
18,Obtenir 1250 Œil de Saphir
19,Participer à n'importe quel défi sur la carte finale 10 fois au total
20,Finir 10 chapitres de l'histoire de l'événement
21,Obtenir 1500 Œil de Saphir
