id,desc
1,Terminer toutes les tâches suivantes
2,Combattre 1 fois dans Test
3,Combattre 5 fois dans l'Arène
4,Participer 1 fois à l'Épopée Magique
5,Acheter 1 meuble dans Boutique des Meubles
6,Connexion Accumulée de 5 jours
7,Dépenser 1000 Gemmes
8,Utiliser 400 Tickets de Distributeur
9,Utiliser 800 Tickets de Distributeur
10,Utiliser 200 pièces de Capsules Avancées
11,Utiliser 500 pièces de Capsules Avancées
12,Utiliser 40 Sceaux
13,Utiliser 80 Sceaux
14,Obtenir une Fille 5 étoiles
15,Graduer 1 Fille à 6 étoiles
16,Utiliser 1000 Orbe Élémentaire
17,Utiliser 2000 Orbe Élémentaire
18,Utiliser 40 Gouvernails\n(≠Gouvernail avancé)
19,Utiliser 80 Gouvernails\n(≠Gouvernail avancé)
20,Utiliser 75 Détecteurs Spatiaux
21,Utiliser 150 Détecteurs Spatiaux
