id,name,desc
1,Promenade d'Été,Skin d'Été - Vera
2,Déesse des Sables,Skin d'Été - Lucifael
3,Sieste Tentaculaire,Skin d'Été - Sino
4,Cristal de Mer,Skin d'Été - Ambre
5,Papillon Échoué,Skin d'Été - Éléanor
6,Lagon du Démon,Skin d'Été - Azumi
7,Championne Balnéaire,Skin d'Été - Angélina
8,"1,2,3 Ouistiti !",Skin d'Été - Frexie
9,Lapinou Explosif,Skin d'Été - Estelle
10,Vague d'Été,Skin d'Été - Guan Yin
11,Cocktail Tropical,Skin d'Été - Masamune
12,Détente Balnéaire,Skin d'Été - Ésaü & Jacob
13,Déesse de la Mer,Skin d'Été - Kratos
14,Reine des Eaux,Skin d'Été - Valeera
15,Ombre d'été,Skin d'Été - Ithil
16,Douceur d'été,Skin d'Été - Capsula
17,Baignade rosée,Skin d'Été - Turin
18,Reine des vagues,Skin d'Été - Lucifer
19,Plaisir d'été,Skin d'Été - Phénix
20,Grâce dorée,Skin d'Été - Michael
21,Barbe-à-papa,Skin d'Été - Gambler
22,Repos Balnéaire,Skin d'Été - Chevalir
23,Mer d'Azur,Skin d'Été - Fencer
24,Surfeuse,Skin d'Été - Hexa
