id,name,desc
1,Connexion,Connexion Quotidienne
2,Capsule Normale,Tirer une Capsule Normale {1} fois
3,Jobs,Finir {1} Jobs
4,Quiz,Terminer {1} Quiz
5,Ami BOSS,Vaincre {1} Ami BOSS
6,Amitié,Envoyer {1} Cœurs
7,Butin,Collecter {1} fois le butin dans la Campagne
8,Capsule Avancée,Tirer {1} Capsule(s) Avancée(s)\n(≠ Capsule à Souhait)
9,Distributeur,Tirer {1} fois dans le Distributeur Normal
10,Équipement,Synthétiser {1} Équipements
11,Alchimie,Utiliser l'Alchimie {1} fois
12,Gemmes,Dépenser {1} Gemmes
13,Marché,Acheter au Marché {1} fois
14,Transfert,Transférer {1} Filles
15,Arène,Combattre {1} fois dans l'Arène
16,Recruter,Utiliser {1} Sceau(x)
17,Capsule d'Amitié,Tirer une Capsule d'Amitié {1} fois
18,Améliorer,Monter le niveau d'une Fille {1} fois
19,,Obtenir {1} d'EXP de VIP
20,,Terminer {1} Devoirs Journaliers ci-dessus
