id,name,desc
1,Attaque,Augmente l'Attaque des alliées de 30%
2,Défense,Réduit les dégâts causés aux alliées de 30%
3,Promotion,Filles inférieures à 9 étoiles: Augmente l'Attaque de 100 000 et les PV de 500 000; Filles supérieures à 9 étoiles: Augmente l'Attaque de 15% et les PV de 15%
4,Raid,"Au début du combat, les ennemis ont 70% de PV. Pendant les 3 premiers tours du combat, les Filles alliées ne subiront aucun dégât et seront immunisées contre tous les malus"
5,Surpuissance,"Au début du combat, les Filles alliées ont 200 d'Énergie. Les Compétences Actives des alliées infligent des dégâts supplémentaires (10% des PV max de la cible)"
6,Immortalité,"Lorsqu'une Fille alliée reçoit un coup mortel, ce dernier sera neutralisé, dans le même temps, neutralise tous les malus dont elle est la cible. Pendant 2 tours, tous les dégâts reçus sont neutralisés et 100% des dégâts sont renvoyés à l'attaquant"
7,Armure lourde,Augmente les PV des ennemis de 30%
8,Adrénaline,Augmente l'Attaque des ennemis de 30%
9,Protection,Augmente l'Armure des ennemis de 30%
10,Météores,Réduit les PV max des Filles alliées Démon/Ange de 20%
11,Brouillard,Réduit les Dégâts causés par les filles alliées Fantôme/Humain/Monstre/Fée de 15%
12,Fatigue,"Réduit le Blocage des Guerriers allliés de 20%, la Précision des Mages alliés de 20%, la Précision des Éclaireurs alliés de 20%, la Pénétration d'Armure des Assassins alliés de 20% et les Soins des Prêtres alliés de 15%"
13,Barrière,Augmente la Résistance aux Coups Critiques des ennemis de 30% (La Résistance aux Coups Critiques peut diminuer la probabilité de subir un Coup Critique)
14,Miasme,Réduit les Soins Reçus par les alliées de 60%
15,Soin,Tous les ennemis récupèrent 15% de leur PV à la fin du tour
16,Épuisement,"Pendant les 3 premiers tours, les Filles alliées ne peuvent pas utiliser leur Compétence Active"
17,Ranimation,Les 2 premiers ennemis qui subissent des dégâts mortels récupèrent 100% de leur PV
18,Raid ennemi,"Au début du combat, tous les ennemis ont 200 d'Énergie. Pendant les 2 premiers tours, ils récupèrent 100 énergie à la fin du tour"
19,Emprisonnement,"Au début du combat, 3 de vos Filles alliées sont scellées (toutes les compétences passives sont neutralisées, impossible à annuler) pendant 2 tours. Cet effet se déclenche 1 fois tous les 2 tours."
20,Saignement,"À la fin du tour, chaque Fille alliée subit des dégâts (10% de leur PV max)"
21,Neutralisation,"À la fin du tour, chaque ennemi neutralise 3 malus dont il est la cible"
22,Combinaison,"Lors du 1er tour, les ennemis sont immunisés à tous les malus. Pendant les 2 premiers tours, ils ne subissent aucun dégât"
23,Éponge,"Au début du combat, les ennemis subissent 90% de dégâts en moins. À chaque fin de tour, cette réduction de dégâts diminue de 10% (Diminution jusqu'à 50% minimum)"
24,Revers,"Lorsqu'une Fille alliée effectue une Attaque Basique ou utilise sa Compétence Active, elle subit 100% des dégâts qu'elle inflige"
25,Renforcement,"Lorsqu'un ennemi subit des dégâts, ces derniers ne pourront pas être supérieurs à 10% de la valeur de leur PV max"
