id,title,name,dialog,select_text
1,Un Monde sous l'Océan,Éva,Cette mer ressemble beaucoup à celle indiquée sur cette carte au trésor. Cela voudrait-il dire que l'Ancien Palais du Dragon est bien réel...,
2,,Éva,Je ne m'attendais pas à tomber sur une aubaine pareille en venant à l'Académie Yume. Si je parviens à mettre la main sur le trésor légendaire gardé par le dragon...,
3,,Éva,"Ça serait juste assez d'argent pour réaliser mon rêve. Joyaux des fonds-marins, me voici !",
4,,Éva,"Mais... Je ne serais sûrement pas capable de prendre tous les trésors par moi-même... De plus, les trésors sont gardés par un dragon... Il faut absolument que je trouve du renfort.",
5,,Wildtress,C'est l'heure du buffet à volonté gratuit ! Où est ce fameux restaurant sous-marin ?,
6,,Wildtress,"Wow ! Ta tenue est super cool, Éva !",
7,,Éva,"Ah, voilà le renfort dont j'avais besoin. Une Fille gentille, simple et puissante.",
8,,Éva,"Tu aimes ma tenue ? Rends-moi un service et je t'en offrirai une, qu'est-ce que tu en dis ?",
9,,Wildtress,"Je veux... la tenue... Mais le barbecue est aussi important, si j'arrive trop tard, Quinie va tout manger...",
10,,Éva,"Hmm... Si tu me rends ce service, je ne te donnerai pas seulement une tenue, mais je t'inviterai aussi au barbecue, ça marche ?",
11,,Wildtress,Je mangerai à ma faim ? Sans avoir à partager avec Quinie ?,
12,,Éva,"Bien sûr, tout sera à toi ! (Haha, ces dépenses sont insignifiantes par rapport à l'immense richesse qui m'attend.)",
13,,Wildtress,"D'accord alors, je vais t'aider !",
14,,Éva,"Voilà, c'est ici. Exactement comme indiqué sur la carte ! Même si en vérité, je ne vois pas le dragon qui est censé garder le trésor.",
15,,Éva,"Wildtress, commence pr m'aider à mettre tout ça à bord. Je t'emmènerai acheter une belle tenue et manger un barbecue à notre retour sur terre.",
16,,Wildtress,Ne t'en fais pas. Laisse-moi m'en occuper !,
17,,Éva,"Hehe, elle est le moussaillon parfait dont j'avais besoin. Elle ne demande pas après ce qui ne la regarde pas et exécute mes ordres sur-le-champ, aussi obéissante que mes plus fidèles compagnons.",
18,,Wildtress,"Fiou... J'ai enfin fini de tout déplacer, je suis exténuée ! La seule façon de reprendre des forces est un bon repas !",
19,,Éva,"Ne t'en fais pas, je récompense toujours les chiens serviables et obéissants. Tu auras le barbecue que tu voulais.",
20,,Wildtress,Euh... chien ?,
21,,Dragon,Roooorh-------,
22,,Wildtress,Quel ronflement ! Je suppose que je ronflerai de la même manière que tes chiens après avoir aussi bien mangé !,
23,,Éva,"Ce n'était pas mes chiens... C'était sûrement le dragon, il doit être en train de dormir, dépêchons-nous !",
24,,Wildtress,"J'ai fini mon job, je veux de la viande !",
25,,Éva,"Calme-toi, ce n'est pas encore fini, tu dois encore m'aider à les déplacer mes affaires secrètes.",
26,,Wildtress,Mais j'ai trop faim...,
27,,Éva,Gare à toi si tu n'exécutes pas mes ordres. Ne sais-tu pas ce qui arrive aux chiens qui désobéissent aux ordres de leur maître ?,
28,,Wildtress,(Gloups)...,
29,,Éva,"Qu'est-ce qu'il y a, je t'ai fait peur ? Si tu m'écoutes sans faire de caprice alors je serai plus gentille avec toi.",
