id,skill_desc
1001,Augmente l'Armure de l'équipe de [c][DE512B]{1}[-][/c].
1002,"Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c], l'Armure de [c][DE512B]{2}[-][/c] et repère l'emplacement des cases des récompense."
1003,Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c].
1004,Augmente l'Attaque de l'équipe de [c][DE512B]{1}[-][/c].
1005,Augmente l'Armure de l'équipe de [c][DE512B]{1}[-][/c].
1006,Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c] et l'Armure de [c][DE512B]{2}[-][/c].
1007,Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c] et l'Attaque de [c][DE512B]{2}[-][/c].
1008,"Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c], l'Attaque de [c][DE512B]{2}[-][/c] et repère l'emplacement des cases des ennemis."
1009,Augmente l'Armure de l'équipe de [c][DE512B]{1}[-][/c] et l'Attaque de [c][DE512B]{2}[-][/c].
1010,"Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c], l'Attaque de [c][DE512B]{2}[-][/c] et l'Armure de [c][DE512B]{3}[-][/c]"
2001,1. Augmente l'Attaque de l'équipe de [c][DE512B]{1}[-][/c].
2002,2. Augmente l'Armure de l'équipe de [c][DE512B]{1}[-][/c].
2003,3. Augmente les PV de l'équipe de [c][DE512B]{1}[-][/c].
2004,4. Repère l'emplacement des cases de récompenses de chaque Étage.
2005,5. Repère l'emplacement des cases des ennemis de chaque Étage.
3001,1. Augmente l'Attaque de l'équipe.
3002,2. Augmente l'Armure de l'équipe.
3003,3. Augmente les PV de l'équipe.
