id,title,name,dialog,select_text
1,,,"Sur la plage, avec la brise soufflant, l'eau de mer vient chatouiller mes narines. L'éclat de la lumière du soleil quant à elle donne l'impression à la plage d'être un amas d'or éblouissant.",
2,,,Toute personne voyant une telle scène se sentirait détendue et heureuse… sauf moi.,
3,,,Pourquoi ? Il suffit de regarder mon état actuel pour comprendre...,
4,,,"Mon visage avait rougi à cause du soleil, mes yeux fermés pouvaient quand même sentir les rayons du soleil et les gouttes de transpiration ruisselaient sur mon visage telle une cascade.",
5,,,"Évidemment, pour éviter cette situation, il suffirait de rebrousser chemin ou de chercher un meilleur endroit.",
6,,,… encore faudrait-il que je trouve l'énergie nécessaire pour le faire.,
7,,,"Au même moment, un crabe de quelques centimètres sortit du sable et vint se mettre au niveau de mon visage, avec ses deux yeux en forme de tiges il commença à me fixer du regard.",
8,,,"Insconsciemment, je voulus l'éloigner en le chassant de la main, cependant je réalisai que mon corps ne pouvait plus bouger.",
9,,,"… c'est vrai... mon corps est enterré sous le sable, il n'y a que ma tête qui est à l'air libre.",
10,,,"Le crabre brandit soudainnement ses étranges pinces, commença à soulever ses pattes pour avancer et commença à s'approcher avec un air agressif.",
11,,,"L'animal devant moi ne fait en réalité que la taille d'un doigt, mais dans ma situation actuelle, il ressemble plutôt à un énorme monstre désespéré.",
12,,,Comment ai-je bien pu finir dans cette situation…,
13,,,Un jour d'été,
14,,,"Avec les températures de plus en plus élevées, il est impossible pour les étudiants d'étudier ou de s'entraîner. Afin de leur permettre de se rafraîchir et de se détendre en même temps...",
15,,,L'Union Étudiante a pris l'initiative d'organiser des vacances à la mer.,
16,,Ésaü,"Jacob, regarde ! C'est la mer !",
17,,Jacob,La mer…… c'est la première fois que je vois la mer.,
18,,Chevalir,"Hahaha, moi aussi c'est la première fois que je vois la mer. Je suis vraiment surprise, je ne m'attendais pas à ce qu'il y ait un endroit sur terre plus vaste que les prairies.",
19,,Chevalir,J'ai entendu dire que le département technologique avait une monture qui permet de se déplacer sur la mer… je me demande si la prochaine fois je pourrais l'essayer.,
20,,*,… le département technologique développe vraiment des choses bizarres.,
21,,*,"Cela dit, il y a des gens qui sont arrivés et qui ont déjà monté leur stand…",
22,,Chevalir,"Je crois qu'ils font partie de l'organisation de l'Union Étudiante. Les marchandises et les devantures lui appartiennent toutes. Moi, je suis venue donner un coup de main.",
23,,Hottie,"Alors, que tout le monde aille d'abord se changer. Étant donné que nous sommes à la plage, il vaut mieux porter quelque chose de plus adéquat.",
24,,Ithil,"Le vestiaire n'est pas loin, allons-y ensemble.",
25,,Valeera,"D'accord. Par contre pour empêcher Senpai de jeter des coups d'œil, je vais mettre une barrière magique !",
26,,*,Qui ferait ce genre de chose !,
27,,*,( Cependant… c'est vrai que je suis impatient de voir tout le monde en maillot de bain ),
28,,*,( Hmmm… je vais aller faire un tour en attendant. ),
29,,*,Ah… il y a même un stand de divination ?,
30,,Amelia,Senpai… voudrais-tu essayer les arts divinatoires ?,
31,,*,"Amelia… tu es aussi venue ! Mais on dirait que tu n'as pas de boule de cristal, ne me dis pas que tu comptes le faire avec ballon de plage ?…",
32,,Amelia,"Cela importe peu, il faut juste que ce soit rond et transparent. Il y aura juste une légère différence dans le résultat c'est tout.",
33,,*,Vraiment !?,
34,,Amelia,On va commencer……,
35,,,BAM !,
36,,Amelia,………,
37,,*,………,
38,,,"Avec un bruit fort, le ballon de plage explosa en mille morceaux.",
39,,*,Euh… ça va ?,
40,,Amelia,Senpai… tu vas sûrement connaître un destin tragique aujourd'hui… fais attention…,
41,,Amelia,Il faut que j'aille chercher un nouveau ballon de plage…,
42,,*,………,
43,,,Le bruit des vagues continu dans mes oreilles rendait mes pensées encore plus confuses.,
44,,,"Actuellement, je n'avais aucune idée de ce qui m'attendait aujourd'hui.",
45,,Ithil,Qu'est-ce qu'il y a ? Qu'est-ce que tu fais là ?,
46,,*,Ithil……,
47,,*,………,
48,,Ithil,"…… Pourquoi tu me regardes comme ça, y a-t-il quelque chose d'étrange sur mon visage ?",Ce maillot de bain est très beau|Ce maillot de bain te va à merveille
49,,Ithil,"Est-ce que tu es stupide ? Puisque tu n'as rien à faire, viens m'aider à préparer ce stand.",
50,,*,"Ithil, toi aussi tu vas tenir un stand ? Pourquoi même à la plage je dois travailler…",
51,,,"Ithil va tenir un stand de nourriture, l'Union Étudiante lui a fourni du matériel et de l'équipement pour faire de la glace.",
52,,,Ils ont vraiment été généreux… est-ce que c'est pour faire plaisir à Ithil ?,
53,,*,Pfff… je suis épuisé.,
54,,Ithil,"Tiens, pour te remercier pour tes efforts.",
55,,*,Est-ce que c'est toi qui l'as fait ?,
56,,Ithil,Qui d'autre ?,
57,,*,Oh… j'ai l'impression que mes efforts n'ont pas été vains.,
58,,Ithil,"Ah… dans ce cas, je te laisse ce qu'il reste à faire ?",
59,,*,"Non non non, ça ira…",
60,,Valeera,"Wow, c'est vraiment rare de voir Senpai être actif.",
61,,,Il semble que tout le monde a terminé de se changer.,
62,,*,…,
63,,Valeera,Hmm ? Tu as quelque chose à dire Senpai ?,
64,,*,Hmm… j'a l'impression que ce n'était pas la peine d'être impatient…,
65,,Valeera,"… j'ai le sentiment que tu es vraiment grossier Senpai, mais je n'ai aucun moyen de te contredire…",
66,,Valeera,"Laisse tomber, je vais plutôt aller profiter du paysage.",
67,,Valeera,"Ithil, Ithil, je veux aussi une glace !",
68,,Ithil,Tiens.,
69,,Valeera,"Ithil, tu es la meilleure ! Senpai, ne laisse pas Ithil trop en faire !",
70,,*,Pourquoi est-ce que j'ai l'impression de me faire manipuler…,
71,,Turin,Senpai ! Regarde mon maillot de bain !,
72,,*,Oh… j'ai l'impression qu'il est différent de celui des autres.,
73,,Turin,Je l'ai choisi moi-même ! J'ai entendu dire que c'était un maillot de bain très populaire actuellement !,
74,,*,Notre Académie propose ce genre de produits ?…,
75,,Hexa,"Exact, le rapport de mon enquête indique la même chose.",
76,,Hexa,"Cependant, en regardant de plus près, je n'ai pas retrouvé d'autres informations pertinentes et la source des données a été éffacée. Je n'ai aucun moyen de la restaurer…",
77,,Hexa,Il y a quelque chose qui cloche.,
78,,Turin,"Si on parle de ça, j'ai l'impression que… les données m'ont l'air familières…",
79,,*,Je pense que j'ai une idée de la personne qui les a laissées…,
80,,Turin,Ah ! Iron Fist est là ! Dépêche-toi !,
81,,Iron Fist,"Heu, Senpai… est-ce que… j'ai l'air bizarre ?",
82,,*,…,Ce n'est pas du tout bizarre|Cela te va parfaitement
83,,Iron Fist,Hé Hé…… Merci……,
84,,Turin,"Nous allons nous amuser sur la plage, est-ce que tu viens avec nous Senpai ?",
85,,*,Hmm...,
86,,Ithil,"Ne t'inquiète pas pour moi, ton aide n'est plus nécessaire ici. Tu peux y aller.",
87,,*,Tu ne viens pas avec nous Ithil ?,
88,,Ithil,Quelqu'un doit rester ici. Et puis… depuis quand tu t'inquiètes pour moi ?,
89,,*,Dans ce cas… j'y vais. Nous reviendrons t'aider plus tard !,
90,,Ithil,Ha… si tu veux.,
91,,*,Ah… je suis mort……,
92,,*,Comment Hexa et Iron Fist peuvent avoir autant d'énergie…,
93,,*,… on dirait qu'il y a d'autres personnes encore plus énergiques.,
94,,Lucifer,Hahaha ! Les vagues ne sont pas plus fortes que ça ?,
95,,Lucifer,C'est vraiment agréable… cette sensation lorsque les vagues entrent en contact avec nos pieds !,
96,,Michael,"Hé… Lucifer ! Fais un peu plus attention, tu risques de percuter quelqu'un !",
97,,Michael,"Ah… sérieusement... Senpai, toi aussi, dis lui quelque chose.",
98,,Michael,"C'est une chance de pouvoir venir à la mer, elle devrait en profiter pour s'amuser avec tout le monde et essayer de s'intégrer par la même occasion.",
99,,Michael,Mais regarde la en train de surfer toute seule…,
100,,Michael,Au fait… quand est-ce qu'elle a appris à surfer ? Est-elle venue ici secrètement ? C'est très dangereux de venir à la plage toute seule ? Il faut que je lui en parle…,
101,,Michael,"… Senpai, est-ce que tu m'écoutes ?",
102,,*,"Hein ?!… Oui, Oui, en effet, c'est bien ça, je pense que tu as raison.",
103,,Michael,Tu… as l'air vraiment bizarre Senpai.,
104,,Michael,Ahhh… je me disais bien que je n'aurais pas dû laisser Isabelle m'aider dans le choix du maillot de bain…,
105,,Isabelle,"Oh ! Celle-ci avec une jupe est vraiment mignonne !!! Mais pour toi Michael, peut-être que ce modèle un peu plus traditionnel t'irait mieux ?",
106,,Isabelle,"Ah ! Il y a encore ce maillot ! Toi qui d'ordinaire es très réservée, tu devrais porter quelque chose d'aussi sexy.",
107,,Isabelle,Alors ? Est-ce que tu as une préfèrence Michael ? Ou sinon tu peux tous les acheter ?,
108,,Isabelle,Ah c'est vrai ! D'abord il vaut mieux que tu les essayes tous… tu veux que je t'aide ?,
109,,Michael,"Non… ça ira Isabelle… ne t'inquiète pas, n'importe lequel fera l'affaire…",
110,,Isabelle,Ah bon ? Tu es sûre ? Mais il y en a beaucoup que je veux que tu essaies. Laisse moi voir… il y a encore 82 maillots…,
111,,Michael,… Je suis désolée Isabelle ! J'ai des choses à faire aujourd'hui ! Je vais prendre… celui-ci ! Je dois y aller !,
112,,Isabelle,"Ah, Michael, ne t'en va pas !",
113,,Isabelle,"Oh… c'est dommage que je ne puisse pas l'accompagner, j'avais vraiment envie de la voir en maillot de bain.",
114,,Isabelle,"Ah, j'ai oublié…",
115,,Michael,J'aurais dû au moins regarder quel maillot j'ai pris à ce moment-là ...,
