id,desc,title
1,Connexion,Connexion
2,Pack\nMensuel,Pack\nMensuel
3,Pack Hebdo,Pack\nHebdo
4,Bonus de Nouveau Serveur,Bonus de Nouveau Serveur
5,Recharge,Recharge
6,Carte Mensuelle,Carte\nMensuelle
7,Petite Carte Mensuelle,Petite Carte\nMensuelle
8,Pack de Niveau,Pack de Niveau
9,Pack d'Entraînement 4 étoiles,Entraînement\n4 étoiles
10,Pack d'Entraînement 5 étoiles,Entraînement\n5 étoiles
11,Pack de Première Recharge,Première\nRecharge
12,Pack de Valeur Extra,Pack de\nGrande Valeur
13,Événement de Points de Capsule,Points de\nCapsule
14,Pack de Pièces,Pack de Pièces
15,Pack de Valeur Extra,Pack de\nGrande Valeur
16,Examen d'Admission,Examen\nd'Admission
17,Rassemblement des Filles,Rassemblement
18,Aimez la page pour obtenir une récompense,Récompense\ndes Fans
19,Bonus de Recharge,Bonus de Recharge
20,Bonus de Distributeur,Bonus de\nDistributeur
21,Événement de Jobs,Événement de\nJobs
22,Bataille dans l'Arène,Bataille dans\nl'Arène
23,Tâche\ndes Filles,Tâche\ndes Filles
24,Carte Hebdomadaire,Carte Hebdomadaire
25,Graduer et\nÉveiller,Graduer et\nÉveiller
26,Échange\nde Fille,Échange\nde Fille
27,Sac\nd'Aventurier,Sac\nd'Aventurier
28,Cabine Charmante,Cabine Charmante
29,Récompense de Connexion,Récompense de Connexion
30,Arrivée des\nnouvelles voix,Arrivée des\nnouvelles voix
31,Pack Limité de\nFilles 5 étoiles,Pack Limité de\nFilles 5 étoiles
32,Pratique Extra-Scolaire,Pratique\nExtra-Scolaire
33,Labo\nAlchimique,Labo\nAlchimique
34,Élevage de Serviteur,Élevage de Serviteur
35,Abonnement,Abonnement
36,Carte de Halloween,Carte de Halloween
37,Puzzle,Puzzle
38,Abonnement,Abonnement
39,Pack\nMensuel,Pack\nMensuel
40,Pack Hebdo,Pack\nHebdo
41,Libération\nGlorieuse,Libération\nGlorieuse
42,Cadeaux\nde la Rentrée,Cadeaux\nde la Rentrée
43,Festival de l'Hiver,Festival de l'Hiver
44,Pack Surprise\nde Skin,Pack Surprise\nde Skin
45,Pack Surprise\nde Skin,Pack Surprise\nde Skin
46,Premier Rencard,Premier Rencard
47,Connexion\nLunaire,Connexion\nLunaire
48,Échange 10 étoiles,Échange 10 étoiles
49,Pack d'Étape,Pack d'Étape
50,Promesse sous le Cerisier,Promesse sous le Cerisier
51,Bague de Serment,Bague de\nSerment
52,Gagnez leurs Cœurs,Gagnez leurs Cœurs
53,Mandater le Test,Mandater le Test
54,Commentaires,Commentaires
55,Décoration\ndu Dortoir,Décoration\ndu Dortoir
56,Cadeaux d'Automne,Cadeaux d'Automne
57,Pack de\nCroissance,Pack de\nCroissance
58,Récompense de Capsule de Nouveau Serveur,Récompense de Capsule de Nouveau Serveur
59,Académie Yume,Académie Yume
60,Provision,Provision
61,Jeu de Plage,Jeu de Plage
62,Récompenses Spéciales,Récompenses Spéciales
63,Pause\nGourmande,Pause\nGourmande
64,Machine à Sous,Machine à Sous
65,Cérémonie de\nMachine à sous,Cérémonie de\nMachine à sous
66,Pack Exclusif\nde Noël,Pack Exclusif\nde Noël
67,Show en direct,Show en direct
68,Fête de\nla musique,Fête de\nla musique
69,Programme de\nMotivation,Programme de\nMotivation
70,L'Observateur de la Librairie,L'Observateur\nde la Librairie
71,Recherche des Classiques,Recherche\ndes Classiques
72,Pack\nde Serment,Pack\nde Serment
73,Chasse aux bonbons,Dortoir\nIlluminé
74,Rugissement mécanique,Rugissement\nmécanique
75,Événement\nMensuel,Événement\nMensuel
76,Booster d'EXP,Booster d'EXP
77,Booster de Pièces,Booster de Pièces
78,Pack d'Étape,Pack d'Étape
79,Booster de Test,Booster de Test
80,Pack de\nNiveau,Pack de\nNiveau
81,Pack d'Entraînement 4 étoiles,Entraînement\n4 étoiles
82,Pack de formation\n5 étoiles,Entraînement\n5 étoiles
84,Gagnez leurs Cœurs,Gagnez leurs Cœurs
85,Cadeau du\nNouvel An,Cadeau du\nNouvel An
86,Quêtes de Halloween,Quêtes de Halloween
87,Période de\nSoldes,Période de\nSoldes
88,Concours\nde Chance,Concours\nde Chance
89,Pack de Valeur Extra,Pack de\nGrande Valeur
90,Pack\nSurprise,Pack\nSurprise
91,Bonus de Recharge,Bonus de Recharge
92,Pack Bonus\nde Capsules,Pack Bonus\nde Capsules
93,Faire du Café,Faire du Café
95,Fontaine à vœux,Fontaine à vœux
999,Évaluation\nParticulière,Évaluation\nParticulière
97,Réunion\nD'Élite,Réunion\nD'Élite
98,Expédition\ndu Chaos,Expédition\ndu Chaos
99,Capsule\nde Filles,Capsule\nde Filles
100,Desserts\nIncroyables,Desserts\nIncroyables
101,Ballons Colorés,Ballons Colorés
103,Avis\nd'Admission,Avis\nd'Admission
104,Pack\nQuotidien,Pack\nQuotidien
105,Pack\nQuotidien,Pack\nQuotidien
106,,
107,Pack de formation\n7 étoiles,Entraînement\n7 étoiles
108,Rugissement\nmécanique,Rugissement\nmécanique
102,Festival\nSportif,Festival\nSportif
109,Sanctuaire,Sanctuaire
110,Pack de formation\n9 étoiles 2,Entraînement\n9 étoiles 2
111,Pack de formation\n9 étoiles 1,Entraînement\n9 étoiles 1
112,Liez votre\ncompte,Lier le Compte
113,Récompenses\nen ligne,Récompenses\nen ligne
114,Visite\nGuidée,Visite\nGuidée
115,Technologie\nSupérieure,Technologie\nSupérieure
116,7 jours\nde Bonheur,7 jours\nde Bonheur
117,Loisir\nExtra-Scolaire,Loisir\nExtra-Scolaire
118,Butin d'Auto-Bataille,Butin d'Auto-Bataille
119,Quiz Doublé,Quiz Doublé
120,Test d'Admission,Test d'Admission
121,Coup\nde Cœur,Coup\nde Cœur
122,Cadeaux\nMystères,Cadeaux\nMystères
123,Invocation\nExclusive,Invocation\nExclusive
125,Doublon\nGagnant,Doublon\nGagnant
128,Ton Courrier,Ton Courrier
