id,title,name,dialog,select_text
1,Encore et Encore la Saint-Valentin,,Le ciel est rempli d'étoiles scintillantes,
2,,Fille A,As-tu entendu parler de la constellation qui va apparaître ce soir ? Allons la voir !,
3,,Fille B,"Ah… Il est déjà minuit, je préfère dormir.",
4,,Fille A,C'est vrai ? Je pensais que cela te plairait pourtant !,
5,,Fille B,Moi je ne suis pas obsédée par les étoiles Viviane ! J'ai plutôt hâte d'aller voir le concours d'exposition de chocolat de demain.,
6,,Fille A,Ah ??? Tu vas aussi y participer ?,
7,,Fille B,Ouais ! Et puis je veux aussi aller voir les œuvres des autres candidates !,
8,,Fille A,Tu m'as l'air bien confiante !,
9,,,Academie Yume 13 février 23：59,
10,,Mystérieuse A,Humm……Je m'attendais pas à ce que cette Shina coure aussi vite……Cette école est vraiment impressionnante.,
11,,Mystérieuse B,Avoir la force de soulever une bibliothèque à main nue... Incroyable !,
12,,Mystérieuse A,"En tout cas, tu devrais te dépêcher ! Je ne pense pas qu'elle puisse nous rattraper maintenant... Mais si tu ne t'étais pas arrêté pour te battre avec elle nous serions déjà bien loin tu sais ?",
13,,Mystérieuse B,C'est vrai......,
14,,Horloge,Dang——,
15,,,L'aiguille de l'horloge pointe vers 12. Elle annonce officiellement l'arrivée de la Saint-Valentin !,
16,,Mystérieuse A,Oh ! Dépêchons-nous !,
17,,Mystérieuse B,! ? Pas besoin d'utiliser la carte de téléportation d'ici——K——év...,
18,,Mystérieuse A,"Fiou... C'était moins une, encore un peu et nous aurions été enfermés. Quelle était cette énergie ?",
19,,Mystérieuse B,Ah ! C'était vraiment dangereux ! Les chocolats les plus importants ont failli tomber !,
20,,Mystérieuse A,"Arg... Oublie... Et puis, combien de fois t'ai-je déjà dit de ne pas m'appeler par mon vrai nom lorsque l'on est en action ?",
21,,Mystérieuse A,"L'Académie Yume... est vraiment un endroit impressionnant. Si nous avons l'occasion, nous reviendrons y jeter un coup d'oeil.",
22,,Mystérieuse B,"Hmm... Kév... Ah non ! K, tu penses que cet endroit est impressionnant dans le bon sens ou dans le mauvais sens du terme ?",
23,,Mystérieuse A,"Emm... Mais j'ai tout de même très envie de revenir ici. Au fait, as-tu laissé la carte marquant notre passage comme prévu ?",
24,,Mystérieuse B,Ahhh...,
25,,Mystérieuse A,Je peux voir à l'expression de ton visage que tu ne l'as pas fait. Il est préférable que je m'en charge moi-même à l'avenir...,
26,,Mystérieuse B,Désolée──,
27,,Mystérieuse A,N'essaie pas de trouver des excuses.,
28,,Mystérieuse B,Désolée——K——,
29,,Mystérieuse A,Arrête ! Les excuses ne servent à rien. Heureusement que je lui ai jeté une carte quand j'étais pourchassé par Shina.,
30,,Mystérieuse B,"(Mystérieuse B pense dans sa tête) Ce n'est pas juste une carte marquant notre passage, mais surtout une preuve de notre crime...",
31,,Mystérieuse B,"Hmm... Il vaut mieux que je le garde pour moi... Que je lui dise ou non, je serais tout de même la fautive...",
32,,,"Au même moment, à côté de terrain du sports...",
33,,Shina,Que font ces deux personnes ? Ils ont l'air agiles.,
34,,Shina,Une carte ?,
35,,Shina,「Merci pour votre précieux cadeau. Les chocolats ont été acceptés.」- Les Voleuses,
36,,Shina,............ Ce n'est pas qu'un simple intrus...,
37,,Shina,Si les chocolats ont été dérobés... Kong Ming sera furieux !,
38,,Shina,En parlant de ça......,
39,,,……,
40,,,C'est le bordel complet dans la bibliothèque. Tous les livres sont abîmés...,
41,,Shina,"Eh bien, Libraria et Kong Ming seront extrêmement furieux !",
42,,Shina,Je crois que... pour assurer ma sécurité... je vais de suite commencer à m'enfuir.,
43,,,Academie Yume 14 février 6: 00,
44,,*,~,
45,,*,Ugh ! Pourquoi est-ce que je me réveille si tôt ? ♪,
46,,*,Mais oui bien-sûr ! Parceque c'est la Saint-Valentin tant attendue ! ♪♪♪,
47,,,"Le 14 février est un jour très spécial pour les Filles de l'Académie Yume. De nombreuses activités sont organisées pour célébrer ce jour très particulier. L'une de ces dernières est le concours de fabrication de chocolat organisés par Kong Ming. Ainsi, chaque année, les Filles apportent les chocolats qu'elles ont préparé elles-mêmes pour les présenter lors du concours !",
48,,*,Je me demande quelles sortes de chocolat vont préparer les Filles...... Plus j'y pense; plus j'ai hâte ! ~Allez j'y vais——♪,
49,,*,....... j'y vais......,
50,,*,Que s'est-il passé à l'instant ? Ma tête tourne......,
51,,*,Mais aujourd'hui c'est la Saint-Valentin !,"Oh non... Bon, je vais d'abord aller voir Isabelle.|Je peux surmonter ce mal de tête pour les chocolats !"
52,,*,"J'y vais ! Je peux le faire, je peux encore marcher après tout !",
53,,*,Attends... Où est-ce que je suis...,
54,,*,Je ne me rappelle pas qu'il y ait eu une tempête le nuit dernière... Peut-être qu'il y a eu un spectacle pour la Saint-Valentin ?,
55,,*,Mais deux spectacles de prévu le même jour ?,
56,,*,"C'est confirmé, je dois aller à l'infirmerie.",
57,,,Ou sinon je vais finir par croire que je suis fou.,
58,,,Peut-être que je me mets trop la pression ?,
59,,,"Non ! Au lieu de penser à des choses stupides, je devrais plutôt aller au terrain du sport !",
60,,,"Par où est-ce que je devrais passer... Ah oui ! La bibliothèque est par là, ce sera plus rapide !",
61,,,...Hmm ? Qu'est-ce qu'il s'est passé ?,
62,,*,Un autre spectacle pour la Saint-Valentin ?,
