id,love_point,love_level_desc
0,0,{1} a juste entendu parler de toi.\n
1,1000,{1} a juste entendu parler de toi.\n
2,2000,{1} trouve que tu es quelqu'un de bien.\n
3,3000,{1} trouve que tu es quelqu'un de bien.\n
4,4000,{1} trouve que tu es quelqu'un de bien.\n
5,5000,{1} te fait totalement confiance.\n
6,6000,{1} te fait totalement confiance.\n
7,7000,{1} te fait totalement confiance.\n
8,8000,{1} voudrait passer le reste de sa vie avec toi.\n
9,9000,{1} voudrait passer le reste de sa vie avec toi.\n
10,10000,{1} ne voit que toi.\n
11,11000,{1} ne voit que par toi.\n
12,12000,{1} ne voit que toi.\n
13,13000,{1} ne voit que par toi.\n
14,14000,{1} ne voit que par toi.\n
15,15000,{1} ne voit que par toi.\n
