id,desc
1,Passer l'Étape
2,Moins de (≤) {1} Fille(s) dans votre Équipe
3,Moins de (≤) {1} Fille(s) dans votre Équipe
4,Moins de (≤) {1} Fille(s) dans votre Équipe
5,Moins de (≤) {1} Fille(s) dans votre Équipe
6,Passer l'Étape en moins de (≤) {1} tour(s)
7,Passer l'Étape en moins de (≤) {1} tour(s)
8,Passer l'Étape en moins de (≤) {1} tour(s)
9,Passer l'Étape en moins de (≤) {1} tour(s)
10,Passer l'Étape en moins de (≤) {1} tour(s)
11,Recevoir moins de (≤) {1} Effet de Contrôle
12,Total des PV restants supérieur (≥) à {1}%%
13,Total des PV restants supérieur (≥) à {1}%%
14,Total des PV restants supérieur (≥) à {1}%%
15,Total des PV restants supérieur (≥) à {1}%%
16,Moins de (≤) {1} Filles vaincue à la fin du combat
17,Moins de (≤) {1} Filles vaincue à la fin du combat
18,Moins de (≤) {1} Filles vaincue à la fin du combat
19,Moins de (≤) {1} Filles vaincue à la fin du combat
20,Moins de (≤) {1} Filles vaincue à la fin du combat
21,Terminer avec toutes les Filles de votre équipe en vie
22,Aucune Fille de Maison Fantôme dans votre Équipe
23,Aucune Fille de Maison Humain dans votre Équipe
24,Aucune Fille de Maison Monstre dans votre Équipe
25,Aucune Fille de Maison Fée dans votre Équipe
26,Aucune Fille de Maison Démon dans votre Équipe
27,Aucune Fille de Maison Ange dans votre Équipe
28,Ajouter Monica à votre Équipe
29,Subir moins de (≤) {1} de dégâts
30,Ajouter Monica à votre Équipe
31,Ajouter Monica à votre Équipe
32,Aucune Fille sur la ligne avant
33,Aucune Fille sur la ligne arrière
