1,desc
1,Terminez le Chapitre 1 de la Campagne
2,Fabriquez 1 équipement aléatoire
3,Entraînez une Fille jusqu'au Niv.30
4,Ajoutez 1 ami
5,Envoyez 1 message dans le Chat
6,Changez d'image de fond
7,Utilisez 1 ticket du Distributeur Normal
8,Combattez 1 fois dans l'Arène
9,Créez ou rejoignez une Guilde
10,Terminez le 1er Étage des Tests
11,Non affiché
12,Connectez-vous Consécutivement 3 jours
13,Terminez le Chapitre 7 de la Campagne
14,Atteignez le Niv.50
15,Entraînez une Fille jusqu'au Niv.100
16,Utilisez 10 pièces de Capsule Avancé
17,Utilisez 1 Sceau
18,Explorer 1 fois le Sanctuaire
19,Terminez le 10ème étage des Tests
20,Finissez 1 Job
21,Non affiché
22,Mettez un skin à une Fille
23,Connectez-vous Consécutivement 7 jours
24,Terminez le Chapitre 10 de la Campagne
25,Obtenez 1 Fille 6 étoiles
26,Utilisez 10 tickets du Distributeur Avancé
27,Battez-vous 1 fois dans l'Arène d'Élite
28,Battez-vous 1 fois dans Arène 3v3
29,Terminez le Défi d'une Fille
30,Possédez 1 Serviteur
31,Battez-vous 1 fois en Patrouille
32,Non affiché
33,Terminez le Chapitre 5 de la Campagne
