id,name,buff1,buff2,buff3,buff4
20001,Clochette des Cerisiers,Attribut Basique - PV +3%,Attribut Basique - PV +6%,,Soins de Serviteur + 20%
30001,Clochette des Chatons,Attribut Basique - Attaque +2%,Attribut Basique - Attaque +4%,,Dégâts de Serviteur + 20%
40001,Clochette Spectrale,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Fantôme.,Pénétration d'Armure +10%,,Pénétration d'Armure +20%
40002,Clochette Azurée,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Humain.,Blocage +10%,,Blocage +20%
40003,Clochette Digitale,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Monstre.,Attribut Basique - Attaque +3%,,Attribut Basique - Attaque +6%
40004,Clochette Féerique,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Fée.,Attribut Basique - PV +4%,,Attribut Basique - PV +8%
50001,Clochette Obscure,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Démon.,Dégâts des Compétences +20%,Dégâts des Compétences +40%,Attribut Basique - Attaque +6%\nAugmente les dégâts infligés par toutes vos Filles de 1% pour chaque Fille de la Maison Démon dans votre équipe.
50002,Clochette Divine,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Ange.,Dégâts Divins +6%,Dégâts Divins +12%,Attribut Basique - PV +8%\nAugmente la Résistance Totale de toutes vos Filles de 1% pour chaque Fille de la Maison Ange dans votre équipe.
50003,Clochette Galactique,Augmente de 50% les Attributs Basiques fournis à vos Filles de la Maison Cosmos.,Tous les Dég. +3%,Tous les Dég. +6%,Attribut Basique - Attaque +8%\nAugmente les bonus fournis par l'Aura de la Maison Cosmos de 3% pour chaque Fille de la Maison Cosmos dans votre équipe.
60001,Clochette Astrale,Résistance Totale +10%,Attribut Basique - PV +6%,Attribut Basique - PV +12%,Attribut Basique - PV +12%\nRéduit les dégâts subis de 10%.
