id,name,desc
10001,Bain de Soleil,Boutique de Skin
10002,Code Source,Boutique de Skin
10003,Reine des Mers,Boutique de Skin
10004,Ligne du Destin,Boutique de Skin
10005,Habit de Sorcière,Boutique de Skin
10006,Élite de Bataille,Boutique de Skin
10007,Maître du Karaté,Boutique de Skin
10008,Alice en rêve,Boutique de Skin
10009,Reine des neiges,Boutique de Skin
10010,Carnaval de Noël,Boutique de Skin
10011,Lutin de Nôel,Boutique de Skin
10012,Hiver au Pays Fantastique,Boutique de Skin
10013,Danse Givrée,Boutique de Skin
10014,Nouvel An,Événement Limité
10015,Chérie,Boutique de Skin
10016,Rose Chérie,Boutique de Skin
10017,Pluie de Cerise,Boutique de Skin
10018,Rose de Nuit,Serment
10019,Équinoxe,Serment
10020,Baiser Écarlate,Serment
10021,Rose Sakura,Serment
10022,Rose Glacée,Serment
10023,Rose Blanche,Serment
10024,Floraison,Boutique de Skin
10025,Chasse de Pâques,Boutique de Skin
10026,Musique d'Amour,Serment
10027,Rose Rouge,Serment
10028,Miaou Tueur,Boutique de Skin
10029,Examen Ange,Boutique de Skin
10030,Examen Humain,Boutique de Skin
10031,Zongzi,Événement Limité
10032,Examen Monstre,Boutique de Skin
10033,Fraîcheur de la Plage,Événement Limité
10034,Mer d'Azur,Événement Limité
10035,Examen Démon,Événement Limité
10036,Ruineuse de Soirée,Boutique de Skin
10037,Gourmande,Boutique de Skin
10038,Surfeuse,Événement Limité
10039,Mariée Divine,Serment
10040,Quartz Rose,Serment
10041,Brise de l'Océan,Événement Limité
10042,Examen Fée,Événement Limité
10043,Fantaisie d'Été,Événement Limité
10044,Kimono Blanc,Serment
10045,Examen Fantôme,Événement Limité
10046,Plume Légère,Serment
10047,Visage Séduisant,Défi du Personnage · Hottie
10048,Flamme Éternelle,Serment
10049,Voile Gracieux,Serment
10050,Musique de l'Âme,Événement Limité
10051,Concert de Rock,Évènements ou Boutique de Skin
10052,Roulement de Tambour,Évènements ou Boutique de Skin
10053,Rugissement,Événement Limité
10054,Lapin de Maison,Événement Limité
10055,Opération Secrète,Évènements ou Boutique de Skin
10056,Grimoire,Événement Limité
10057,Plume Radieuse,Événement Limité
10058,Nouveau Départ,"Quête ""Nouveau Départ"" d'Iron Fist"
10059,Automne,Boutique de Skin
10060,Yokai Rosé,Événement Limité
10061,Halloween,Événement Limité
10062,Charmante,Événement Limité
10063,Comète,Événement Limité
10064,Etoile Filante,Évènements ou Boutique de Skin
10065,Cyber Attaque,Événement Limité
10066,Pétale Tombante,Événement Limité
10067,Brise Légère,Événement Limité
10068,Source Chaude,Évènements ou Boutique de Skin
10069,Chaleur Tentante,Événement Limité
10070,Bain Chaud,Boutique de Skin
10071,Sylphe,Événement Limité
10072,Atlante,Événement Limité
10073,Cadeau des Mages,Événement Limité
10074,Noël Enneigé,Événement Limité
10075,Conte des Neiges,Événement Limité
10076,Lame de Glace,Événement Limité
10077,Pause Café,Événement Limité
10078,Danse Féline,Événement Limité
10079,Destinée,Événement Limité
10080,Lanterne Volante,Événement Limité
10081,Amoureuse,Événement Limité
10082,Rose Piquante,Événement Limité
10083,Sommelière,Événement Limité
10084,Gouvernante,Événement Limité
10085,Aristocrate,Événement Limité
10086,Danseuse Sakura,Événement Limité
10087,Kimono Neige Rosée,Événement Limité
10088,Sacrement,Serment
10089,Arbitre,Événement Limité
10090,Star de Baseball,Événement Limité
10091,Sprinteuse,Événement Limité
10092,Smasheuse,Événement Limité
10093,Pistolero,Événement Limité
10094,Bénédiction,Serment
10095,Violoniste,Événement Limité
10096,Union Rosée,Serment
10097,Promesse Violette,Serment
21001,Essence,EXP pour améliroer l'Antiquité
21002,Craie,Butin
21003,Tabouret,Butin
21004,Machette Maléfique,Butin
21005,Lumière d'Alarme,Butin
21006,Livre de Magie pour Débutant,Butin
22001,Cube Doré,Butin
22002,Couronne Argentée,Butin
22003,Malédiction de Sorcière,Butin
22004,Sac Universel,Butin
22005,Guide de Magie Avancé,Butin
23001,Trèfle à 4 Feuilles,"Butin, Combiner les Fragments, Distributeur"
23002,Fronde,"Butin, Combiner les Fragments, Distributeur"
23003,Baiser de la Fée des Neiges,"Butin, Combiner les Fragments, Distributeur"
23004,Ceinture Noire,"Butin, Combiner les Fragments, Distributeur"
23005,Foulard de Judo,"Butin, Combiner les Fragments, Distributeur"
24001,Batte de Baseball,"Combiner les Fragments, Marché"
24002,Katana,"Combiner les Fragments, Marché"
24003,Livre Scellé,"Combiner les Fragments, Marché"
24004,Dent de Dragon,"Combiner les Fragments, Marché"
24005,Baril de Pétrole,"Combiner les Fragments, Marché"
24006,Chaussures en Cuir,"Combiner les Fragments, Marché"
24007,Gâteau de Fruit,"Combiner les Fragments, Marché"
25001,Bâton d'Ange,"Combiner les Fragments, Marché"
25002,Plume de Feu,"Combiner les Fragments, Marché"
25003,Lame Démoniaque,"Combiner les Fragments, Marché"
25004,Rune d'Éclair,"Combiner les Fragments, Marché"
25005,Cœur Brave,"Combiner les Fragments, Marché"
25006,Bas en Dentelle,"Combiner les Fragments, Marché"
25007,Branche de Cerisier,"Combiner les Fragments, Marché"
25008,Masque de Danse,"Combiner les Fragments, Marché"
25009,Reine du Poker,"Combiner les Fragments, Marché"
25010,Hâche de la Fée des Neiges,"Combiner les Fragments, Marché"
25011,Sapin de Nöel,"Combiner les Fragments, Marché"
25012,Cœur de Tonnerre,"Combiner les Fragments, Marché"
