id,desc
1,
2,
3,
101,
102,
103,
201,Touchez ici pour personnaliser la Tenue de votre personnage. Choisissez également un style différent pour certains éléments.
202,Vous obtiendrez les Bonus d'Attribut même pour les Tenues que vous ne portez pas actuellement. Touchez ici pour plus de détails.
203,Obtenez des Bonus Spéciaux en débloquant tous les éléments d'une même Tenue. Touchez ici pour voir les Bonus Spéciaux débloqués.
204,Améliorez les différents éléments de Tenue que vous possédez !
205,Touchez ici pour savoir plus !
