id,artifact_name,artifact_desc
6206,Bâton d'Ange,Augmente les dégâts et l'Attaque contre les Filles de Classe Guerrier.
6207,Plume de Feu,Augmente les dégâts et l'Attaque contre les Filles de Classe Assassin.
6208,Lame Démoniaque,Augmente les dégâts et l'Attaque contre les Filles de Classe Éclaireur.
6209,Rune d'Éclair,Augmente les dégâts et l'Attaque contre les Filles de Classe Mage.
6210,Cœur Brave,Augmente les dégâts et l'Attaque contre les Filles de Classe Prêtre.
6211,Bas en Dentelle,"Augmente la Vitesse, permet d'attaquer en premier.\nAugmente les PV, permet d'augmenter la survie."
6212,Branche de Cerisier,"Augmente l'Attaque et la Précision, ainsi que votre habilité à infliger des dégâts."
6213,Masque de Danse,"Augmente la Réduction aux Dégâts, permet d'améliorer votre survie."
6214,Reine du Poker,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Guerrier.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus de Pénétration d'Armure."
6215,Hache de la Fée des Neiges,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Assassin.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus de PV."
6216,Sapin de Noël,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus d'Attaque."
6217,Cœur de Tonnerre,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Mage.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus de PV."
6218,Super Potion,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Prêtre.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus d'Attaque."
6219,Pendentif d'Âme,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Prêtre.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus de dégâts des compétences."
6220,Chanson de Gabriel,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Guerrier.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus de PV."
6221,Livre Démoniaque,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Assassin.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus d'Attaque."
6222,Croix du Destin,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus de Critiques."
6223,Couronne de Fée,"Augmente l'Attaque et les dégâts infligés aux Filles de Classe Mage.\nSi la Fille possédant cette Antiquitéest de la Maison Fée, octroie aussi un bonus de Dégâts Critiques."
6224,Capuche à Chat,"Augmente la Réduction aux Dégâts, les PV et également la survie de la Fille l'équipant.\nSi la Fille portant cet objet est de la Maison Fée, augmente aussi ses PV."
6225,Porte Jarretelle,"Augmente la Vitesse, les PV, et également la survie de la Fille l'équipant, lui permettant d'attaquer plus rapidement.\nSi la Fille portant cet objet est de la Maison Fée, augmente aussi ses Critiques."
6226,Ballon de Beach-Volley,"Augmente l'Attaque et la Précision.\nSi la Fille portant cet objet est de la Maison Démon, augmente aussi ses dégâts des compétences."
6227,Boucle d'Oreille Cœur,"Augmente la Réduction aux Dégâts et les PV.\nSi la Fille portant cet objet est de la Maison Ange, augmente aussi ses Dégâts Divins."
6343,Bénédiction de Geisha,Augmente l'Attaque et les dégâts contre les Filles de Classe Guerrier.
6344,Encensoir,Augmente l'Attaque et les dégâts contre les Filles de Classe Assassin.
6345,Muramasa,Augmente l'Attaque et les dégâts contre les Filles de Classe Éclaireur.
6346,Rage de la Fée du Feu,Augmente l'Attaque et les dégâts contre les Filles de Classe Mage.
6347,Récupération Totale,Augmente l'Attaque et les dégâts contre les Filles de Classe Prêtre.
6348,Pouvoir du Vent,"Augmente considérablement la Vitesse, permettant d'attaquer en premier.\nAugmente considérablement les PV, augmentant la survie."
6349,Boule de Neige,Augmente considérablement la Précision.
