id,desc
1,Tank
2,Première Ligne
3,Attaquante
4,Contrôle
5,Soutien
6,Soins
7,Survie
8,Régénération
9,Attaque Surprise
10,Dégâts de Zone
11,Ajouteur de Marque
12,Principal
13,Chef d'Équipe
14,Sacrifice
15,Kamikaze
16,Toute-Puissante
17,Stable
18,Contre
19,Rapide
20,Bonus
21,Contre-Attaque
22,Évolue
23,Récolte
24,Invincible
25,Durabilité
26,Flexible
27,Ressuscite
28,Belle Silhouette
29,Lolita
30,Mignonne
31,Unique
32,Jolie Voix
33,Sexy
34,Ma femme !
35,Taciturne
36,Gentille
37,Ma Reine !
38,La plus mignonne
