id,name,desc,memory_name,memory_desc
1,Chapitre 1,Cérémonie d'Ouverture,Chapitre 1,Cérémonie d'Ouverture
2,Chapitre 2,Bonne Vie à l'Ecole ?,Chapitre 2,Bonne Vie à l'Ecole ?
3,Chapitre 3,Chaos dans la nuit,Chapitre 3,Chaos dans la nuit
4,Chapitre 4,"Feu d'artifice, Souhait, DEF",Chapitre 4,"Feu d'artifice, Souhait, DEF"
5,Chapitre 5,Examen de Milieu de Période,Chapitre 5,Examen de Milieu de Période
6,Chapitre 6,Fête de l'Ecole,Chapitre 6,Fête de l'Ecole
7,Chapitre 7,DEF,Chapitre 7,DEF
8,Chapitre 8,Lune Rouge,Chapitre 8,Lune Rouge
9,Chapitre 9,Yume,Chapitre 9,Yume
10,Chapitre 10,Un Nouveau Départ,Chapitre 10,Un Nouveau Départ
11,Chapitre 11,Retour à la maison,Chapitre 11,Retour à la maison
12,Chapitre 12,Labyrinthe et Cristaux,Chapitre 12,Labyrinthe et Cristaux
13,Chapitre 13,La Déesse de la Guerre,Chapitre 13,La Déesse de la Guerre
14,Chapitre 14,Ancienne Haine,Chapitre 14,Ancienne Haine
15,Chapitre 15,Rituel Mystérieux,Chapitre 15,Rituel Mystérieux
16,Chapitre 16,La vérité des ténèbres,Chapitre 16,La vérité des ténèbres
17,Chapitre 17, ,Chapitre 17, 
18,Chapitre 18, ,Chapitre 18, 
19,Chapitre 19, ,Chapitre 19, 
20,Chapitre 20, ,Chapitre 20, 
21,Chapitre 1,Cérémonie d'Ouverture,Chapitre 1,Cérémonie d'Ouverture
22,Chapitre 2,Bonne Vie à l'Ecole ?,Chapitre 2,Bonne Vie à l'Ecole ?
23,Chapitre 3,Chaos dans la nuit,Chapitre 3,Chaos dans la nuit
24,Chapitre 4,"Feu d'artifice, Souhait, DEF",Chapitre 4,"Feu d'artifice, Souhait, DEF"
25,Chapitre 5,Examen de Milieu de Période,Chapitre 5,Examen de Milieu de Période
26,Chapitre 6,Fête de l'Ecole,Chapitre 6,Fête de l'Ecole
27,Chapitre 7,DEF,Chapitre 7,DEF
28,Chapitre 8,Lune Rouge,Chapitre 8,Lune Rouge
29,Chapitre 9,Yume,Chapitre 9,Yume
30,Chapitre 10,Un Nouveau Départ,Chapitre 10,Un Nouveau Départ
31,Chapitre 1,Cérémonie d'Ouverture,Chapitre 1,Cérémonie d'Ouverture
32,Chapitre 2,Bonne Vie à l'Ecole ?,Chapitre 2,Bonne Vie à l'Ecole ?
33,Chapitre 3,Chaos dans la nuit,Chapitre 3,Chaos dans la nuit
34,Chapitre 4,"Feu d'artifice, Souhait, DEF",Chapitre 4,"Feu d'artifice, Souhait, DEF"
35,Chapitre 5,Examen de Milieu de Période,Chapitre 5,Examen de Milieu de Période
36,Chapitre 6,Fête de l'Ecole,Chapitre 6,Fête de l'Ecole
37,Chapitre 7,DEF,Chapitre 7,DEF
38,Chapitre 8,Lune Rouge,Chapitre 8,Lune Rouge
39,Chapitre 9,Yume,Chapitre 9,Yume
40,Chapitre 10,Un Nouveau Départ,Chapitre 10,Un Nouveau Départ
41,Chapitre 1,Cérémonie d'Ouverture,Chapitre 1,Cérémonie d'Ouverture
42,Chapitre 2,Bonne Vie à l'Ecole ?,Chapitre 2,Bonne Vie à l'Ecole ?
43,Chapitre 3,Chaos dans la nuit,Chapitre 3,Chaos dans la nuit
44,Chapitre 4,"Feu d'artifice, Souhait, DEF",Chapitre 4,"Feu d'artifice, Souhait, DEF"
45,Chapitre 5,Examen de Milieu de Période,Chapitre 5,Examen de Milieu de Période
46,Chapitre 6,Fête de l'Ecole,Chapitre 6,Fête de l'Ecole
47,Chapitre 7,DEF,Chapitre 7,DEF
48,Chapitre 8,Lune Rouge,Chapitre 8,Lune Rouge
49,Chapitre 9,Yume,Chapitre 9,Yume
50,Chapitre 10,Un Nouveau Départ,Chapitre 10,Un Nouveau Départ
