id,desc
101,Ennemi Ordinaire
102,Ennemi Élite
103,Ennemi Suprême
104,Satellite Mystérieux_A20
105,Satellite Mystérieux_B22
106,Satellite Mystérieux_C08
107,Satellite Mystérieux_D16
108,Satellite Mystérieux_E01
109,Caisse de Provision
110,Néant
111,Pirate de l'Espace
112,Tyran de la Galaxie
201,"Bien que ces ennemis ne soient pas difficiles à vaincre, ils compliqueront toujours la planification de votre itinéraire d'exploration."
202,"Les Ennemis Élites ne se trouvent que dans certaines zones, mais vous devrez les vaincre pour pouvoir explorer plus loin !"
203,"Cet ennemi est l'un des plus dangereux de toute la galaxie. Si vous ne parvenez pas à le vaincre, il vous sera difficile de quitter cette planète en toute sécurité..."
204,"Ce satellite est insignifiant mais mystérieux, l'explorer donnera de l'assurance à votre équipe !"
205,"Ce satellite est insignifiant mais mystérieux, l'explorer donnera de l'assurance à votre équipe !"
206,"Ce satellite est insignifiant mais mystérieux, l'explorer donnera de l'assurance à votre équipe !"
207,"Ce satellite est insignifiant mais mystérieux, l'explorer donnera de l'assurance à votre équipe !"
208,"Ce satellite est insignifiant mais mystérieux, l'explorer donnera de l'assurance à votre équipe !"
209,"Prenez le temps qu'il faut pour ouvrir cette caisse flottante, mais ne passez surtout pas au travers, car elle en vaut la peine !"
210,Il faut croire que certaines zones de la galaxie n'ont rien d'intéressant à explorer...
211,"Ces infâmes pirates pillent tout sur leur passage, abattez-les puis prenez leur butin avant qu'ils ne disparaissent à nouveau."
212,"Cet adversaire est d'une puissance redoutable, la légende raconte qu'il peut briser les règles de l'espace-temps. Personne encore n'a été capable de le vaincre, soyez le premier !"
