id,name,charge,currency,show_name,charge_ios,charge_ios_new
1,Carte Mensuelle,16.99,€,Carte Mensuelle,17.99,17.99
2,Petite Carte Mensuelle,5.49,€,Petite Carte Mensuelle,5.99,5.99
3,Carte Hebdomadaire,1.09,€,Carte Hebdomadaire,1.19,1.19
4,Pack de 250 Gemmes,5.49,€,Pack de Gemmes,5.99,5.99
5,Pack de 500 Gemmes,10.99,€,Pack de Gemmes,11.99,11.99
6,Pack de 1000 Gemmes,21.99,€,Pack de Gemmes,23.99,23.99
7,Pack de 2500 Gemmes,54.99,€,Pack de Gemmes,59.99,59.99
8,Pack de 5000 Gemmes,109.99,€,Pack de Gemmes,119.99,119.99
9,Pack de Niv.24,2.29,€,Pack de Niv.24,2.49,2.49
10,Pack de Niv.32,5.49,€,Pack de Niv.32,5.99,5.99
11,Pack de Niv.48,10.99,€,Pack de Niv.48,11.99,11.99
12,Pack de Niv.58,32.99,€,Pack de Niv.58,35.99,35.99
13,Pack de Niv.78,54.99,€,Pack de Niv.78,59.99,59.99
14,Pack d'Entraînement de Filles 4 étoiles,5.49,€,Pack d'Entraînement de Filles 4 étoiles,5.99,5.99
15,Pack d'Entraînement de Filles 5 étoiles,10.99,€,Pack d'Entraînement de Filles 5 étoiles,11.99,11.99
16,Pack Mensuel 1,5.49,€,Pack Mensuel,5.99,5.99
17,Pack Mensuel 2,10.99,€,Pack Mensuel,11.99,11.99
18,Pack Mensuel 3,32.99,€,Pack Mensuel,35.99,35.99
19,Pack Mensuel 4,54.99,€,Pack Mensuel,59.99,59.99
20,Pack Mensuel 5,74.99,€,Pack Mensuel,84.99,84.99
89,Pack Mensuel 7,109.99,€,Pack Mensuel,119.99,119.99
22,Pack Hebdomadaire 1,10.99,€,Pack Hebdomadaire,11.99,11.99
23,Pack Hebdomadaire 2,21.99,€,Pack Hebdomadaire,23.99,23.99
24,Pack Hebdomadaire 3,54.99,€,Pack Hebdomadaire,59.99,59.99
25,Pack Hebdomadaire 4,74.99,€,Pack Hebdomadaire,84.99,84.99
26,Pack de Grande Valeur 1,109.99,€,Pack de Grande Valeur,119.99,119.99
27,Pack de Grande Valeur 2,74.99,€,Pack de Grande Valeur,84.99,84.99
28,Pack de Grande Valeur 3,32.99,€,Pack de Grande Valeur,35.99,35.99
29,Pack de Grande Valeur 4,10.99,€,Pack de Grande Valeur,11.99,11.99
30,Pack de Grande Valeur 5,5.49,€,Pack de Grande Valeur,5.99,5.99
31,Pack de Grande Valeur 1,109.99,€,Pack de Grande Valeur,119.99,119.99
32,Pack de Grande Valeur 2,74.99,€,Pack de Grande Valeur,84.99,84.99
33,Pack de Grande Valeur 3,32.99,€,Pack de Grande Valeur,35.99,35.99
34,Pack de Grande Valeur 4,21.99,€,Pack de Grande Valeur,23.99,23.99
36,Pack de Grande Valeur 5,5.49,€,Pack de Grande Valeur,5.99,5.99
69,Pack de Grande Valeur 6,5.49,€,Pack de Grande Valeur,5.99,5.99
35,Pack de Recharge Gratuit,2.29,€,Pack de Recharge Gratuit,2.49,2.49
37,Pack Limité de Filles 5 étoiles,1.09,€,Pack Limité de Filles 5 étoiles,1.19,1.19
38,Abonnement,0.99,€,Abonnement,0.99,0.99
39,Carte de la Fête du Printemps,10.99,€,Carte de la Fête du Printemps,11.99,11.99
40,Abonnement Hebdomadaire,0.99,€,Abonnement Hebdomadaire,0.99,0.99
41,Mensuel,4.49,€,Mensuel,3.99,3.99
42,Trimestriel,10.49,€,Trimestriel,10.49,10.49
43,Pack Mensuel 1,5.49,€,Pack Mensuel,5.99,5.99
