id,weather_name,weather_desc
1,Ensoleillé,Aucun effet spécial.
2,Tempête de sable,Le Blocage du Seigneur du Chaos augmente de 100%.
3,Bruine,"L'Attaque des Filles des Maisons Fée et Humain est augmentée de 100%, l'Attaque des Filles des Maisons Monstre et Fantôme est réduite de 50%."
4,Orage,"Les dégâts d'Empoisonnement, de Saignement et de Brûlure sont augmentés de 200%."
5,Neige,L'Armure du Seigneur du Chaos augmente de 100%.
6,Nuit,"L'Attaque des Filles des Maisons Démon et Fantôme est augmentée de 100%, l'Attaque des Filles des Maisons Ange et Fée est réduite de 50%."
7,Brume,"L'Attaque des Filles des Maisons Ange et Monstre est augmentée de 100%, l'Attaque des Filles des Maisons Démon et Humain est réduite de 50%."
8,Nuageux,"Lorsque les PV du Seigneur du Chaos sont supérieurs ou égaux à 50%, tous les dégâts qu'il subit sont augmentés de 30%; lorsque ses PV sont inférieurs à 50%, son Armure est augmentée de 100%."
9,Vent fort,Tous les dégâts reçus par les ennemis sont augmentés de 30%. Les Soins Reçus par vos Filles sont réduits de 75%.
10,Ciel couvert,"Pendant la bataille, tous les dégâts reçus par les ennemis sont augmentés de 50% dans les tours impairs et réduits de 50% dans les tours pairs."
11,Neige abondante,"Lorsque les Attaques Basiques ou les Compétences Actives de vos Filles ne provoquent pas de Coup Critique, les dégâts seront réduits de 30%; lorsqu'un Coup Critique est causé, les dégâts sont augmentés de 30%."
