id,name,desc
1,Humain,Déployez 6 Filles de la [c][0195c5]Maison Fantôme[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
2,Humain,Déployez 6 Filles de la [c][0069cc]Maison Humain[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
3,Monstre,Déployez 6 Filles de la [c][cc0011]Maison Monstre[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
4,Fée,Déployez 6 Filles de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
5,Démon,Déployez 6 Filles de la [c][9227cc]Maison Démon[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
6,Ange,Déployez 6 Filles de la [c][d76500]Maison Ange[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
7,Arc-en-ciel,Déployez 6 Filles des [c][000000]Différentes Maisons [-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
8,Ciel et Terre,Déployez 3 Filles de la [c][9227cc]Maison Démon[-][/c] et 3 Filles de la [c][d76500]Maison Ange[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
9,Ténèbre,"Déployez 2 Filles de la [c][9227cc]Maison Démon[-][/c], 2 Filles de la [c][0195c5]Maison Fantôme[-][/c] et 2 Filles de la [c][cc0011]Maison Monstre[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison)."
10,Lumière,"Déployez 2 Filles de la [c][d76500]Maison Ange[-][/c], 2 Filles de la [c][0069cc]Maison Humain[-][/c] et 2 Filles de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison)."
11,Balance,Déployez 3 Filles de la [c][0069cc]Maison Humain[-][/c] et 3 Filles de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
12,Spectre,Déployez 3 Filles de la [c][0195c5]Maison Fantôme[-][/c] et 3 Filles de la [c][cc0011]Maison Monstre[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
13,Contagion,Déployez 3 Filles de la [c][cc0011]Maison Monstre[-][/c] et 3 Filles de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
14,Mutation,Déployez 3 Filles de la [c][0069cc]Maison Humain[-][/c] et 3 Filles de la [c][cc0011]Maison Monstre[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
15,Symbiose,Déployez 3 Filles de la [c][0195c5]Maison Fantôme[-][/c] et 3 Filles de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
16,Contraire,Déployez 3 Filles de la [c][0195c5]Maison Fantôme[-][/c] et 3 Filles de la [c][0069cc]Maison Humain[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison).
17,Chaos,"Déployez 3 Filles de la [c][d76500]Maison Ange[-][/c] ou de la [c][9227cc]Maison Démon[-][/c] et 3 autres Filles de 3 Maisons différentes : [c][0195c5]Maison Fantôme[-][/c], [c][0069cc]Maison Humain[-][/c], [c][cc0011]Maison Monstre[-][/c] ou [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison)."
18,Déguisement,"Déployez 3 Filles de la [c][0195c5]Maison Fantôme[-][/c], 2 Filles de la [c][369900]Maison Fée[-][/c] et 1 Fille de la [c][cc0011]Maison Monstre[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison)."
19,Ténacité,"Déployez 3 Filles de la [c][0069cc]Maison Humain[-][/c], 2 Filles de la [c][cc0011]Maison Monstre[-][/c] et 1 Fille de la [c][369900]Maison Fée[-][/c] pour obtenir un bonus pour votre équipe (les Filles Cosmos peuvent remplacer une Fille d'une autre Maison)."
