id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"Bienvenue à l'[c][d76500]Académie Yume[-][/c], Senpai !\n\nAujourd'hui est votre premier jour, je vais vous faire visiter le campus !",,,,
2,"Suivez-moi, je vais vous\nprésenter les alentours du campus !",,,,
3,"Senpai ! Ici, vous trouverez la [c][d76500]Campagne[-][/c] !",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
4,"Oh non ! Hatchi se fait attaquer !\nSenpai, allons vite le protéger !",buttoncrop_26_h5,0|0,,
5,,buttoncrop_6,0|0,,
6,,buttoncrop_5,0|0,,
7,"Senpai, regardez ! Ici, c'est l'entrée de la [c][d76500]Capsule[-][/c].",buttoncrop_1,0|0,,
8,La [c][d76500]Capsule Normale[-][/c] peut être utilisée pour recruter une Fille (1 à 5 étoiles). Il vous faut un Jeton de [c][d76500]Capsule Normale[-][/c] !,,,,
9,"Oh ! Regardez, vous en avez un gratuit !\nVenez tirer !",buttoncrop_4,0|0,,
10,,,,,
11,"La [c][d76500]Capsule Avancée[-][/c] peut être utilisée pour recruter une Fille (3 à 5 étoiles). Pour tirer, il vous faut des [c][d76500]Gemmes[-][/c] ou un Jeton de [c][d76500]Capsule Avancée[-][/c] !",,,,
12,"Senpai, regardez ! Vous pouvez aussi tirer un Jeton de Capsule Avancée gratuitement !",buttoncrop_6,0|0,,
13,,,,,
14,,buttoncrop_1,0|0,,
15,"Super~ Maintenant que vous savez comment obtenir des Filles, allons-nous [c][d76500]battre[-][/c] maintenant !",,,,
16,"Senpai ! Ici, vous trouverez la [c][d76500]Campagne[-][/c] !",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
17,"Wow ! Une [c][d76500]bataille[-][/c] est disponible !\nSenpai, allons vite voir !",buttoncrop_17,0|0,,
18,Choisissez vos Filles pour la bataille~,buttoncrop_3,0|0,,
19,,buttoncrop_3,0|0,,
20,Nous sommes prêts !\nAllons nous battre !,buttoncrop_5,0|0,,
21,Chaque Fille appartient à une [c][d76500]Maison[-][/c] et les Maisons ont des [c][d76500]Rivalités[-][/c] ! Appuyez sur l'icône en bas à gauche de l'écran pour en savoir plus~,,,,
22,,friend_team_boss_crop5,0|0,,
23,,,,,
24,,,,,
25,"Senpai, vous avez obtenu des [c][d76500]Fragments[-][/c] !\nAppuyez ici pour les utiliser !",buttoncrop_1,0|0,,
26,"Senpai, ici vous pouvez [c][d76500]invoquer[-][/c] une Fille avec des Fragments !",buttoncrop_38,0|2,,
27,"Si vous avez assez de Fragments, vous pourrez appuyer sur l'avatar de la Fille pour l'invoquer !",,,,
28,,,,,
29,,,,,
30,,,,,
31,Ah ! Vos Filles doivent devenir plus puissantes !,buttoncrop_1,0|0,,
32,"Appuyez ici, et vous entrerez dans le [c][d76500]Campus[-][/c]~",buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
33,"Senpai, essayons de [c][d76500]Transférer[-][/c] une Fille !",buttoncrop_9,0|-1,,
34,"En transférant une Fille, vous obtiendrez du [c][d76500]Jus d'EXP[-][/c]. Le Jus d'EXP peut être utilisé pour augmenter le niveau de vos Filles.",,,,
35,Choisissez la Fille que vous voulez transférer~,buttoncrop_3,0|0,,
36,,buttoncrop_19,0|0,,
37,,,,,
38,"Superbe !\nMaintenant, allez donc [c][d76500]améliorer[-][/c] vos Filles !",buttoncrop_1,0|0,,
39,,buttoncrop_10,0|0,,
40,"Si vous avez assez de Jus d'EXP,\nappuyez ici pour augmenter le niveau de la Fille.",,,,
41,"Wow~ Améliorez donc encore une fois, Senpai~",,,,
42,"Vous apprenez vite !\nContinuez à améliorer, Senpai~",,,,
43,Votre Fille est plus puissante qu'avant ! Vous pouvez encore améliorer !,,,,
