id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"Bienvenue à l'[c][d76500]Académie Yume[-][/c], Senpai !\n\nAujourd'hui est votre premier jour, je vais vous faire visiter le campus !",,,,
2,"Suivez-moi, je vais vous\nprésenter les alentours du campus !",,,,
3,"Senpai, regardez ! Ici, c'est la [c][d76500]Capsule[-][/c].",buttoncrop_1,0|0,,
4,La [c][d76500]Capsule Normale[-][/c] peut être utilisée pour recruter une Fille (1 à 5 étoiles). Il vous faut un Jeton de [c][d76500]Capsule Normale[-][/c] !,,,,
5,"Oh ! Regardez, vous en avez un gratuit !\nVenez tirer !",buttoncrop_4,0|0,,
6,,,,,
7,"La [c][d76500]Capsule Avancée[-][/c] peut être utilisée pour recruter une Fille (3 à 5 étoiles). Pour tirer, il vous faut des [c][d76500]Gemmes[-][/c] ou un Jeton de [c][d76500]Capsule Avancée[-][/c] !",,,,
8,"Senpai, regardez ! Vous pouvez aussi tirer un Jeton de Capsule Avancée gratuitement !",buttoncrop_6,0|0,,
9,,,,,
10,,buttoncrop_1,0|0,,
11,"Super~ Maintenant que vous savez comment obtenir des Filles, allons nous [c][d76500]battre[-][/c] maintenant !",,,,
12,"Senpai ! Ici, vous trouverez la [c][d76500]Campagne[-][/c] !",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
13,"Wow ! Une [c][d76500]bataille[-][/c] est disponible !\nSenpai, allons vite voir !",buttoncrop_17,0|0,,
14,Choisissez vos Filles pour la bataille~,buttoncrop_3,0|0,,
15,,buttoncrop_3,0|0,,
16,Nous sommes prêts !\nAllons nous battre !,buttoncrop_5,0|0,,
17,Chaque Fille appartient à une [c][d76500]Maison[-][/c] et les Maisons ont des [c][d76500]Rivalités[-][/c] ! Appuyez sur l'icône en bas à gauche de l'écran pour en savoir plus~,,,,
18,,buttoncrop_18,0|0,,
19,,,,,
20,,,,,
21,"Senpai, vous avez obtenu des [c][d76500]Fragments[-][/c] !\nAppuyez ici pour les utiliser !",buttoncrop_1,0|0,,
22,"Senpai, ici vous pouvez [c][d76500]invoquer[-][/c] une Fille avec vos Fragments !",buttoncrop_11,0|2,,
23,"Si vous avez assez de Fragments, vous pourrez appuyer sur l'avatar de la Fille pour l'invoquer !",,,,
24,,,,,
25,,,,,
26,,,,,
27,Ah ! Vos Filles doivent devenir plus puissantes !,buttoncrop_1,0|0,,
28,"Appuyez ici, et vous entrerez dans le [c][d76500]Campus[-][/c]~",buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
29,"Senpai, essayons de [c][d76500]Transférer[-][/c] une Fille !",buttoncrop_9,0|-1,,
30,"En transférant une Fille, vous obtiendrez du [c][d76500]Jus d'EXP[-][/c]. Le Jus d'EXP peut être utilisé pour augmenter le niveau de vos Filles.",,,,
31,Choisissez la Fille que vous voulez transférer~,buttoncrop_3,0|0,,
32,,buttoncrop_19,0|0,,
33,,,,,
34,"Superbe !\nMaintenant, allez donc [c][d76500]améliorer[-][/c] vos Filles !",buttoncrop_1,0|0,,
35,,buttoncrop_10,0|0,,
36,"Si vous avez assez de Jus d'EXP,\nappuyez ici pour augmenter le niveau de la Fille.",,,,
37,"Wow~ Améliorez donc encore une fois, Senpai~",,,,
38,"Vous apprenez vite !\nContinuez à améliorer, Senpai~",,,,
39,Votre Fille est plus puissante qu'avant ! Vous pouvez encore améliorer !,,,,
40,C'est maintenant le moment de mettre des [c][d76500]Équipements[-][/c].,buttoncrop_11,0|0,,
41,Appuyez ici pour choisir un Équipement pour votre Fille.,buttoncrop_12,0|0,,
42,,,,,
43,,,,,
44,Génial !\nVotre Fille est devenue beaucoup plus forte qu'avant !,,,,
45,,buttoncrop_13,0|0,,
46,,buttoncrop_1,0|0,,
