id,title,name,dialog,select_text
1,1-1a,???,La Cérémonie d'Ouverture commence ! Bonjour à toutes et à tous !,
2,,???,Bienvenue à l'unique Académie Yume !,
1000001,,???,Je suis votre Senpai——|Je suis votre Senpai——*,
3,,*,Vous allez commencer une nouvelle aventure avec les Filles dans cette université fantastique !,
4,,*,"... Toutes les nouvelles Filles sont super adorables comme toujours. En tant qu'unique et suprême Senpai sur le campus, cela me fait très plaisir.",
5,,,Tout devint noir et je fus frappé par quelqu'un...,
6,,*,Aïe ! J'ai mal...,
7,,Michael,"Senpai, sois plus sérieux.",
8,,Michael,Bonjour à tous ! Je suis Michael. Bienvenue à l'Académie Yume !,
9,,Michael,Je suis ici pour vous aider à vous adapter à votre nouvelle vie sur le campus. Cela inclut vous enseigner à combattre.,
10,,*,"Aïe ! Ça fait mal, Michael !... Après la cérémonie, allez au terrain de sport et préparez-vous pour l'examen de division des maisons. Cet examen décidera de votre futur ici.",
11,,*,J'ai hâte d'apprendre à vous connaître un peu plus ! J'espère que vous aimerez votre nouvelle vie sur le Campus de Yume !,
12,,,"Tout devint noir, et je me fis attaquer une nouvelle fois...",
13,,*,"Hmmm, qu'est-ce qu'il vient de se passer ?… \nOù suis-je ?... Je ?... Je suis...",
14,,Michael,Veuillez tous ignorer cette personne...,
15,,,Beaucoup d'élèves commencèrent à partir tout en faisant beaucoup de commentaires.,
16,,Aquaris,Quoi ?! Un test le premier jour ?!,
17,,Aquaris,"Même si je ne suis pas prête, je ne laisserai rien tomber ! C'est parti !",
18,,Aquaris,... Je suis perdue !,
19,,Aquaris,"Bonjour, sais-tu où se trouve le terrain de sport ? (tapote doucement l'épaule de l'étudiante devant elle)",
20,,Iron Fist,Ah !!! Ne me touche pas par derrière !!! (Elle balança sa prothèse de bras),
21,,Aquaris,Qu'est-ce que tu fais ?!,
22,,Aquaris,Il y a des gens devant ! C'est dangereux !,
23,,*,Quoi ?! Ah !!!,
24,1-2a,,A l'instant——,
25,,*,Je ne sais pas comment ce test va se passer... Allons voir tout de même... (En arrivant au coin du bâtiment d'enseignement),
26,,Aquaris,Il y a des gens devant ! C'est dangereux !,
27,,*,Quoi ?! Ah !!!,
28,,Iron Fist,"Ah !!! (Ne pouvant pas s'arrêter, elle renversa la personne par terre)",
