id,name,desc
1,Coup au Cœur,"Au début de la bataille, tous les ennemis subissent des Dégâts sur la Durée pendant 3 tours. Pendant les tours où les ennemis subissent des Dégâts sur la Durée (Saignement, Empoisonnement et Brûlure), les autres dégâts que ces ennemis subiront seront augmentés de 25%."
2,Stimulation Potentielle,Augmente de 25% les Critiques et de 25% les Dégâts Critiques de toutes vos Filles.
3,Le Chemin de Shura,"Lorsqu'une de vos Filles est attaquée, elle a 75% de chance de contre-attaquer, infligeant 100% des dégâts à l'attaquant (attaque inesquivable)."
4,Épée du Vétéran,Augmente de 5% l'Attaque de toutes vos Filles pour chaque combat gagné (cumulable).
5,Lumière Céleste,"Au début de la bataille, l'alliée ayant le moins de PV récupère 40% de ses PV Max."
6,Éclat Divin,"Au début de la bataille, les 2 alliées ayant le moins de PV récupèrent 20% de leurs PV Max."
7,Croissance,Augmente de 20% les PV Max de toutes vos Filles.
8,Épuisement,"À chaque fois qu'un ennemi est vaincu, l'alliée qui l'a vaincu récupère 100 d'Énergies et les Dégâts des Compétences de toutes vos Filles seront augmentés de 100%."
9,Double Lame,"Augmente de 100% les dégâts infligés par l'Attaque Basique de toutes vos Filles. Lorsqu'une alliée lance son Attaque Basique, elle a 50% de chance de lancer son Attaque Basique une seconde fois."
10,Tempête Nuageuse,"Les Soins Reçus par vos Filles seront augmentés de 25%. Les Soins Reçus par tous les ennemis seront réduits de 75%. Lorsqu'une Fille est soignée, l'ennemi ayant le plus de PV subira des dégâts équivalent à 5% de ses PV Max (80 000 de dégâts au maximum, attaque inesquivable)."
11,Braise Ardente,"Au début de la bataille, augmente de 60% les dégâts subis par un ennemi aléatoire pendant 4 tours. Si cet ennemi est vaincu en 4 tours, cet effet sera aléatoirement transféré à un autre ennemi."
12,Coup Faible,La Rivalité des Maisons permet d'augmenter de 60% les dégâts infligés aux ennemis.
13,Pierre de Vie,Les 3 alliées ayant le moins de PV récupèrent 50% de leurs PV Max.
14,Résurrection,"Une de vos alliées vaincues a 100% de chance de ressusciter avec 100% de ses PV (si aucune alliée n'est vaincue, l'alliée ayant le moins de PV récupèrera 100% de ses PV)."
15,Immunisation,Augmente de 40% l'Immunité de toutes vos Filles.
16,Bouclier Intrépide,Augmente de 30% le Blocage de toutes vos Filles.
17,Assaut de Folie,Augmente de 25% l'Armure et de 100% la récupération d'Énergie de vos Filles de la ligne avant.
18,Frappe Précise,Augmente de 60% la Précision et de 30% la Pénétration d'Armure de vos Filles de la ligne arrière.
19,Chaîne Mystère,Augmente de 60% les Chances de Contrôle de toutes vos Filles.
20,Guerrier Indomptable,Augmente de 20% la Résistance aux Dégâts sur la Durée de toutes vos Filles.
21,Adrénaline,"Après qu'une alliée ait lancé sa Compétence Active, elle a 25% de chance de lancer sa Compétence Active une seconde fois."
22,Rituel Démoniaque,"Au début de la bataille, vos Filles ont 90% de PV et 200 d'Énergies."
23,Vol de vie,"Lorsqu'une alliée inflige des dégâts, elle récupère des PV équivalent à 15% des dégâts infligés."
24,Bénédiction,"Toutes vos Filles s'immunisent à un Coup Mortel (cumulable, déclenchable une seule fois durant la bataille)."
