id,desc
1,Mettez Saint comme Fond d'Ecran
2,Fabriquez 20 équipements aléatoire
3,Augmentez Saint au Niv.40
4,Dépensez 50K Pièces
5,Augmentez la Faveur de Saint à 40
6,Dépensez aléatoirement 500 Gemmes
7,Augmentez Saint au Niv.80
8,Augmentez la Faveur de Saint à 80
9,Augmentez Saint au Niv.100
10,Augmentez la Faveur de Saint à 100
11,Mettez Sonya comme Fond d'Ecran
12,Augmentez Sonya au Niv.40
13,Augmentez la Faveur de Sonya à 80
14,Augmentez Sonya au Niv.100
15,Augmentez la Faveur de Sonya à 100
16,Mettez Dracula comme Fond d'Ecran
17,Fabriquez 20 équipements aléatoire
18,Augmentez Dracula au Niv.40
19,Dépensez 50K Pièces
20,Augmentez la Faveur de Dracula à 40
21,Dépensez aléatoirement 500 Gemmes
22,Augmentez Dracula au Niv.80
23,Augmentez la Faveur de Dracula à 80
24,Augmentez Dracula au Niv.100
25,Augmentez la Faveur de Dracula à 100
26,Mettez Iron Fist comme Fond d'Ecran
27,Fabriquez 20 équipements aléatoire
28,Augmentez Iron Fist au Niv.40
29,Augmentez la Faveur d'Iron Fist à 10
30,Utilisez 15 Paquet Cadeau
31,Augmentez la Faveur d'Iron Fist à 30
32,Utilisez 70 Fragments de Cadeau
33,Augmentez la Faveur d'Iron Fist à 50
34,Augmentez Iron Fist au Niv.100
35,Augmentez la Faveur d'Iron Fist à 80
36,Mettez Elfe Bourgeon en Fond d'Ecran
37,Augmentez Elfe Bourgeon au Niv.40
38,Augmentez la Faveur d'Elfe Bourgeon à 30
39,Utilisez 15 Paquet Cadeau
40,Augmentez la Faveur d'Elfe Bourgeon à 60
41,Mettez Gabriel comme Fond d'Ecran
42,Augmentez Gabriel au Niv.40
43,Augmentez la Faveur de Gabriel à 40
44,Dépensez aléatoirement 500 Gemmes
45,Augmentez la Faveur de Gabriel à 80
46,Mettez Aquaris comme Fond d'Ecran
47,Utilisez 15 Paquet Cadeau
48,Augmentez Aquaris au Niv.40
49,Fabriquez 40 équipements aléatoire
50,Augmentez la Faveur d'Aquaris à 40
