id,fort_name,fort_name2,name,description,skill
1,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,La lumière de la lune éclaire la voie,Quand les forces principales de Yume se battent durement contre les forces du chaos.\nIl existe une unité secrète prennant des risques considérables afin d'infiltrer le territoire ennemi afin de rapporter des informations à leurs alliés.\nCette unité est sous le commandement d'Ithil.,Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
2,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Magie agréable,"Dans la vie quotidienne, l'ensemble de servante d'Ithil est comme son armure, cet ensemble la protège des nuisances du monde extérieur.\nElle a toujours enduré cette souffrance sans jamais parler à qui que ce soit des troubles que lui procure sa capacité.\nCependant quelqu'un a ressenti sa douleur ce jour-là.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
3,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Plan d'avenir,"La guerre est sur le point de s'achever. Mais Valeera et Ithil ne baisse pour autant pas la garde, trouvant la victoire un peu trop facile. \nElles discutent cependant de leurs plans pour l'après-guerre.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
4,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Étrange,"Ce fut une autre mission difficile, mais Ithil a déjà connu des dangers bien pires. \nD'autant plus qu'une chose l'inquiétait bien plus que la mission en elle-même.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
5,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Graine perturbée,"Après avoir appris la vérité sur l'étrange pouvoir du Chaos concernant Jacob, \nIthil a décidé de garder le secret dû à sa compassion. Mais elle se méfie toujours de cette menace.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
6,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,La guerre est terminée ?,"Après avoir pris le contrôle de la dernière base ennemie, tout le monde pense que la guerre est enfin terminée.\nMais avant qu'Ithil n'ait le temps de se reposer...",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
7,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Lucioles,"Après avoir payé un lourd tribut, Ithil est de retour à la base. \nMais il est déjà trop tard.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
8,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Nouvelle ère,"Bien que choqué par le fait cruel, Ithil savait que ce n'était pas le bon moment pour faire son deuil. Elle devait continuer ce qu'elle avait à faire. C'est pour cette raison qu'elle accepta l'offre du Li, elle devait commencer une nouvelle ère.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
9,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Voyage,"Après avoir tout terminé, Ithil était toujours inquiète pour l'avenir. Elle prit donc la décision de protéger l'Académie contre les menaces cachées.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
10,Défi de Vitesse Ithil\n Sous la lune,Défi de Vitesse Ithil Sous la lune,Lucioles sous la lune,"Après un siècle, Ithil est enfin de retour à Yume.",Chaque tour avant votre première attaque normale\nles ennemis ne sont plus affectés par les dégâts sur la durée.
