unknown_1,unknown_2,1
11001,1,1
11002,1,1
11003,1,1
12001,1,1
12002,1,1
12003,1,1
13001,1,1
13002,1,
13003,1,1
14001,1,1
14002,1,1
14003,1,1
21001,1,1
21002,1,1
21003,1,1
21004,1,1
22001,1,1
22002,1,1
22003,1,1
22004,1,1
23001,1,1
23002,1,1
23003,1,
23004,1,1
24001,1,1
24002,1,1
24003,1,1
24004,1,1
31001,1,1
31002,1,1
31003,1,1
31004,1,1
31005,1,1
32001,1,1
32002,1,
32003,1,1
32004,1,1
32005,1,
33001,1,1
33002,1,1
33003,1,1
33004,1,1
33005,1,
34001,1,1
34002,1,1
34003,1,1
34004,1,1
34005,1,1
35001,1,1
36001,1,1
41001,1,1
41002,1,1
41003,1,1
41004,1,1
41005,1,1
41006,1,1
41007,1,1
41008,1,1
42001,1,1
42002,111,1
42003,1,1
42004,1,1
42005,1,1
42006,1,1
42007,1,1
42008,1,111
43001,11,1
43002,1,1
43003,1,1
43004,1,1
43005,1,1
43006,1,1
43007,1,1
43008,1,1
44001,1,1
44002,1,1
44003,111,1
44004,1,1
44005,1,1
44006,1,1
44007,1,11
44008,1,1
45001,1,1
45002,1,1
45003,11,1
46001,1,1
46002,1,1
46003,1,1
51001,1,1
51002,1,1
51003,1,1
51004,1,
51005,1,1
51006,1,1
51007,1,1
51008,1,1
51009,1,111
51010,1,1
52001,1,1
52002,1,1
52003,1,1
52004,1,1
52005,1,1
52006,1,1
52007,1,1
52008,1,1
52009,1,1
52010,1,111
53001,1,1
53002,11,1
53003,1,1
53004,1,1
53005,1,
53006,111,1
53007,1,1
53008,1,
53009,1,
53010,1,1
53011,1,1
54001,1,1
54002,1,1
54003,111,1
54004,1,111
54005,1,11
54006,1,1
54007,1,1
54008,1,1
54009,1,1
54010,1,1
55001,1,1
55002,1,1
55003,1,1
55004,1,1
55005,1,
56001,1,1
56002,1,
56003,1,
56004,1,1
111001,1,1
112001,11,1
112002,1,1
113001,1,1
121002,1,1
123001,1,1
123002,1,1
123003,1,1
135001,1,1
136001,1,1
145001,1,1
146001,1,1
541001,1,1
541002,1,1
541003,1,1
541004,1,1
541005,1,1
541006,1,1
541007,1,1
541008,1,1
542001,1,1
542002,1,11
542003,1,1
542004,1,11
542005,1,1
542006,1,1
542007,1,1
542008,1,1
543001,1,1
543002,1,1
543003,1,1
543004,1,1
543005,1,1
543006,1,1
543007,1,1
543008,1,1
544001,1,1
544002,1,1
544003,1,1
544004,1,1
544005,1,1
544006,1,1
544007,1,1
544008,1,1
545001,1,1
545002,1,1
545003,1,1
546001,1,1
546002,1,1
546003,1,1
651001,1,1
651002,1,1
651003,1,
651004,1,1
651005,1,1
651006,111,11111
651007,1,1
651008,1,1
651009,1,1
651010,1,1
651011,1,1
651012,1,1
651013,1,1
651014,111,1
651015,1,1
651016,1,1
651017,1,1
652001,1,1
652002,1,111
652003,1,1
652004,1,
652005,111,1
652006,1,
652007,1,
652008,1,1
652009,1,1
652010,1,1
652011,111,1
652012,1,111
652013,11,1
652014,1,1
652015,1,1
652016,1,1
652017,1,1
653001,1,1
653002,1,1
653003,111,1
653004,11,1
653005,1,1
653006,1,1
653011,1,1
653012,1,1
653013,1,1
653014,1,1
653015,1,1
653016,1,1
653017,1,1
654011,1,1
654012,1,1
654013,1,1
654014,1,1
654015,1,111
654016,1111,1
654017,1,1
655011,1,1
655012,1,1
655013,1,
655014,1,1
656011,1,
656012,1,1
656013,1,
656014,1,1
751001,1,1
751002,1,
751003,111,11
751004,1,1
751005,1,1
751006,1,1
751007,1,1
751008,1,1
751009,1,11
751010,1,1
752001,1,111
752002,1,1
752003,1,1
752004,1,1
752005,1,1
752006,1,1
752007,1,1
752008,1,1
752009,1,1
752010,1,1
753001,1,1
753002,1,
753003,1,1
753004,1,
753005,1,
753006,1,1
753007,1,1
753008,1,1
753009,1,1
753010,1,1
754001,1,1
754002,1,1
754003,1,1
754004,1,1
754005,1,1
754006,1,1
754007,1,1
754008,1,1
754009,1,1
754010,1,111
755001,1,1
755002,1,1
755003,1,
755004,1,1
756001,1,1
756002,1,
756003,1,
756004,111,1
1000001,1,1
1000002,1,1
1000003,1,1
1000004,1,1
1000005,1,1
1000006,1,1111
1000007,1,1
1000008,1,111
1000009,1,1
1000010,111,1
1000011,1,1
1000012,1,1
1000013,1,1
1000014,1,1
52011,1,1
652018,1,1
752011,1,1
