id,title,name,dialog,select_text
1,Domination du Campus,,"Dans les jeux de cartes, Gambler a confiance en sa propre chance.",
2,,,"Même lorsqu'elle a un désavantage, ou qu'elle joue contre un puissant adversaire, ou contre plusieurs adversaires ou bien même encore contre des tricheurs...",
3,,,Gambler sera toujours capable de piocher la carte dont elle a besoin au moment critique et obtenir la victoire...,
4,,,"Que ce soit la victoire, le pouvoir, un marché... Gambler a tout gagné en jouant au carte. Elle est vraiment la Reine de la Chance.",
5,,,Tout comme aujourd'hui：\nLe club de carte a une nouvelle challenger.\nCette personne ne sera qu'un pas de plus pour Gambler vers sa domination.,
6,,Gambler,A mon tour... Une paire.,
7,,Gambler,(J'ai presque déjà toutes les cartes dont j'ai besoin en main. Il ne m'en manque qu'une et j'obtiendrais la victoire !),
8,,Gambler,"(Quel noob, je ne sais même pas la raison pour laquelle elle a voulu me défier...)",
9,,Saint,"C'est mon tour, non ?",
10,,Saint,Ok～ Je pioche～～\nOh... Cette carte... Ce n'est pas celle dont tu as besoin ?,
11,,Gambler,(Quoi ?!),
12,,Saint,"Et maintenant, prends ça !",
13,,Saint,"Gambler, voyons-voir ce dont tu es capable !",
14,,,Gambler est la 11ème présidente de club a avoir été vaincu par Saint devenant ainsi un pion sur la route de la domination du campus de Saint～,
15,,Gambler,"J'ai... J'ai perdu.\nSaint, j'accepte les consèquences de cette défaite, mais ne rends pas les choses difficiles aux membres du club.",
16,,Saint,Tu t'es battue avec honneur...,
17,,Saint,"Est-ce que tu veux me suivre ?\nIl y a encore beaucoup de clubs que je dois conquérir, mais en étant seule cela nécessite beaucoup de temps...",
18,,Gambler,Tu veux dire que... Tu veux unifier le campus et terminer le Chaos ?,
19,,Saint,Hahaha... Tu peux voir ça comme ça !,
20,,,"Il n'y a pas longtemps, l'Académie Yume était un lieu de conflit.",
21,,,"Les groupes étaient divisés, un despot est monté au pouvoir, les gens se regardaient avec haine et dégout. Des conflits sans fin et le chaos... Les années durèrent... Jusqu'au jour où une nouvelle élève arriva au campus.",
22,,,"Sortie de nulle part, elle vint pour amener la paix.",
23,,,Saint était derminée à devenir la championne du campus !,
24,Comité de Discipline,,Elle vaincu beaucoup de guildes.\nL'ambiance règnant dans le campus changea également.,
25,,,Les gens souriaient de nouveau dans l'académie.,
26,,,Ces changements attirèrent l'attetion d'une large organisation：\nLe Comité de Discipline.,
27,,Michael,"Nous te donnons les ressources et l'autorité du comité,\nTon devoir est de combattre le Chaos. Nous partageons le même but que toi.",
28,,Saint,Je suis armé jusqu'au dent et vous voudriez me contrôler... ?,
29,,Saint,"Mon objectif est de dominer, mais vous voudriez m'utiliser comme un soldat ?",
30,,Michael,Toi !,
31,,Michael,"Si tu continues comme cela, quelle sera la différence entre toi et les guildes actuelles ?\nTu veux juste devenir la seconde Succuba !",
32,,Saint,Comment oses-tu !!,
33,,Joan,Ecoute...,
34,,Joan,Le Comité ne fait pas souvent ce genre d'offre... La guilde de Succuba ne ferait jamais cela.,
35,,Saint,！？,
36,,Saint,... Qui es-tu ?,
37,,Joan,Je suis Joan. Je ne suis qu'une membre du Comité.,
38,,Saint,……,
39,,Saint,... J'y réfléchirais.,
40,,Gambler,Président ?,
41,,Michael,"Tu es digne de toi-même, Saint ! Nous pourrons reparler demain de la façon de collaborer.",
42,,Michael,"Je suis pressée de te voir en action, Saint !",
43,,Michael,"Comité de Discipline, allons-y !",
44,,Joan,"Chef, oui chef !",
45,,Joan,"Au revoir, Saint～",
46,,Saint,……,
47,,Gambler,"Saint, qu'est-ce qu'il vient de... ?",
48,,Saint,(Pourquoi est-ce que j'ai ce genre de sensation quand je la vois... ?),
49,,Saint,(Qui est réellement cette Joan ?),
50,Code：Pain aux Nouilles Sautées,,"Après avoir rejoint le Comité de Discipline, Saint obtint plus de pouvoirs et de privilèges.",
51,,,"Bien que les Senpais n'étaient pas vraiment d'accord avec sa façon de rompre avec les traditions, mais ces actions parlaient plus que des mots：La plupart des guildes ont été réorganisés sous son contrôle.",
52,,,Mais il y avait toujours une guilde qu'elle était incapable de vaincre. La plus secrète et difficile de toutes：\nLa Guilde de Succuba,
53,,Saint,"Etes-vous prêtes ?\nJe ne me répéterai pas ! Qu'avons-nous ici, Gambler ?",
54,,Gambler,Plus de 30% des ventes illicites de Pain aux Nouilles Sautées du campus sont faites ici.,
55,,Gambler,"Grace au réseau de distribution de nourriture, Succuba a accès à toutes les informations du campus.",
56,,Saint,"Vous êtes donc certaines que je n'ai pas besoin de me répéter, si ?",
57,,Comité de Discipline,"Chef, oui chef !",
58,,Joan,"Attends, Saint ! Nous devrions attendre le signal de Michael...",
59,,Saint,Nous ne pouvons pas nous permettre de perdre du temps... Allez-y ! Prenez le Marché !\nAgissez vite ! Succuba ne nous attendra surement pas !,
60,,Joan,Comité de Discipline ! Tout le monde au sol !,
61,,Guilde de Succuba,Non ! Ce n'est pas possible... !,
62,,Comité de Discipline,Allez-y ! Allez-y ! Allez-y !,
63,,Guilde de Succuba,Ah !!!,
64,,Saint,Arrêtez-les !,
65,,,Plus tard le même jour.,
66,,Michael,SAINT !!!,
