id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,false_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
11001,Skarivine,"Aller tout droit, tourner, accélérer, ralentir… Je sais tout faire sur mes skis ! Maître, allons skier ensemble",Skier est super amusant ! N'avoir jamais skier de sa vie doit être si ennuyeux !,Youhou ! Je skie plus vite que le vent !,"Plus vite, plus vite ! AVALANCHE ! Faisons une course avec l'avalanche !","Je vais devant, essaie de me rattraper !",Quel super hiver ! Tout le monde peut commencer à skier !,Y a t'il quelque chose d'amusant ?,Bénédiction de la Neige !,Arisa Aihara,"Qui aime ce genre de chose, stupide~",C'est un cadeau pour moi ? Merci ! Met ça là-bas et viens skier avec moi !,"J'ai vu que tu avais ça quand j'étais en train de skier. C'est pour moi ? Merci, j'adore !","Par la montagne, nos destins sont liés !","Reviens, Senpai !","Merci beaucoup, senpai !",Je peux toujours compter sur mes skis !,填充,填充,"La prochaine fois que tu changes ton équipement, est-ce que tu pourras également me donner un snowboard ?",Skier avec cet équipement ? C'est une toute nouvelle expérience !,Tu veux que je t'apprenne à skier ? Tu ne le regretteras pas !,"Ne reste pas dans ta chambre, viens skier avec moi !",Viens vite voir les nouveaux skis que j'ai acheté !,Tu dois être fatigué après le sport~ Repose toi un instant.,Tu veux aller faire un job d'hiver ? On pourra s'acheter des skis au moins !,N'oublie pas de collecter tes récompenses !,"Quand tu seras sur les pistes de ski, n'oublie pas de suivre les news du campus !",Détends-toi ! Tout va bien !,Pfff... si je n'avais pas glissé...,填充,填充,填充,填充
11002,Cayla,"Je peux dormir sur tes jambes ? Je suis vraiment fatiguée et je n'ai pas de lit… Dormir comme ça c'est super confortable... Maître, j'peux dormir toute ma vie sur tes jambes ?","Je suis fatiguée, c'est déjà le matin ? Quoi ? C'est l'après-midi ?","Dors, dors, va dormir !",Réveille moi pour le déjeuner !,"Le lit, la couverture et les coussins font partis de mon corps~","Souris... Je crois avoir entendu ça quelque part... Peu importe, je retourne dormir.",Je ne peux pas ouvrir mes yeux...,Je suis trop fatiguée !,Hanazawa Kana,Non... laisse moi encore dormir...,Un cadeau ? merci... Pose-le là-bas.,"Merci pour ton cadeau~ Il m'aidera à mieux dormir~ Tu peux t'allonger avec moi, dormir tout seul n'est pas amusant !",Je viens juste de réveiller que nous étions en train de nous marier... Ah ? C'est pas un rêve ?!,"Bienvenue, Maître~","Arrête, je n'en peux plus~ ZZZ",Je suis de plus en plus fatiguée...,填充,填充,"Cet équipement est trop rigide, je ne peux même pas l'utiliser comme coussin...","Celui-ci est très mou... Je suis désolée, je m'en suis servie comme coussin~",Laisse moi juste dormir un instant...,Un lit...,ZZZ... ZZZ... Fais comme chez toi.,"Si tu n'as rien, alors laisse moi dormir...","Maître, tu devrais aller travailler, je vais dormir un instant...","Maître, n'oublie pas ta récompense... Je vais encore dormir cinq minutes...",C'est trop bruyant sur le campus... C'est impossible de dormir...,"Ah, j'ai bien mérité de me reposer~",J'ai fait un cauchemar... c'était effrayant...,填充,填充,填充,填充
11003,Vanees,"Je voudrais pouvoir toujours être regarder comme ça, juste moi pour toute la vie.",Tous ceux qui se dressent sur mon chemin doivent mourir ! Tous ! Sans exception !,Tu es la seule personne qui compte pour moi sur cette planète ! Toutes les autres personnes doivent être détruites !,Cette Fille est déjà morte. Elle voulait s'approcher de toi.,Soyons ensemble pour la vie !,"Maître, il suffit que je suis à tes côtés, et personne n'osera te faire du mal !",Je ne laisserais personne te faire du mal,Détruire !,Kawanishi Mai,Je n'ai pas besoin de ça,Un cadeau ? J'espère que tu n'en a pas donné à quelqu'un d'autre,C'est tout pour moi ? Tu es aussi à moi !,Ceux qui ont osés se dresser devant nous... Sont morts !,Tu es enfin de retour~ J'étais inquiète~,Donne le moi ! J'en veux plus !,Laisse moi apporter une lame encore plus grande~,填充,填充,Dis moi que je suis la seule qui le possède ! Je suis la seule n'est-ce pas ?,"Avec cet équipement, personne n'osera plus nous poser de questions !","Maintenant, Senpai m'appartient~ Hahaha~",Je t'attends ici~,Mon Maître ! Tu es enfin de retour !,Oh ! Maître s'est endormi sur mes jambes. Si seulement le temps pouvait s'arrêter !,"Senpai, ne parle pas aux Filles durant le travail~","Senpai, tu n'as pas encore récupéré ta récompense.",Rien ne peut m'interrompre quand je suis avec Senpai ! Même si c'est une urgence !,"Senpai, je mérité une récompense~",Non ! Non ! Ce n'est pas censé finir comme ça…,填充,填充,填充,填充
12001,Maidam,"Maître, voici les habits pour le voyage d'aujourd'hui. Le petit-déj' est aussi prêt. Tiens ta brosse à dent et ton dentifrice. Qu'as-tu encore besoin ?",Maître ! Non... Je n'offre pas de service spéciale...,L'existence de Maidam ne sert qu'à servir le Maître !,"Maître, que devrais-je faire de lui ? Devrais-je rendre sa main inutile ? Ou devrais-je faire de lui un aveugle ?","Si c'est ce que veut le Maître, Maidam le fera !","Je ne suis pas sans volonté, mais le Maître passe en premier.",C'est l'ordre du Maître,Viens ici !,Minase Inori,Maître... Est-ce que tu me déteste vraiment ?,"Maître, n'aurais-tu rien oublié ? Mon cadeau par exemple ?",Ouah ! C'est un superbe cadeau ! C'est pour moi ?,"Maître, si c'est ton désir. Je resterai avec toi pour toujours.",Maître ! C'est vraiment toi ?,Tu devrais donner ces boissons à une Fille qui en a plus besoin que moi~,Si seulement je pouvais faire plus de choses pour toi~,填充,填充,"Je préfère les costumes de servante. Mais si c'est ce que tu veux que je porte, j'essaierai~",Quel costume veux-tu que j'essaie aujourd'hui ?,"Maître, tu veux aller te balader ? Prends moi avec toi.",Tu veux que je nettoie cette pièce ? C'est comme si c'était fait~,"J'ai déjà fini de nettoyer la pièce, que veux-tu que je fasse d'autre ?","Le lit est prêt, si tu es fatigué, tu peux aller t'y reposer~","Senpai, c'est l'heure de Job~ Bien que ce soit correct pour moi de faire le travail pour vous, mais comme vous êtes tellement intéressé par les Jobs, je n'ai pas besoin d'en faire plus~",N'oubliez pas de collecter les récompenses de Job !,"Senpai, quelque chose est en train de se passer sur le campus, je peux t'accompagner si tu veux aller voir.",Cette victoire c'est grâce à toi Senpai !,"Senpai, enfuis-toi ! Je les retiendrai~",填充,填充,填充,填充
12002,Aegis,"Je suis ton bouclier le plus puissant qui te défendra contre toute attaque, mais si c'est ton âme qui se fait attaquer... Je serais impuissante...",Oh ? Tu veux essayer de brise ce bouclier ? Viens et essaye !,L'esprit d'un humain peut être aussi fragile que le verre et aussi dur que l'acier. C'est incroyable !,Les attributs défensifs changent avec les attributs offensifs. Cela fait partie du intégrente de la technologie,Mon bouclier peut me protéger. Mais qui va protéger mon cœur ?,Je protège toujours les autres. Mais qui peut me protéger ?,Bouclier ! Déployé !,Combattez pour protéger !,Kouyama Yuki,C'est pas intéressant !,Un cadeau ? Merci,Oh non... Maître tu as capturé mon cœur...,"Je protégerai tes avants, si tu protèges mes arrières, Maître~","Je suis heureuse de savoir que tu n'as rien, Maître~",... Bouclier dressé~,Mon bouclier doit être amélioré pour les batailles à venir !,填充,填充,Cet habit ne peut sûrement pas me protéger~,Donne moi la meilleure armure que tu as~,Mets toi derrière moi~ C'est mon devoir de te protéger~,Aegis attend les ordres !,"Maître, tu veux voir de l'action ?","C'est vraiment super de rester à tes côtés, maître.","Maître, c'est l'heure de Job.",Vous n'avez pas encore collecter des récompenses de mission.,"L'académie a besoin de ton aide pour résoudre cette crise, je te protégerai quand tu seras prêt.",Personne ne peut me vaincre !,"La protection a cédé, je les bloquerai avec mon corps~",填充,填充,填充,填充
12003,Handana,Maître est-ce qu'il te faut plus de vitamines ? Je peux t'aider avec ça ! Le litchi est très bon cette saison ! Tu en veux ?,Les fruits les plus délicieux ne poussent pas forcément dans les endroits les plus élevés. L'homme non plus. C'est pas vrai ?,"Les myrtilles sont vraiment élégantes. Tu veux goûter ? Mon truc préféré c'est de faire des yaourts. T'en penses quoi, Maître ?","Les pommes sont plus sucrées en hiver. Peut-être que c'est une question d'humeur, mais celles qui sont bien rouges brillantes, sont vraiment les meilleures.",Elles ne sont pas encore mûres. Ne les vole pas ! Le goût n'est pas encore bon...,Il y a quelque chose de particulièrement délicieux dans les fruits que tu as cueiilis toi-même,Choisis un fruit !,Tu veux des durians ?,Satō Azusa,"Clairement, je préfère les nouvelles choses~",Merci ~,"C'est un super cadeau, je l'aime beaucoup, merci Maître","So tu aimes les fruits, tu dois être une bonne personne... C'est vraiment super de pouvoir manger des fruits à tes côtés~","Tu es de retour, Senpai, tu veux manger une pomme ?","Tiens, prends ces fruits en retour~","Quand je serais devenue forte, je pourrais enfin avoir tous les fruits que je veux !",填充,填充,"Il me va à merveille, merci !",Merci de toujours me préparer des nouveaux habits ! Prends ce panier de fruits ! Je les ai choisi moi-même~,Tu veux aller faire un tour avec moi au verger ?,"Maître, c'est vraiment une grande pièce~","Je t'ai préparé une pomme, prends-la~","Repose toi un instant, je vais te laver un fruit~",C'est l'heure d'aller travailler~,N'oublie pas de récupérer ta récompense~,"Il se passe quelque chose sur le campus... Je dois aller protéger mes fruits... Maître, il faut que tu résolves cette situation !",Goûtez à la colère des fruits !,Non non non… mes fruits…,填充,填充,填充,填充
13001,Lin Al,Saut réussi ! Robot voyageur de l'espace numéro C204 de l'an 2036. Entrez-vos instructions !,"Massage ? Désolé, je ne comprend pas cette ordre !","Voyagez dans l'espace ? Désolé, vous n'avez pas ce droit !","Pas assez de batterie, Maître, rechargez-vite.",『Erreur』！『Erreur』！Une erreur est survenu durant l'essai. Réentrer votre ordre !,Je n'ai pas été programmé pour 『Resssentir』. Je ne peux pas faire cela !,Commencement du programme de combat,Procédures d'exécution,Chihara Minori,『Erreur』！『Cadeau』inacceptable !,"『Cadeau』, merci !","[Erreur]! Surchauffe de la température centrale ! Maître, votre [Cadeau] m'apporte une expérience inattendue...","Tous les commandes de mes systèmes sont enregistrés dans ce cristal, je sais l'effort que tu fais, Maître. Je te remercie !","Bien le bonjour, Maître~",Amélioration du système.,Amélioration de la RAM.,填充,填充,Nouveau paramètre installé.,[Erreur] ! Problème d'interface !,Ordre confirmé !,"Objectif atteint, commencement du protocole [Repos].","Bonjour, Maître.","Toutes les missions ont été terminés, demande des nouveaux ordres.","Bip, bip, bip. Nouvel objectif : Job.","Bip, bip, bip. Nouvel alerte du système : Récompense disponible.","Lecture d'énergie instable sur le terrain de sport, requête du lancement du protocole de défense.",Cible éliminée !,"Dommage critique détecté, probabilité de gagner de 1%.",填充,填充,填充,填充
13002,Sorcière,"Hé ! Un bonbon ou un sort ! Maître, si tu ne me donnes pas des bonbons, je vais commencer à faire des bêtises !","Frankeinstein, Dracula, Sorcière, Loup-garou, Zombie, Squelette... Ah ! Demain c'est Halloween ! Ne faites pas de bêtises !",Regardez-tous mon chapeau. Qu'est-ce que vous voulez que j'en fasse sortir ? Je suis capable de tout !,"Si tu as peur, on peut se cacher sous le lit ensemble !","Maître ! J'ai oublié ton cadeau, donc je m'offre à toi !",Tu veux essayer un balai magique ? C'est pas un peu dur de rester en équilibre dessus ?,Viens ! Amusons-nous !,Je viens faire des bêtises !,Matsuura Chie,Pas de bonbon ? Qu'est-ce que tu as en tête ?,Merci pour ton cadeau,"Joyeux Halloween ! C'est toi le meilleur, maître !","Même si j'aime beaucoup Halloween, mais si je pouvais faire un vœu, je voudrais pouvoir entrer dans le cœur de quelqu'un~",Des bonbons ou un sort !,Je veux encore plus de bonbons~,"J'essaie toujours de m'améliorer, même si tout le monde m'ignore !",填充,填充,Je pense que cet arme ne doit pas trop m'être utile...,J'ai besoin d'un nouveau sceptre...,Est-ce que nos ennemis célèbrent également Halloween ?,Je vais cacher tous mes bonbons en dessous du lit~,Tu es enfin venu~ M'as-tu ramené des bonbons aujourd'hui ?,"Même si c'est bizarre de dormir ici, je te souhaite tout de même de faire de beaux rêves~","Je ne peux pas t'aider à travailler, il te faut toi-même faire tes affaires !","Ta récompense du jour, des bonbons ! Haha, je rigole !",N'oublie pas d'aller voir la salle de classe étrange~ Celle qui se situe dans la bâtiment abandonné !,Personne ne peut me battre pendant Halloween~,Aujourd'hui… ça ne doit pas être Halloween…,填充,填充,填充,填充
13003,Stella,"Je comprend ton ressentiment. Une âme aussi boueuse et sale... C'est intéressant. Eh bien, qui veux-tu que je maudisse ?",J'ai hérité du pouvoir de la malédiction de la sorcière... Je détesterai toujours la malédiction de l'humanité.,"Depuis la naissance, je n'ai jamais pu ressentir... La chaleur...",Il faut un certain temps pour que les gens réalisent à quel point la liberté est relaxante,Je n'ai jamais compris pourquoi les humains aiment rester en société... N'y a t'il pas que les faibles qui ont besoin d'aide ?,"Le désert, c'est ma deuxième maison",Tu le ressens ? De la haine profonde !,Je te maudis,Hamaguchi Ayano,Cela réduira le pouvoir de la malédiction...,C'est pour moi ?,"Avec ça, je pourrai enfin te montrer ma puissance~, merci~","Peut-être que je perdrais la force de la haine, mais cela ne me fait pas peur, parce que je sais que je ne suis plus seule.","Reviens, Senpai !","Avec ma haine, ma puissance augmente !",Je continuerai de vivre seule !,填充,填充,Tes désirs sont des ordres.,Reste ici et regarde comment je me bats !,Ce sont eux les cibles ?,"Ferme la porte et la fenêtre, je ne veux pas que ma statue de sable s'envole.","Senpai, qu'est-ce que tu veux encore dire ?","Où est Senpai ? Je ne l'ai pas vu de la journée... Mais c'est pas si mal que ça, je peux enfin me reposer.",Va vite travailler !,"Peut-être que je devrais arrêter de te notifier quand tes récompenses sont prêtes, tu en penses quoi ?",Cela fait longtemps que je n'ai pas ressenti autant de haine sur le campus. Quelque chose doit se passer actuellement !,Le champ de bataille est inondé du sang des perdants !,C'est donc ça la défaite...,填充,填充,填充,填充
14001,Elloi,"Maître, je suis Elloi. Si tu as un problème ou autre, n'hésite pas à venir me voir à l'extérieur",Quel chanceux ! Cette année passera vraiment très vite !,"Elloi, si tu peux, viens au temple me voir !",L'Amulette de l'Amour ? L'Amulette de la Fortune ? ou l'Amulette de la Santé ? Peu importe... Je prend !,"Tant que nous prions du fond du cœur, tout ira bien pour nous","Maintenant qu'est-ce qu'elle nous prépare encore ? Etant seule dans ce sanctuaire, elle me manque aussi un peu.",Je prédis que je vais gagner !,Regardons ton avenir !,Murata Haruka,Comment peux-tu...,Ce cadeau est pour moi ? Merci.,"Merci pour ton cadeau, tu veux que je te fasses une prédiction ?",Accepterais-tu que je reste à tes côtés toute ta vie ?,"Tu es de retour, aujourd'hui est un bon jour~",Demain aussi sera un jour favorable~,Je comprends mieux~,填充,填充,Ces habits me vont comme un gant~,N'oublie pas de porter ce talisman~,"Même s'il n'y a aucun problème, ce n'est pas une raison d'en chercher~",Il ne manque qu'un service à thé dans le dortoir...,"Tu as l'air vraiment pressé, tu as quelque chose à me demander ?","Hmm, il est très difficile de réfléchir dans les situations les plus pressantes ! Ah ? Tu t'es endormi ?",Ne dois-tu pas aller travailler aujourd'hui ?,Il est impossible de réveiller quelqu'un faisant semblant de dormir.,"C'est très bruyant à l'extérieur, est-ce que Prêtresse est de retour ? Allons voir~",Tout a marché comme sur des roulettes~,"Aujourd'hui j'admets ma défaite, je me vengerai la prochaine fois !",填充,填充,填充,填充
