id,title,text
1,Chat rebelle,"On dit souvent qu'un chat est un animal fier, cependant essayer d'expliquer l’attitude de ce chat à grosse queue est un vrai casse-tête. Psychic le rencontra pour la première fois dans la forêt. Il sortait d'une bataille féroce, elle fut forcée de lui donner un grand nombre de Biscuit de Serviteur pour le remettre sur pieds. Elle le ramena ensuite à l'Académie et l'appela ""Chasseur"". Psychic espérait à l'origine que Chasseur pourrait s'intégrer à la vie du Campus comme les autres Serviteur et aider les étudiants à se former. Cependant, peu de temps après, lorsqu'elle et Bruno sortirent une nouvelle fois du Club des Droits des Animaux couverts de brûlures et d'égratignures, elle jeta l'éponge. «Je n'en peux plus !» cria Psychic, qui avait toujours été patiente, pleurant impuissante. Contre toute attente, Chasseur s'intégra finalement à l'Académie à sa manière - son apparence (apparemment) mignonne rendait les étudiants tolérants envers lui, et la plupart des gens qui n'aimaient pas son apparence faisaient la connaissance avec ses griffes qui baignaient dans les flammes. Bien qu'il continue à poser des problèmes de temps en temps, heureusement pour l'Académie, il ne semble pas gêné à apporter son aide lorsque cela est nécessaire… s'il est de bonne humeur."
2,Maître du Campus ?,"Si vous faites un sondage à l'Académie concernant ""la vie la plus envieuse"", au moins neuf personnes sur dix répondront ""Chasseur"". La silhouette de Chasseur peut apparaître n'importe où dans dans le Campus, sur les arbres, les murs, dans les salles de classe, sur la cour de récréation et en plus de cela, la plupart du temps, il est toujours en train de dormir tranquillement. Lorsque les étudiants travaillent dur avec des livres dans la salle de classe ou s'entraînent dur sur la cour de récréation, il n'est pas difficile d'imaginer la jalousie dans leur cœur lorsqu'ils voient Chasseur dormir majestueusement sur le côté. De plus, les rares fois où Chasseur est réveillé, il se ballade inlassablement dans les recoins de l'Académie, scrutant avec détails tous ceux qu'il rencontre, et de temps en temps il hoche légèrement la tête comme s'il donnait sa permission pour passer, comme s'il était en patrouille sur son territoire… Quel est son problème ? Ne penserait-il pas qu'il est le maître de l'école ?"
3,Patience du chasseur,"Un jour, Psychic épuisa de tous les moyens possibles pour réussir à persuader Chasseur d'accepter de passer un examen médical. Il ne s'agissait à l'origine que d'un examen physique de routine, cependant Psychic a été surprise par les résultats de l'examen physique. Bien que le corps de Chasseur n'a aucun problème physique, son pouvoir magique est extrêmement faible, peut-être que cela est dû au faut qu'il dorme toute la journée. Psychic échoua à découvrir la raison exacte et cela malgré les diverses méthodes de restauration du pouvoir magique employées. Quel serait l'impact de la perte complète de son pouvoir magique ? Peut-être que Chasseur ne pourrait plus utiliser de flammes, ou cela pourrait provoquer des conséquences plus graves. En regardant son apparence détendu, est-ce qu'il ignore son état actuel ou fait-il semblant d'être détendu ?"
4,"""Traître""","Chasseur naquit dans un tunnel sombre, creusant un sol dur depuis son plus jeune âge, à la recherche de la moindre nourriture rampante qu'il pouvait trouver. Tout en cherchant de quoi se nourrir, il devait toujours être attentif aux mouvements environnant et se méfier des créatures du Chaos. Sa race menaient cette vie depuis longtemps, mais étonnamment, Chasseur savait que leur vie auparavant n'était pas comme cela. Autrefois, ils faisaient la navette à travers les bois, jouaient dans les ruisseaux et adoraient les dieux de la chasse et des flammes. Cependant, en voyant ses compatriotes tomber les uns après les autres dans la lutte contre les créatures du Chaos, il savait que s'ils ne trouvaient pas d'autre issue, ils finiraient par être enterrés dans ces tunnels souterrains. Chasseur choisit donc de partir et alla trouver un endroit paisible où l'ethnie pourrait vivre. Ses compatriotes, ainsi que la fille qui brandissait les faucilles jumelles, le considéraient comme un «traître» parce qu'il avait fui la guerre sacrée. Mais lors de son départ, il s'était préparer à endurer la notoriété de «traître»."
5,Réveil,"L'entrepôt souterrain sombre et profond de l'Académie Yume est comme la mémoire des gens: dans tous les coins sont entassés des objets abandonnés pour diverses raisons. Lors d'un inventaire de l'entrepôt, une étudiante du département technique trouva Rojibo, rouillé et brisé. De tels produits métalliques ne sont pas inhabituels dans l'entrepôt, mais l'étudiante ramena Rojibo au dortoir dans le plus grand secret et réussit à le redémarrer de manière inattendue, provoquant ensuite de nombreux problèmes. Après le sermon de trois heures de la présidente Michael, l’étudiante révéla que Rojibo lui avait envoyé un signal de détresse et lui avait même donné des instructions sur la façon de terminer l’opération de redémarrage. Si tout cela est vrai, cela signifie que rien de tout cela n'est arrivé par hasard."
6,Évolution,"Après son redémarrage, Rojibo devint le sujet de recherche le plus populaire dans le département technique. Au début de la recherche, ils furent surpris de constater que la technologie utilisée dans le corps de Rojibo était complètement différente de celle de Yume. Au fur et à mesure que les recherches se poursuivaient, des choses plus bizarres se produisirent. Rojibo commença à corriger ses données erronées de manière autonome et se développa rapidement. De nouveaux programmes apparurent dans sa mémoire chaque jour. Et tout cela donna naissance à une machine qui peut grandir d'elle-même. Lorsque les membres du service technique assistèrent à cette scène, ils se regardèrent bouches bées pendant longtemps. C'était une technologie bien au-delà de leur compréhension qui pouvait peut-être considérée comme de la magie. Malheureusement, la plupart des membres du département technique provenaient de la Maison Monstre et peu d'entre eux maîtrisaient la magie."
7,L'ambition de Ruben,"Pendant la guerre de Cent Ans, Rojibo vivait près de la forêt de Yume et a été retrouvé par les Forces Unies de Yume. Après cela, Ruben mena des recherches sur Rojibo, grâce auxquelles elle en apprit plus sur cette technologie mystérieuse. Grâce à cela, elle accéda à un domaine d'exploration et de connaissances illimité, ce qui lui permit de faire de nombreuses inventions inimaginables et puissantes. Elle les abandonna finalement toutes et décida de quitter l'Académie pour en découvrir plus sur l'origine de cette technologie mystérieuse."
8,Ciel lointain,"""Froid."" Ce fut le premier mot compréhensible de Rojibo, ""Il fait si froid, si sombre."" Mais l'environnement dans la pièce à ce moment-là était loin d'être froid, encore moins sombre. Au final, les étudiants du département technique ne surent jamais si la température et la luminosité avaient un quelconque effet sur Rojibo. \nRojibo levait souvent les yeux vers le ciel, les nuages ​​dans le ciel brillaient du même blanc que lui. À l'âge des dieux, il y avait des gens qui croyaient en un pilier de géant blanc flottant au-dessus des nuages. Les gens l'appellaient «la baleine blanche dans la mer des nuages», «le seigneur du sommet des nuages» ou «le nuage d'acier qui obscurcit le soleil». Peut-être que la raison pour laquelle Rojibo observait le ciel était que les machines avaient aussi leurs propres dieux."
9,Incruste,"La plupart des étudiants de l'Académie Yume peuvent percevoir les flux de magie, mais certains ont plus de facilités que d'autres. Un jour, un flux anormal de pouvoir magique s'est soudainement produit autour de l'Académie. Il est devenu aussi violent qu'une tempête, laissant un vortex de brume violette durable dans l'air, provoquant des acouphènes, des maux de tête et même des hallucinations. Suite à cela, le ""Ryuko"" apparut soudainement au centre du vortex. Il ne faisait aucun doute que cette créature élancée à deux ailes était directement liée à la turbulence de la magie. Par conséquent, l'Académie décida de la placer sous une protection et une gestion strictes."
10,Mystère non résolu,"Même à l'Académie Yume, Ryuko est l'une des créatures les plus étranges. Après avoir confirmé sa gentillesse et son innoffensivité, l'Académie commença à étudier son écologie. Pour Ryuko, la nourriture ne semble pas être une nécessité, même si elle avalerait volontiers les Biscuits de Serviteur de Psychic, mais c'est probablement juste par gourmandise. D'autre part, Ryuko a montré une excellente capacité de manipulation magique, peut-être qu'elle avait utilisé cette capacité pour provoquer la turbulence magique le jour de son apparition. Cependant, comment est-elle apparue à l'Académie à partir de rien ? Cette question plus importante n'a jusqu'à aujourd'hui jamais reçu de réponse."
11,"""Ryuko""","Le nom ""Ryuko"" est inspiré d'un vieux livre intitulé: ""Invocation basique de l'impermanance"" dont l'auteur est Egret. Dans le passé, les magiciens utilisaient cette créature rapide, mystique et magiquement compétente pour transmettre des informations de séquence magique que seuls les magiciens pouvaient interpréter. Ce moyen de communication très en avance sur son temps et l'extraordinaire capacité des magiciens leur ont permis de former une organisation secrète dirigeant les pays à leur guise et affectant la situation mondiale. Plus tard, avec le développement des technologies de communication scientifiques, les simples mortels avaient obtenu la capacité de répandre leurs messages à des milliers de kilomètres. La fondation des magiciens commença alors à trembler. Cependant, la situation n'évolua pas en conflit car les deux ""technologies"" disparurent avec l'apparition du Chaos."
12,Réponse tardive,"Il y a de nombreux témoignages de l'existence de créatures ressemblant à Ryuko. Les magiciens peuvent signer des contrats avec ces créatures et obtenir leur loyauté contre de l'énergie magique. Mais ce qui est étrange, c'est qu'il n'y a pas de rituel pour annuler l'invocation ou le contrat. D'une manière générale, la bête invoquée ne peut exister indépendamment de l'invocateur. Mais Ryuko est arrivée à l'Académie sortie de nulle part. Peut-être qu'elle a trouvé un moyen d'obtenir de l'énergie magique d'elle-même… ou qu'il y a encore des gens qui continuent de lui en fournir en attendant qu'elle transmette les informations que personne ne peut comprendre actuellement afin d'obtenir des réponses."
