id,desc,boss
1,,Épouvantail Niv.1
2,Débloquer Entraînement Basique IV\nDébloquer Épouvantail Niv.2,Épouvantail Niv.2
3,Débloquer Entraînement Basique V\nDébloquer Épouvantail Niv.3,Épouvantail Niv.3
4,Débloquer Entraînement d'Élite I\nDébloquer Épouvantail Niv.4,Épouvantail Niv.4
5,Débloquer Entraînement d'Élite III\nDébloquer Épouvantail Niv.5,Épouvantail Niv.5
6,Débloquer Entraînement d'Élite V et Entraînement de Maître I\nDébloquer Épouvantail Niv.6,Épouvantail Niv.6
7,Débloquer Entraînement de Maître II\nDébloquer Épouvantail Niv.7,Épouvantail Niv.7
8,Débloquer Entraînement de Maître III\nDébloquer Épouvantail Niv.8,Épouvantail Niv.8
9,Débloquer Entraînement de Maître IV\nDébloquer Épouvantail Niv.9,Épouvantail Niv.9
10,Débloquer Entraînement de Maître V\nDébloquer Épouvantail Niv.10,Épouvantail Niv.10
