id,mission_name
1,Chercher Skarivine
2,Le problème de Psychic
3,Le problème de Kitty
4,Aide Anna
5,La requête de Fleur
6,Chercher Reo
7,Maîtrise Lin Al
8,Le cadeau de Boro
9,Maîtrise Magicien
10,La requête de Litana
11,La requête d'Octagirl
12,La disparition d'Haxie
13,La disparition de Lily
14,La requête de Lavia
15,Le vœu d'Ashely
16,Le vœu de Lavia
17,Le problème d'Elfe Bourgeon
18,Aide Amazon
19,La requête de Lightin
20,La disparition de Susan
21,Chercher Hexa
22,La menace de Medusa
23,Le vœu de Geisha
24,La requête de Toy Girl
25,La disparition de Androi
26,Chercher Phoenix
27,Le vœu de Libraria
28,La vanité de Nani
29,Chercher l'épée de Javelin
30,Le vœu de Succuba
31,Le problème de Caitlyn
32,Le défi de Dracula
33,La requête d'Himoto
34,Chercher Blowie
35,La requête de Guan Yin
36,Le vœu de Silvia
37,La mission de Pandaria
38,Le vœu de Giana
39,Le défi d'Alice
40,Chercher Ennmaya
41,Le vœu de Nani
42,La légende de Scythe
43,La légende d'Amelia
44,La légende de Gabriel
45,La légende de Selene
