id,text
1,Pas du tout satisfait
2,Pas satisfait
3,Normal
4,Assez satisfait
5,Très satisfait
6,Forum de Jeu
7,Facebook
8,Dans l'app store
9,Recommander par un ami/collègue
10,Site de jeu ou autre média
11,Plateforme social comme Line
12,Je ne suis pas intéréssé ou n'aime pas la sous-culture
13,"Je suis plutôt intéréssé par la sous-culture. Je lis surtout, joue et regarde des animés classique, manga et jeux vidéos"
14,J'aime la sous culture. Il y a un genre spécifique que je préfére et je lis beaucoup de ce genre
15,J'aime énormément la sous-culture. Je lis et regarde beaucoup de chose ACG et je m'y connais plus que la plupart des gens. Appelle moi Otaku
16,Jeux sur téléphone
17,Jeu sur PC
18,Jeu sur page internet
19,"Jeu sur console (PS, Xbox, Switch etc.)"
20,Je ne joue pas beaucoup aux jeux
21,Jeu Idle
22,Jeu de Rôle (Fate/Grand Order)
23,Jeu d'action (miHoyo 3)
24,Jeu de stratégie en temps réel (Clash Royal)
25,"Jeu de guerre (Pubg, Fortnite)"
26,MMORPG
27,Jeu de musique ou de rythme
28,Moins de 75
29,76-150
30,151-750
31,751-1500
32,Plus de 1500
33,"Expérience : Le jeu est amusant, et l'expérience de jeu est sympa"
34,"Collecter：Collecter des personnages, des objets, des skins et compléter sa collection"
35,Histoire : Intéressé par l'histoire du jeu
36,Stratégie : Réfléchir aux différentes composition afin de pouvoir toujours gagner
37,Compétition : Monter dans le classement pour avoir plus de gloire
38,"Développer les personnages : Augmenter les personnages, l'esprit d'équipe"
39,Repos : Pour se relaxer et tuer le temps
40,Social : Pour me faire des amis et/ou jouer avec des amis dans le jeu
41,Je ne sais pas / je joue à ce que j'ai envie. Je n'ai pas de motivation spéciale
42,Ecouter de la musique
43,Lire des mangas
44,Lire des romans
45,Ecouter la radio et des podcasts
46,Regarder la télé ou des films
47,"Regarder des sites d'animés, de mangas et de jeux vidéos"
48,Regarder des dessins animés
49,Surfer sur des forums
50,Autres (Veuillez préciser)
51,Homme
52,Femme
53,Moins de 16
54,16-18
55,19-22
56,23-25
57,25 et plus
58,Je suis étudiant
59,J'ai un travail
60,Autre
61,Collecter des personnages
62,Monter les cristaux
63,Entraîner les Serviteurs
64,Tests
65,Autres (Veuillez préciser)
66,Autre
67,Ne pas vouloir divulgué
68,Moins d'un mois
69,1-3 mois
70,3-6 mois
71,6-12 mois
72,Plus d'un an
73,Niveau 70-79
74,Niveau 80-89
75,Niveau 90-99
76,Niveau 100-109
77,Niveau 110-119
78,Niveau 120 et plus
79,Je joue presque tous les jours
80,Je joue 5-6 jours par semaine
81,Je joue 3-4 jours par semaine
82,Je joue 1-2 fois par jour voir moins
83,J'ai besoin d'aller à l'école
84,Je joue à d'autre jeu
85,Le contenu du jeu n'est pas assez important
86,Le jeu devient ennuyeux pour moi
87,Autres (Veuillez préciser)
88,Très satisfait
89,Satisfait
90,Normal
91,Pas satisfait
92,Pas du tout satisfait
93,Les événements sont intéressants
94,Les récompenses d'événement sont bonnes
95,Des skins sympa ont été ajoutés
96,Les nouvelles Filles sont adorables
97,Autres (Veuillez préciser)
98,C'est un P2W
99,Il faut trop d'effort pour les événements
100,Les récompenses d'événement ne sont pas satisfaisant
101,Les nouveaux Skins ne sont pas terrible
102,Les nouvelles Filles ne sont pas assez attirante
103,Autres (Veuillez préciser)
104,"Je ne regarde pas l'histoire, je passe toujours"
105,"Je regarde parfois, mais je passe la plupart du temps"
106,"Je lis toujours les histoires sans passer, mais je ne trouve pas l'histoire très interessante"
107,Je lis toutes les histoires en détail
108,Oui
109,Non
110,Je n'aime pas la façon de jouer des événements
111,Je n'aime pas les récompenses de l'événement
112,Je n'ai pas assez de temps pour jouer
113,Les règles sont trop compliquées pour moi
114,Autres (Veuillez préciser)
115,Oui
116,Non
117,J'aime beaucoup les nouvelles images
118,Je préférais les anciens dessins
119,J'aime bien les deux
120,Je n'aime ni l'un ni l'autre
121,C'est pas important
122,Je n'aime pas la façon de jouer des événements
123,Je n'aime pas les récompenses de l'événement
124,Je n'ai pas assez de temps pour jouer
125,Les règles sont trop compliquées pour moi
126,Autres (Veuillez préciser)
127,Oui
128,Non
129,Je n'aime pas le fonctionnement
130,Les récompenses ne sont pas attrayantes
131,Les règles sont trop compliquées pour moi
132,Je n'ai pas assez de temps pour ça
133,Autres (Veuillez préciser)
134,LINE
135,FACEBOOK
136,Twitter
137,Discord
138,1
139,Autres (Veuillez préciser)
140,Aucun des choix précédents
141,Nouvelle histoire
142,Nouvelle série de Skins
143,Plus de nouveaux personnages
144,Des nouveaux événements
145,Autres (Veuillez préciser)
146,Pas du tout satisfait
147,Pas satisfait
148,Normal
149,Satisfait
150,Très satisfait
151,Sérieusement ?
152,Non
153,Normal
154,Plutôt
155,Oui !
156,Moins d'un mois
157,1-3 mois
158,3-6 mois
159,6-12 mois
160,Plus d'un an
161,Super
162,Satisfait
163,Normal
164,Insatisfait
165,Pire
166,Plus
167,Similaire
168,Moins
169,J'ai du travail
170,Je joue à d'autres jeux
171,Le jeu devient ennuyeux pour moi
172,Je n'aime pas les mises à jour récentes.
173,"J'ai des difficultés à entraîner les Filles, je ne peux pas avancer"
174,Je n'arrive pas à obtenir la Fille que je veux
175,"J'ai des difficultés à avancer dans Test, Patrouille, etc."
176,L'Arène n'est pas difficile.
177,Peu de joueur dans mon Serveur
178,Autres (Veuillez préciser)
179,Dortoir
180,Examen des Maisons
181,Équipe de Sécurité
182,Guide des Filles
183,Le Nouveau Marché
184,Événement Mensuel
185,Autres (Veuillez préciser)
186,Très bien. J'espère qu'il y aura plus de nouveaux meubles à l'avenir.
187,Je pense que les règles sont compliquées et difficiles à comprendre.
188,"L'opération est compliquée, j'espère qu'elle pourra être simplifiée."
189,J'espère qu'il y aura plus de place.
190,Autres (Veuillez préciser)
191,Cela me plaît. Je fais de mon mieux.
192,Il est difficile. Ça demande trop de temps pour gagner.
193,Ce n'est pas pratique
194,Je voudrais avoir plus de tutoriels/astuces
195,Je n'ai pas encore essayé de jouer.
196,Je n'ai pas d'alliés
197,Je l'adore.
198,Je pense que les règles sont compliquées et difficiles à comprendre.
199,J'espère qu'il y aura plus de BOSS.
200,Je n'ai pas essayé
201,Autres (Veuillez préciser)
202,"C'est trop gênant, je ne veux pas demander aux inconnus de faire équipe."
203,Mes amis ont déjà leurs propres équipes.
204,Il est trop difficile de trouver des alliés de même niveau.
205,Personne ne répond à mon invitation.
206,Je ne connais pas cette fonctionnalité
207,C'est plus difficile de trouver ce que je veux dans la nouvelle version.
208,J'ai aucune idée d'achat dans Boutique de Skin
209,"Très bien, j'espère qu'il y en aura plus."
210,J'ai pas joué à l'ancienne version mais tout est bon.
211,J'ai pas joué à l'ancienne version mais elle n'est pas pratique.
212,"C'est plus pratique qu'avant, j'ai plus de besoin d'attente des mises à jour des événements hebdomaires."
213,Il empire parce qu'il ne me procure plus de la nouveauté.
214,J'aimerais plus de types d'événement mensuel seront ajoutées.
215,C'est trop difficile pour moi
216,Je n'y connais rien à l'événement mensuel.
217,Autres (Veuillez préciser)
218,Ça m'aide beaucoup.
219,Peut faire mieux
220,"Il est mal fait, beaucoup de choses dans cette introduction sont inexactes."
221,Je n'ai pas expérimenté cette fonctionnalité
222,Je l'adore.
223,Bof
224,Pire qu'avant
225,Nouvelle Filles
226,Nouveau skin
227,Nouvelle fonctionnalité
228,Nouvel événement
229,Super impatient
230,Impatient
231,Moyen
232,Pas emballé
233,Absolument pas emballé
234,"Très intéressant, cela augmente la richesse du gameplay"
235,"C'est moyen, le gameplay doit être optimisé"
236,"Nul, gameplay ennuyant, difficile à comprendre"
237,Pas encore essayé
238,Autres (Veuillez préciser)
239,"Très bien, il y a de l'amélioration par rapport aux auras déjà existantes"
240,"Bof, pas aussi utilise que les auras déjà existantes"
241,"Nulles, les nouvelles combinaisons d'auras sont compliquées."
242,Pas encore essayé
243,Autres (Veuillez préciser)
244,"Très intéressé, je m'inscrirai certainement la prochaine fois"
245,Intéressé
246,"Moyen, je m'inscrirai si j'y pense"
247,"Pas du tout intéressé, je ne m'incrirai pas la prochaine fois"
248,"Bof, les règles sont compliquées à comprendre"
249,"Bof, cela ne correspond pas au style de jeu actuel"
250,"Bof, les tâches/événements sont encore plus compliqués à terminer"
251,Homme
252,Femme
253,Secret
254,Moins de 18
255,18-22
256,23-25
257,26-30
258,Plus de 30
259,Moin d'un mois
260,Plus d'un mois
