id,text
1,"1. Bienvenue à l'Académie Yume, que penses-tu de cet endroit ?"
2,2. Où as-tu entendu parler de GXB2 pour la première fois ?
3,"3. Qu'est-ce qui te plaîs le plus dans la sous-culture des Animés, Comics, et Jeu Vidéo parmis les choix suivants ?"
4,4. Quelle plate-forme préférez-vous quand vous jouez ? (Choix Multiple)
5,5. Quel genre de jeux de téléphone avez-vous déjà joué et aimé le plus ? (Choix Multiple)
6,"6. Si possible, pourriez-vous nous donner une approximation de vos dépenses dans les jeux sur téléphone portable? (Les choix suivants sont calculés en euros)"
7,7. Qu'est-ce qui vous attire le plus dans les jeux auxquels vous jouez ? (Maximum 2 choix)
8,8. Quels sont vos loisirs ? (Choix Multiple)
9,9. Quel est votre genre ?
10,10. Quel âge avez-vous ?
11,11. Quel est la meilleure description de votre situation actuelle ?
12,12. Quel est votre but actuel dans le jeu (Vous pouvez remplir les blancs)
13,Combien de temps avez-vous joué à ce jeu ?
14,Quel est votre niveau de joueur ?
15,A quelle fréquence jouez-vous à ce jeu ?
16,"Si votre temps de jeu est plutôt bas, pourriez-vous nous expliquer quelle est la raison ? (Choix Multiple)"
17,Quelle est votre opinion de ce jeu ?
18,Quelles sont d'après vous les avantages de ce jeu ? (Choix Multiple)
19,Quelles sont d'après vous les inconvénients de ce jeu ? (Choix Multiple)
20,Quelle est votre vue sur les scénarios du jeu ?
21,"Que pensez-vous du nouveau personnage, Valeera ?"
22,Avez-vous essayé l'événement Fête de la Musique et Show en direct ?
23,Quelles sont vos impressions sur ces événements ?
24,Etes-vous d'accord avec la description suivante de l'événement de la Fête de la Musique ?
25,Pourriez-vous nous expliquer pourquoi vous n'avez pas participé à l'événement ? (Choix Multiple)
26,Que pensez-vous des Skins de la Fête de la Musique ?
27,Avez-vous essayé l'événement l'Observateur de la Librairie ?
28,Pourriez-vous nous donner vos commentaires sur l'événement ?
29,Etes-vous en accord avec la description suivante du nouveau scénario ?
30,Que pensez-vous du nouveau Skin d'Iron Fist ?
31,Pourriez-vous nous expliquer pourquoi vous n'avez pas participé à l'événement ? (Choix Multiple)
32,Que pensez-vous des Skins des Valkyries ?
33,Avez-vous essayé l'Arène Ultime ?
34,Pourriez-vous nous donner votre pensée sur cette nouvelle fonctionnalité ?
35,Pourriez-vous nous expliquer pourquoi vous n'avez pas participé à l'Arène Ultime ? (Choix Multiple)
36,Quels médias sociaux utilisez-vous pour obtenir des informations ou communiquer avec les autres joueurs sur le jeu ? (Choix Multiple)
37,Quelle type de nouvelle fonctionnalité espérez-vous voir durant les mises à jours suivantes ? (Choix Multiple)
38,"Si vous avez des suggestions pour le jeu, n'hésitez pas à nous en faire part ici (Vous pouvez choisir de répondre ou de ne pas répondre)"
39,Le design des personnages
40,La qualité graphique
41,L'affichage de la bataille
42,Les effets spéciaux
43,Histoire du jeu
44,Mode de jeu
45,La difficulté
46,Les récompenses
47,L'effort requis
48,Les personnages sont impressionnants
49,L'histoire est intéressante
50,La vue du monde est géniale
51,La longueur de l'histoire est décente
52,Je suis curieux de voir ce qu'il se passe ensuite
53,Le design des personnages
54,La qualité graphique
55,Les effets spéciaux
56,Les bonus
57,L'affichage de la bataille
58,Les règles générales
59,Les récompenses des participants
60,Le système de pari
61,Les récompenses des paris
62,Depuis combien de temps est-ce que vous jouez à ce jeu ?
63,Quelle est votre opinion sur les dernières mises à jour du jeu ?
64,Avez-vous passé plus de temps sur GxB2 qu'auparavant ?
65,Quelle est la principale raison de la diminution de votre temps de jeu ?
66,Quel genre de jeu vous attire actuellement ? (Vous pouvez choisir de répondre ou de ne pas répondre)
67,Pourquoi passez-vous moins de temps sur GXB2 ? (Question à choix multiple)
68,Quelles sont les dernières mises à jour dont vous n'êtes pas satisfait ? (Question à choix multiple)
69,Comment décririez-vous le Dortoir ? (Vous ne pouvez que choisir 3 réponses au maximum)
70,Comment décririez-vous l'Examen des Maisons ? (Vous ne pouvez que choisir 3 réponses au maximum)
71,Comment décririez-vous l'Equipe de Sécurité ? (Vous ne pouvez que choisir 3 réponses au maximum)
72,"Selon vous, quelle est la raison de la difficulté de formation d'une équipe de Sécurité ?"
73,Comment décririez-vous le Marché ? (Vous ne pouvez que choisir 3 réponses au maximum)
74,Comment décririez-vous l'Événement Mensuel ? (Vous ne pouvez que choisir 3 réponses au maximum)
75,Comment décririez-vous le Guide des Filles ? (Vous ne pouvez que choisir 3 réponses au maximum)
76,Que pensez-vous des nouvelles filles et des nouveaux skins ?
77,Quels sont les Filles ou les skins dont vous n'êtes pas satisfait ? Pourquoi ? (Vous pouvez choisir de répondre ou de ne pas répondre)
78,Quelle est votre opinion sur Turin ?
79,Quelle est votre opinion sur Ésaü & Jacob ?
80,Quelle est votre opinion sur Isabelle ?
81,Qu'attendez-vous le plus de ce jeu ?
82,Qui est votre Fille la plus attendue ? (Vous pouvez choisir de répondre ou de ne pas répondre)
83,De quelle Fille ou de quelle style attendez-vous le skin le plus avec impatience ? (Vous pouvez choisir de répondre ou de ne pas répondre)
84,Quelles fonctionnalités attendez-vous le plus avec impatience ? (Vous pouvez choisir de répondre ou de ne pas répondre)
85,Quels événements attendez-vous le plus avec impatience ? (Vous pouvez choisir de répondre ou de ne pas répondre)
86,Avez-vous d'autres suggestions ? (Vous pouvez remplir le blanc))
87,Le design des personnages
88,La qualité graphique
89,Les effets spéciaux
90,L'histoire des personnages
91,À propos de la Campagne
92,À propose de l'Arène
93,À propos du Test
94,À propos de la Patrouille
95,À propos des Boss de Guilde
96,"Senpai, quel est ton avis sur ton expérience globale du jeu sur le serveur test ?"
97,Que pensez-vous de Kratos ?
98,Que pensez-vous des performances de Kratos en combat ?
99,Êtes-vous impatient que Kratos soit disponible sur le serveur officiel ?
100,Que pensez-vous de Lucifael ?
101,Que pensez-vous des performances de Lucifael en combat ?
102,Êtes-vous impatient que Lucifael soit disponible sur le serveur officiel ?
103,"Senpai, quelle est ton opinion à propos du nouveau système d'Âme ? (3 réponses possibles)"
104,"Senpai, est-ce que tu attends avec impatience que le nouveau système d'Âme soit mis en ligne ?"
105,"Senpai, es-tu toujours disposé à continuer à être bêta-testeur ?"
106,"Senpai, as-tu des recommendations à faire à propos de ce que tu as pu expérimenter en tant que bêta-testeur ? ( Rédaction possible )"
107,Quel est votre genre ?
108,Quel est votre âge ?
109,Depuis combien de temps avez-vous joué à GXB2 ?
110,Combien de temps passez-vpus chaque jour sur Girls X Battle 2 ?
111,Quelle est votre opinion sur les dernières mises à jour du jeu ?
112,Quelles sont les dernières mises à jour dont vous êtes satisfait ? (Question à choix multiple)
113,Quelles sont les dernières mises à jour dont vous n'êtes pas satisfait ? (Question à choix multiple)
114,Laquelle des descriptions suivantes correspond le plus à l'opinion de Senpai concernant le Festival à vapeur ? (3 choix max)
115,Laquelle des descriptions suivantes correspond le plus à l'opinion de Senpai sur la Collection de Yume ? (3 choix max)
116,Laquelle des descriptions suivantes correspond le plus à l'opinion de Senpai sur le Sanctuaire?
117,Lequel des thèmes de Meubles suivants Senpai attend-il le plus avec impatience? (3 choix max)
118,Que pensez-vous des nouvelles filles et des nouveaux skins ?
119,Quels sont les Filles ou les skins dont vous n'êtes pas satisfait ? Pourquoi ?
120,Qu'attendez-vous le plus de ce jeu ?
121,Qui est votre Fille la plus attendue ?
122,"Senpai, quel skin de Fille ou quel type de skin de Fille attends-tu le plus ?"
123,Quelles fonctionnalités attendez-vous le plus avec impatience ?
124,Quels événements attendez-vous le plus avec impatience ?
125,Quelle partie de l'histoire de l'Académie est la plus attendue par Senpai ?
126,Avez-vous d'autres suggestions ?
127,"Senpai, quel est ton avis sur ton expérience globale du jeu sur le serveur test ?"
128,"Senpai, quelle est ton opinion concernant Sino ?"
129,"Senpai, que penses-tu des performances de combat de Sino ?"
130,"Senpai, as-tu hâte de voir Sino arriver sur le serveur officiel ?"
131,Laquelle des affirmations suivantes correspond le plus à l'opinion de Senpai sur les nouvelles Antiquités ? (3 choix max)
132,"Senpai, as-tu hâte de voir les nouvelles Antiquités arriver sur le serveur officiel ?"
133,Laquelle des affirmations suivantes correspond le plus à l'opinion de Senpai sur le mode de jeu de Défi du Personnage? (3 choix max)
134,"Senpai, as-tu hâte de voir le mode d'échecs arriver sur le serveur officiel ?"
135,"Senpai, es-tu toujours disposé à continuer à être bêta-testeur ?"
136,"Senpai, as-tu des recommendations à faire à propos de ce que tu as pu expérimenter en tant que bêta-testeur ? ( Rédaction possible )"
137,Quel est votre genre ?
138,Quel est votre âge ?
139,Depuis combien de temps jouez-vous à GXB2 ?
140,Combien de temps passez-vous chaque jour sur Girls X Battle 2 ?
141,Quelle est votre opinion sur les dernières mises à jour du jeu ?
142,Comment décririez-vous la libération de Fille 15 étoiles ? (Choix Multiple)
143,Comment décririez-vous l'événement d'Exploration du vieux campus ? (Choix Multiple)
144,Comment décririez-vous l'événement de Recrutement en temps limité ? (Choix Multiple)
145,"Parmi les aspects suivants, lesquels influencent votre choix de filles ? (Choix multiple)"
146,"Parmi les personnalités suivantes, lesquelles préférez-vous ? (Choix multiple)"
147,"Parmi les Maisons suivantes, lesquelles préférez-vous? (Choix multiple)"
148,"Parmi les métiers suivants, lesquels préférez-vous? (Choix multiple)"
149,"Parmi les métiers suivants, lesquels préférez-vous? (Choix multiple)"
150,"Parmi les métiers suivants, lesquels préférez-vous? (Choix multiple)"
151,"Entre le Japonais et l'anglais, quelle langue préférez-vous pour le doublage ?"
152,Avez-vous d'autres suggestions ? (Vous pouvez remplir le blanc))
153,Quel est votre genre ?
154,Quel est votre âge ?
155,Combien de temps passez-vous chaque jour sur Girls X Battle 2 ?
156,Que pensez-vous de l'ensemble de la dernière mise à jour du jeu ?
157,Que pensez-vous de ces contenus de la dernière mise à jour ?
158,Est-ce que vous connaissez bien la fonction d'Exploration du Vieux Campus ?
159,Que pensez-vous de la fonction d'Exploration du Vieux Campus ? (Choix multiple)
160,Est-ce que vous connaissez bien la fonction de Compétence d'Élite ?
161,Que pensez-vous de la fonction Compétence d'Élite ? (Choix multiple)
162,Est-ce que vous connaissez bien la nouvelle version de Mémoire ( Menu - Mémoire ) ?
163,Que pensez-vous de la nouvelle version de Mémoire? (Choix multiple)
164,Est-ce que vous connaissez bien la fonction d'Évaluation de Yume ?
165,Que pensez-vous de la fonction d'Évaluation de Yume ? (Choix multiple)
166,Est-ce que vous connaissez bien la fonction d'Excursion Scolaire ?
167,Que pensez-vous de la fonction d'Excursion Scolaire ? (Choix multiple)
168,Quel genre de skin espérez-vous avoir à l'avenir ? (Choix multiple)
169,Que pensez-vous des Pack Surprise de Skin ?
170,Quels sont les Skins que vous préférez parmi les derniers sortis ? (Choix multiple)
171,Avez-vous une recommendation sur un Thème à rajouter au Dortoir ? (Choix multiple)
172,Avez-vous une recommendation de scénario que vous voulez voir dans l'Histoire ? (Choix multiple)
