id,name
1,Uniforme d'étudiant
2,Hôpital Privé
3,L'Heure du Thé
4,La Mode British
5,Saint-Esprit
6,Plage d'Été
7,Bataille de Polochon
8,Journée Shopping
9,Étudiant(e) en Alternance
10,Combinaison de Félin
11,Ange Céleste
12,Journée Détente
13,Journée au Parc
14,Soirée Pyjama
15,Sommeil Magique
16,Étudiant(e) en Échange
17,Samouraï
18,Cyberguerrier
19,Halloween
20,Kimono Ciel
21,Kimono Floral
22,Kimono Dansant
23,Vert Émeraude
24,Steampunk
25,Pull de Noël
26,Chocolat Chaud
27,Boule de Neige
28,Aventurier
29,Souffle du Dragon
30,Aviateur
31,Blanc d'Argent
32,Noir d'Encre
33,Magie de Noël
34,Cerf-volant Printanier
35,Mystique
36,Bourgeoisie
37,Visiteur de la Nuit
38,Vagabond Merveilleux
39,Pause Gourmande
